,date,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type
0,2021-01-01,1,1,-1,5,75,30,0
1,2021-01-02,2,0,0,4,75,30,0
2,2021-01-03,2,0,3,7,75,30,0
3,2021-01-04,0,0,-1,5,75,0,0
4,2021-01-05,0,0,-4,2,75,30,0
5,2021-01-06,0,0,-5,-3,65,30,0
6,2021-01-07,0,0,-4,-3,85,90,3
7,2021-01-08,1,0,-1,-1,85,90,3
8,2021-01-09,2,0,0,2,80,80,3
9,2021-01-10,2,0,0,2,75,30,0
10,2021-01-11,0,0,2,4,90,80,3
11,2021-01-12,0,0,3,9,70,30,0
12,2021-01-13,0,0,6,10,75,0,0
13,2021-01-14,0,0,1,12,80,0,0
14,2021-01-15,1,0,-1,2,80,20,0
15,2021-01-16,2,0,0,1,75,30,0
16,2021-01-17,2,0,-2,6,65,30,0
17,2021-01-18,0,0,0,3,55,0,0
18,2021-01-19,0,0,6,10,65,0,0
19,2021-01-20,0,0,9,15,80,20,0
20,2021-01-21,0,0,9,12,85,30,0
21,2021-01-22,1,0,7,12,95,20,0
22,2021-01-23,2,0,6,10,90,80,1
23,2021-01-24,2,0,9,13,70,20,0
24,2021-01-25,0,0,2,11,75,20,0
25,2021-01-26,0,0,2,7,85,60,1
26,2021-01-27,0,0,-2,8,55,10,0
27,2021-01-28,0,0,-1,2,60,60,1
28,2021-01-29,1,0,3,9,70,30,0
29,2021-01-30,2,0,10,12,75,0,0
30,2021-01-31,2,0,1,12,70,30,0
31,2021-02-01,0,0,-1,1,85,80,1
32,2021-02-02,0,0,4,7,70,20,0
33,2021-02-03,0,0,0,5,70,0,0
34,2021-02-04,0,0,5,10,70,20,0
35,2021-02-05,1,0,5,14,75,30,0
36,2021-02-06,2,0,0,11,75,0,0
37,2021-02-07,2,0,0,3,75,0,0
38,2021-02-08,0,0,0,5,65,10,0
39,2021-02-09,0,0,3,10,70,0,0
40,2021-02-10,0,0,5,11,70,20,0
41,2021-02-11,0,1,6,13,75,20,0
42,2021-02-12,1,1,7,15,75,30,0
43,2021-02-13,2,1,7,16,75,0,0
44,2021-02-14,2,0,0,8,90,70,1
45,2021-02-15,0,0,-2,7,65,20,0
46,2021-02-16,0,0,-2,0,80,60,1
47,2021-02-17,0,0,-1,1,75,60,3
48,2021-02-18,0,0,7,10,75,30,0
49,2021-02-19,1,0,10,16,65,0,0
50,2021-02-20,2,0,11,19,65,0,0
51,2021-02-21,2,0,1,19,70,0,0
52,2021-02-22,0,0,1,8,70,0,0
53,2021-02-23,0,0,6,12,55,20,0
54,2021-02-24,0,0,8,13,60,20,0
55,2021-02-25,0,0,8,10,80,70,1
56,2021-02-26,1,0,8,11,65,60,1
57,2021-02-27,2,0,12,15,70,20,0
58,2021-02-28,2,0,5,18,85,60,1
59,2021-03-01,0,1,3,6,90,63,1
60,2021-03-02,0,0,6,11,70,0,0
61,2021-03-03,0,0,10,13,65,20,0
62,2021-03-04,0,0,8,14,90,80,1
63,2021-03-05,1,0,6,13,75,20,0
64,2021-03-06,2,0,5,10,80,30,0
65,2021-03-07,2,0,6,12,75,30,0
66,2021-03-08,0,0,3,12,70,20,0
67,2021-03-09,0,0,7,14,60,30,0
68,2021-03-10,0,0,10,16,75,0,0
69,2021-03-11,0,0,7,12,80,30,0
70,2021-03-12,1,0,5,12,90,30,0
71,2021-03-13,2,0,4,13,70,0,0
72,2021-03-14,2,0,11,17,60,0,0
73,2021-03-15,0,0,3,14,75,30,0
