poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
아쿠아플라넷제주,2021-01-01,6,1,1,3,11,60,30,0,168
아쿠아플라넷제주,2021-01-02,6,2,0,5,10,70,20,0,236
아쿠아플라넷제주,2021-01-03,7,2,0,7,12,70,20,0,104
아쿠아플라넷제주,2021-01-04,8,0,0,3,12,60,0,0,108
아쿠아플라넷제주,2021-01-05,9,0,0,1,8,65,20,0,298
아쿠아플라넷제주,2021-01-06,8,0,0,-1,3,55,30,0,230
아쿠아플라넷제주,2021-01-07,6,0,0,0,3,75,90,3,212
아쿠아플라넷제주,2021-01-08,4,1,0,2,5,75,90,3,218
아쿠아플라넷제주,2021-01-09,6,2,0,4,8,75,80,3,113
아쿠아플라넷제주,2021-01-10,12,2,0,3,8,65,30,0,395
아쿠아플라넷제주,2021-01-11,6,0,0,8,9,75,30,0,238
아쿠아플라넷제주,2021-01-12,3,0,0,9,14,60,30,0,240
아쿠아플라넷제주,2021-01-13,7,0,0,12,16,65,0,0,240
아쿠아플라넷제주,2021-01-14,2,0,0,5,17,75,0,0,189
아쿠아플라넷제주,2021-01-15,3,1,0,3,10,70,20,0,66
아쿠아플라넷제주,2021-01-16,1,2,0,4,7,70,20,0,491
아쿠아플라넷제주,2021-01-17,9,2,0,2,11,55,30,0,143
아쿠아플라넷제주,2021-01-18,4,0,0,6,11,45,0,0,362
아쿠아플라넷제주,2021-01-19,9,0,0,12,14,60,0,0,544
아쿠아플라넷제주,2021-01-20,4,0,0,14,17,75,30,0,191
아쿠아플라넷제주,2021-01-21,4,0,0,13,18,80,30,0,246
아쿠아플라넷제주,2021-01-22,2,1,0,11,16,85,60,1,354
아쿠아플라넷제주,2021-01-23,4,2,0,10,15,85,80,1,35
아쿠아플라넷제주,2021-01-24,4,2,0,13,16,70,20,0,614
아쿠아플라넷제주,2021-01-25,7,0,0,6,16,75,10,0,232
아쿠아플라넷제주,2021-01-26,8,0,0,7,14,75,30,0,645
아쿠아플라넷제주,2021-01-27,3,0,0,2,13,50,10,0,175
아쿠아플라넷제주,2021-01-28,3,0,0,3,8,55,20,0,192
아쿠아플라넷제주,2021-01-29,6,1,0,8,12,65,20,0,114
아쿠아플라넷제주,2021-01-30,2,2,0,14,15,65,0,0,312
아쿠아플라넷제주,2021-01-31,3,2,0,4,15,60,30,0,69
아쿠아플라넷제주,2021-02-01,3,0,0,2,9,80,80,1,259
아쿠아플라넷제주,2021-02-02,4,0,0,8,10,65,0,0,122
아쿠아플라넷제주,2021-02-03,6,0,0,6,12,65,0,0,235
아쿠아플라넷제주,2021-02-04,3,0,0,9,13,60,10,0,314
아쿠아플라넷제주,2021-02-05,6,1,0,9,17,65,30,0,209
아쿠아플라넷제주,2021-02-06,10,2,0,4,17,80,0,0,213
아쿠아플라넷제주,2021-02-07,3,2,0,2,10,60,0,0,274
아쿠아플라넷제주,2021-02-08,3,0,0,5,11,65,0,0,453
아쿠아플라넷제주,2021-02-09,5,0,0,7,14,70,0,0,143
아쿠아플라넷제주,2021-02-10,1,0,0,11,16,70,20,0,250
아쿠아플라넷제주,2021-02-11,3,0,1,11,17,80,20,0,214
