poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
카멜리아힐,2021-01-01,20,1,1,3,11,60,30,0,216
카멜리아힐,2021-01-02,27,2,0,5,10,70,20,0,529
카멜리아힐,2021-01-03,24,2,0,7,12,70,20,0,160
카멜리아힐,2021-01-04,35,0,0,3,12,60,0,0,172
카멜리아힐,2021-01-05,42,0,0,1,8,65,20,0,282
카멜리아힐,2021-01-06,50,0,0,-1,3,55,30,0,139
카멜리아힐,2021-01-07,33,0,0,0,3,75,90,3,68
카멜리아힐,2021-01-08,37,1,0,2,5,75,90,3,181
카멜리아힐,2021-01-09,22,2,0,4,8,75,80,3,267
카멜리아힐,2021-01-10,36,2,0,3,8,65,30,0,220
카멜리아힐,2021-01-11,42,0,0,8,9,75,30,0,214
카멜리아힐,2021-01-12,40,0,0,9,14,60,30,0,507
카멜리아힐,2021-01-13,36,0,0,12,16,65,0,0,228
카멜리아힐,2021-01-14,31,0,0,5,17,75,0,0,157
카멜리아힐,2021-01-15,28,1,0,3,10,70,20,0,66
카멜리아힐,2021-01-16,27,2,0,4,7,70,20,0,90
카멜리아힐,2021-01-17,21,2,0,2,11,55,30,0,386
카멜리아힐,2021-01-18,29,0,0,6,11,45,0,0,162
카멜리아힐,2021-01-19,28,0,0,12,14,60,0,0,186
카멜리아힐,2021-01-20,30,0,0,14,17,75,30,0,358
카멜리아힐,2021-01-21,28,0,0,13,18,80,30,0,20
카멜리아힐,2021-01-22,43,1,0,11,16,85,60,1,107
카멜리아힐,2021-01-23,24,2,0,10,15,85,80,1,40
카멜리아힐,2021-01-24,23,2,0,13,16,70,20,0,45
카멜리아힐,2021-01-25,30,0,0,6,16,75,10,0,484
카멜리아힐,2021-01-26,23,0,0,7,14,75,30,0,252
카멜리아힐,2021-01-27,19,0,0,2,13,50,10,0,407
카멜리아힐,2021-01-28,45,0,0,3,8,55,20,0,296
카멜리아힐,2021-01-29,51,1,0,8,12,65,20,0,290
카멜리아힐,2021-01-30,22,2,0,14,15,65,0,0,71
카멜리아힐,2021-01-31,31,2,0,4,15,60,30,0,212
카멜리아힐,2021-02-01,32,0,0,2,9,80,80,1,251
카멜리아힐,2021-02-02,44,0,0,8,10,65,0,0,183
카멜리아힐,2021-02-03,46,0,0,6,12,65,0,0,90
카멜리아힐,2021-02-04,26,0,0,9,13,60,10,0,243
카멜리아힐,2021-02-05,37,1,0,9,17,65,30,0,172
카멜리아힐,2021-02-06,25,2,0,4,17,80,0,0,420
카멜리아힐,2021-02-07,22,2,0,2,10,60,0,0,124
카멜리아힐,2021-02-08,20,0,0,5,11,65,0,0,193
카멜리아힐,2021-02-09,22,0,0,7,14,70,0,0,198
카멜리아힐,2021-02-10,29,0,0,11,16,70,20,0,271
카멜리아힐,2021-02-11,21,0,1,11,17,80,20,0,170
카멜리아힐,2021-02-12,15,1,1,12,19,70,30,0,357
카멜리아힐,2021-02-13,14,2,1,11,18,70,0,0,92
카멜리아힐,2021-02-14,21,2,0,3,14,90,70,1,402
카멜리아힐,2021-02-15,29,0,0,2,11,65,0,0,170
카멜리아힐,2021-02-16,29,0,0,1,6,70,30,0,525
카멜리아힐,2021-02-17,29,0,0,2,7,70,60,3,206
카멜리아힐,2021-02-18,35,0,0,11,13,65,30,0,100
카멜리아힐,2021-02-19,31,1,0,14,18,65,0,0,182
카멜리아힐,2021-02-20,27,2,0,14,19,80,0,0,371
카멜리아힐,2021-02-21,22,2,0,7,20,90,0,0,109
카멜리아힐,2021-02-22,26,0,0,7,16,55,0,0,277
카멜리아힐,2021-02-23,34,0,0,11,16,45,20,0,130
카멜리아힐,2021-02-24,33,0,0,12,17,55,0,0,161
카멜리아힐,2021-02-25,44,0,0,11,14,80,70,1,414
카멜리아힐,2021-02-26,25,1,0,12,15,65,60,1,161
카멜리아힐,2021-02-27,33,2,0,15,17,70,20,0,163
