poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
천제연폭포,2021-01-01,10,1,1,3,11,60,30,0,115
천제연폭포,2021-01-02,10,2,0,5,10,70,20,0,123
천제연폭포,2021-01-03,1,2,0,7,12,70,20,0,77
천제연폭포,2021-01-04,14,0,0,3,12,60,0,0,65
천제연폭포,2021-01-05,37,0,0,1,8,65,20,0,147
천제연폭포,2021-01-06,12,0,0,-1,3,55,30,0,117
천제연폭포,2021-01-07,19,0,0,0,3,75,90,3,112
천제연폭포,2021-01-08,14,1,0,2,5,75,90,3,72
천제연폭포,2021-01-09,14,2,0,4,8,75,80,3,110
천제연폭포,2021-01-10,18,2,0,3,8,65,30,0,129
천제연폭포,2021-01-11,61,0,0,8,9,75,30,0,136
천제연폭포,2021-01-12,10,0,0,9,14,60,30,0,138
천제연폭포,2021-01-13,6,0,0,12,16,65,0,0,108
천제연폭포,2021-01-14,10,0,0,5,17,75,0,0,80
천제연폭포,2021-01-15,3,1,0,3,10,70,20,0,24
천제연폭포,2021-01-16,5,2,0,4,7,70,20,0,103
천제연폭포,2021-01-17,9,2,0,2,11,55,30,0,86
천제연폭포,2021-01-18,11,0,0,6,11,45,0,0,91
천제연폭포,2021-01-19,9,0,0,12,14,60,0,0,92
천제연폭포,2021-01-20,6,0,0,14,17,75,30,0,101
천제연폭포,2021-01-21,7,0,0,13,18,80,30,0,29
천제연폭포,2021-01-22,6,1,0,11,16,85,60,1,142
천제연폭포,2021-01-23,11,2,0,10,15,85,80,1,8
천제연폭포,2021-01-24,9,2,0,13,16,70,20,0,34
천제연폭포,2021-01-25,11,0,0,6,16,75,10,0,84
천제연폭포,2021-01-26,7,0,0,7,14,75,30,0,105
천제연폭포,2021-01-27,9,0,0,2,13,50,10,0,139
천제연폭포,2021-01-28,9,0,0,3,8,55,20,0,131
천제연폭포,2021-01-29,10,1,0,8,12,65,20,0,75
천제연폭포,2021-01-30,1,2,0,14,15,65,0,0,106
천제연폭포,2021-01-31,9,2,0,4,15,60,30,0,51
천제연폭포,2021-02-01,12,0,0,2,9,80,80,1,120
천제연폭포,2021-02-02,13,0,0,8,10,65,0,0,60
천제연폭포,2021-02-03,9,0,0,6,12,65,0,0,46
천제연폭포,2021-02-04,10,0,0,9,13,60,10,0,220
천제연폭포,2021-02-05,12,1,0,9,17,65,30,0,105
천제연폭포,2021-02-06,6,2,0,4,17,80,0,0,75
천제연폭포,2021-02-07,12,2,0,2,10,60,0,0,100
천제연폭포,2021-02-08,9,0,0,5,11,65,0,0,70
천제연폭포,2021-02-09,8,0,0,7,14,70,0,0,119
천제연폭포,2021-02-10,7,0,0,11,16,70,20,0,150
천제연폭포,2021-02-11,8,0,1,11,17,80,20,0,109
천제연폭포,2021-02-12,7,1,1,12,19,70,30,0,118
천제연폭포,2021-02-13,10,2,1,11,18,70,0,0,135
천제연폭포,2021-02-14,4,2,0,3,14,90,70,1,110
천제연폭포,2021-02-15,6,0,0,2,11,65,0,0,91
천제연폭포,2021-02-16,7,0,0,1,6,70,30,0,122
천제연폭포,2021-02-17,6,0,0,2,7,70,60,3,83
천제연폭포,2021-02-18,11,0,0,11,13,65,30,0,107
천제연폭포,2021-02-19,9,1,0,14,18,65,0,0,97
천제연폭포,2021-02-20,7,2,0,14,19,80,0,0,112
천제연폭포,2021-02-21,7,2,0,7,20,90,0,0,76
천제연폭포,2021-02-22,12,0,0,7,16,55,0,0,141
천제연폭포,2021-02-23,8,0,0,11,16,45,20,0,121
천제연폭포,2021-02-24,9,0,0,12,17,55,0,0,98
천제연폭포,2021-02-25,58,0,0,11,14,80,70,1,55
천제연폭포,2021-02-26,12,1,0,12,15,65,60,1,205
천제연폭포,2021-02-27,6,2,0,15,17,70,20,0,69
천제연폭포,2021-02-28,10,2,0,9,19,90,60,1,129
천제연폭포,2021-03-01,9,0,1,7,13,90,70,1,36
천제연폭포,2021-03-02,13,0,0,11,13,65,0,0,65
천제연폭포,2021-03-03,8,0,0,13,16,70,20,0,79
천제연폭포,2021-03-04,13,0,0,13,18,90,80,1,45
천제연폭포,2021-03-05,5,1,0,10,18,75,20,0,117
천제연폭포,2021-03-06,6,2,0,9,14,80,30,0,137
천제연폭포,2021-03-07,13,2,0,10,16,75,30,0,150
천제연폭포,2021-03-08,9,0,0,8,16,65,20,0,154
천제연폭포,2021-03-09,11,0,0,12,18,65,30,0,26
천제연폭포,2021-03-10,5,0,0,13,18,75,0,0,141
천제연폭포,2021-03-11,8,0,0,10,18,80,30,0,72
천제연폭포,2021-03-12,46,1,0,9,17,80,30,0,125
천제연폭포,2021-03-13,9,2,0,10,18,75,20,0,81
천제연폭포,2021-03-14,11,2,0,15,18,60,0,0,117
천제연폭포,2021-03-15,15,0,0,10,20,80,30,0,158
천제연폭포,2021-03-16,9,0,0,11,18,65,10,0,93
천제연폭포,2021-03-17,21,0,0,13,19,65,10,0,17
천제연폭포,2021-03-18,16,0,0,14,18,80,20,0,158
천제연폭포,2021-03-19,37,1,0,10,19,85,30,0,72
천제연폭포,2021-03-20,14,2,0,6,16,85,30,0,104
천제연폭포,2021-03-21,28,2,0,7,15,60,10,0,185
천제연폭포,2021-03-22,24,0,0,10,17,50,0,0,139
천제연폭포,2021-03-23,13,0,0,12,18,65,0,0,89
천제연폭포,2021-03-24,34,0,0,12,20,75,20,0,100
천제연폭포,2021-03-25,60,0,0,15,20,75,0,0,52
천제연폭포,2021-03-26,26,1,0,15,19,65,0,0,136
천제연폭포,2021-03-27,13,2,0,14,20,100,90,1,98
천제연폭포,2021-03-28,10,2,0,13,22,85,0,0,57
천제연폭포,2021-03-29,12,0,0,13,20,65,0,0,125
천제연폭포,2021-03-30,11,0,0,15,20,55,0,0,108
천제연폭포,2021-03-31,8,0,0,16,19,65,20,0,139
천제연폭포,2021-04-01,17,0,0,17,20,90,60,1,114
천제연폭포,2021-04-02,13,1,0,15,20,90,30,0,69
천제연폭포,2021-04-03,14,2,0,11,18,100,60,1,98
천제연폭포,2021-04-04,17,2,0,11,18,80,30,0,127
천제연폭포,2021-04-05,15,0,0,13,19,50,0,0,37
천제연폭포,2021-04-06,11,0,0,12,21,45,0,0,43
천제연폭포,2021-04-07,23,0,0,11,21,55,20,0,75
천제연폭포,2021-04-08,13,0,0,12,19,40,0,0,53
천제연폭포,2021-04-09,16,1,0,12,18,70,20,0,102
천제연폭포,2021-04-10,13,2,0,16,20,65,0,0,123
천제연폭포,2021-04-11,15,2,0,15,19,80,20,0,130
천제연폭포,2021-04-12,28,0,0,9,21,100,84,1,135
천제연폭포,2021-04-13,34,0,0,10,17,65,30,0,125
천제연폭포,2021-04-14,32,0,0,14,18,45,0,0,111
천제연폭포,2021-04-15,22,0,0,14,19,65,20,0,111
천제연폭포,2021-04-16,19,1,0,10,20,75,30,0,114
천제연폭포,2021-04-17,20,2,0,11,19,45,0,0,131
천제연폭포,2021-04-18,21,2,0,12,21,45,0,0,133
천제연폭포,2021-04-19,30,0,0,14,21,45,0,0,166
천제연폭포,2021-04-20,23,0,0,16,22,60,0,0,91
천제연폭포,2021-04-21,36,0,0,18,22,60,20,0,138
