poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
동문재래시장,2021-01-01,8,1,1,-1,5,75,30,0,1072
동문재래시장,2021-01-02,4,2,0,0,4,75,30,0,807
동문재래시장,2021-01-03,6,2,0,3,7,75,30,0,1082
동문재래시장,2021-01-04,2,0,0,-1,5,75,0,0,794
동문재래시장,2021-01-05,9,0,0,-4,2,75,30,0,430
동문재래시장,2021-01-06,11,0,0,-5,-3,65,30,0,1003
동문재래시장,2021-01-07,13,0,0,-4,-3,85,90,3,862
동문재래시장,2021-01-08,11,1,0,-1,-1,85,90,3,296
동문재래시장,2021-01-09,10,2,0,0,2,80,80,3,1070
동문재래시장,2021-01-10,10,2,0,0,2,75,30,0,759
동문재래시장,2021-01-11,8,0,0,2,4,90,80,3,1201
동문재래시장,2021-01-12,11,0,0,3,9,70,30,0,927
동문재래시장,2021-01-13,14,0,0,6,10,75,0,0,1146
동문재래시장,2021-01-14,11,0,0,1,12,80,0,0,612
동문재래시장,2021-01-15,6,1,0,-1,2,80,20,0,691
동문재래시장,2021-01-16,4,2,0,0,1,75,30,0,722
동문재래시장,2021-01-17,8,2,0,-2,6,65,30,0,992
동문재래시장,2021-01-18,11,0,0,0,3,55,0,0,1009
동문재래시장,2021-01-19,10,0,0,6,10,65,0,0,1228
동문재래시장,2021-01-20,7,0,0,9,15,80,20,0,902
동문재래시장,2021-01-21,11,0,0,9,12,85,30,0,1043
동문재래시장,2021-01-22,8,1,0,7,12,95,20,0,773
동문재래시장,2021-01-23,9,2,0,6,10,90,80,1,627
동문재래시장,2021-01-24,9,2,0,9,13,70,20,0,1027
동문재래시장,2021-01-25,8,0,0,2,11,75,20,0,963
동문재래시장,2021-01-26,9,0,0,2,7,85,60,1,956
동문재래시장,2021-01-27,8,0,0,-2,8,55,10,0,1019
동문재래시장,2021-01-28,4,0,0,-1,2,60,60,1,1024
동문재래시장,2021-01-29,5,1,0,3,9,70,30,0,843
동문재래시장,2021-01-30,7,2,0,10,12,75,0,0,815
동문재래시장,2021-01-31,6,2,0,1,12,70,30,0,978
동문재래시장,2021-02-01,6,0,0,-1,1,85,80,1,214
동문재래시장,2021-02-02,9,0,0,4,7,70,20,0,1112
동문재래시장,2021-02-03,7,0,0,0,5,70,0,0,773
동문재래시장,2021-02-04,9,0,0,5,10,70,20,0,1150
동문재래시장,2021-02-05,3,1,0,5,14,75,30,0,844
동문재래시장,2021-02-06,8,2,0,0,11,75,0,0,734
동문재래시장,2021-02-07,8,2,0,0,3,75,0,0,1028
동문재래시장,2021-02-08,12,0,0,0,5,65,10,0,584
동문재래시장,2021-02-09,14,0,0,3,10,70,0,0,597
동문재래시장,2021-02-10,8,0,0,5,11,70,20,0,1287
동문재래시장,2021-02-11,3,0,1,6,13,75,20,0,777
동문재래시장,2021-02-12,3,1,1,7,15,75,30,0,929
동문재래시장,2021-02-13,12,2,1,7,16,75,0,0,1124
동문재래시장,2021-02-14,10,2,0,0,8,90,70,1,774
동문재래시장,2021-02-15,6,0,0,-2,7,65,20,0,1018
동문재래시장,2021-02-16,15,0,0,-2,0,80,60,1,759
동문재래시장,2021-02-17,8,0,0,-1,1,75,60,3,797
동문재래시장,2021-02-18,1,0,0,7,10,75,30,0,755
동문재래시장,2021-02-19,3,1,0,10,16,65,0,0,1164
동문재래시장,2021-02-20,5,2,0,11,19,65,0,0,752
동문재래시장,2021-02-21,5,2,0,1,19,70,0,0,611
동문재래시장,2021-02-22,13,0,0,1,8,70,0,0,745
동문재래시장,2021-02-23,6,0,0,6,12,55,20,0,918
동문재래시장,2021-02-24,5,0,0,8,13,60,20,0,898
동문재래시장,2021-02-25,6,0,0,8,10,80,70,1,1003
동문재래시장,2021-02-26,16,1,0,8,11,65,60,1,1060
동문재래시장,2021-02-27,4,2,0,12,15,70,20,0,135
동문재래시장,2021-02-28,12,2,0,5,18,85,60,1,851
동문재래시장,2021-03-01,5,0,1,3,6,90,63,1,939
동문재래시장,2021-03-02,10,0,0,6,11,70,0,0,733
동문재래시장,2021-03-03,9,0,0,10,13,65,20,0,1113
동문재래시장,2021-03-04,14,0,0,8,14,90,80,1,1007
동문재래시장,2021-03-05,14,1,0,6,13,75,20,0,1001
동문재래시장,2021-03-06,5,2,0,5,10,80,30,0,914
동문재래시장,2021-03-07,14,2,0,6,12,75,30,0,662
동문재래시장,2021-03-08,15,0,0,3,12,70,20,0,1063
동문재래시장,2021-03-09,10,0,0,7,14,60,30,0,812
동문재래시장,2021-03-10,10,0,0,10,16,75,0,0,773
동문재래시장,2021-03-11,7,0,0,7,12,80,30,0,957
동문재래시장,2021-03-12,8,1,0,5,12,90,30,0,738
동문재래시장,2021-03-13,7,2,0,4,13,70,0,0,1167
동문재래시장,2021-03-14,4,2,0,11,17,60,0,0,1066
동문재래시장,2021-03-15,3,0,0,3,14,75,30,0,931
동문재래시장,2021-03-16,12,0,0,7,14,55,0,0,686
동문재래시장,2021-03-17,9,0,0,9,15,60,0,0,719
동문재래시장,2021-03-18,6,0,0,11,15,75,20,0,960
동문재래시장,2021-03-19,7,1,0,6,17,80,30,0,645
동문재래시장,2021-03-20,11,2,0,3,10,90,60,1,963
동문재래시장,2021-03-21,7,2,0,4,10,60,10,0,515
동문재래시장,2021-03-22,3,0,0,6,14,50,0,0,856
동문재래시장,2021-03-23,7,0,0,8,16,55,0,0,300
동문재래시장,2021-03-24,10,0,0,6,17,70,30,0,989
동문재래시장,2021-03-25,10,0,0,11,20,55,0,0,1179
동문재래시장,2021-03-26,10,1,0,11,18,55,0,0,914
동문재래시장,2021-03-27,10,2,0,11,18,85,90,1,336
동문재래시장,2021-03-28,9,2,0,9,19,75,0,0,947
동문재래시장,2021-03-29,7,0,0,8,17,50,0,0,874
동문재래시장,2021-03-30,11,0,0,11,18,40,0,0,929
동문재래시장,2021-03-31,7,0,0,13,17,55,20,0,1119
동문재래시장,2021-04-01,7,0,0,15,20,80,60,1,884
동문재래시장,2021-04-02,6,1,0,12,20,80,30,0,986
동문재래시장,2021-04-03,8,2,0,8,12,90,80,1,928
동문재래시장,2021-04-04,10,2,0,6,12,90,60,1,693
동문재래시장,2021-04-05,11,0,0,7,15,55,0,0,954
동문재래시장,2021-04-06,10,0,0,8,15,55,0,0,481
동문재래시장,2021-04-07,6,0,0,7,15,55,20,0,1034
동문재래시장,2021-04-08,7,0,0,8,14,50,0,0,960
동문재래시장,2021-04-09,8,1,0,9,15,70,20,0,996
동문재래시장,2021-04-10,6,2,0,12,18,60,0,0,1078
동문재래시장,2021-04-11,5,2,0,12,18,65,10,0,1244
동문재래시장,2021-04-12,9,0,0,5,15,80,70,1,757
동문재래시장,2021-04-13,8,0,0,5,12,75,30,0,748
동문재래시장,2021-04-14,12,0,0,10,15,50,0,0,615
동문재래시장,2021-04-15,15,0,0,11,18,55,20,0,894
동문재래시장,2021-04-16,14,1,0,7,16,75,20,0,1063
동문재래시장,2021-04-17,6,2,0,7,14,50,0,0,894
동문재래시장,2021-04-18,6,2,0,6,17,55,0,0,998
동문재래시장,2021-04-19,12,0,0,9,19,40,0,0,777
동문재래시장,2021-04-20,12,0,0,13,21,50,0,0,915
동문재래시장,2021-04-21,12,0,0,15,22,55,30,0,1064
동문재래시장,2021-04-22,7,0,0,13,20,55,30,0,909
동문재래시장,2021-04-23,10,1,0,11,20,65,30,0,908
동문재래시장,2021-04-24,8,2,0,10,20,75,10,0,487
동문재래시장,2021-04-25,11,2,0,10,18,70,10,0,887
동문재래시장,2021-04-26,8,0,0,13,20,50,0,0,903
동문재래시장,2021-04-27,13,0,0,12,20,70,30,0,779
동문재래시장,2021-04-28,9,0,0,13,21,80,20,0,445
동문재래시장,2021-04-29,13,0,0,9,19,35,0,0,1163
동문재래시장,2021-04-30,10,1,0,9,14,35,10,0,736
동문재래시장,2021-05-01,9,2,0,7,14,65,10,0,1032
동문재래시장,2021-05-02,17,2,0,13,20,60,0,0,853
동문재래시장,2021-05-03,12,0,0,12,21,65,20,0,828
동문재래시장,2021-05-04,17,0,0,10,20,85,80,1,913
동문재래시장,2021-05-05,16,0,1,14,22,45,0,0,805
동문재래시장,2021-05-06,13,0,0,11,24,45,20,0,1089
동문재래시장,2021-05-07,13,1,0,13,24,55,10,0,1140
동문재래시장,2021-05-08,12,2,0,13,22,75,20,0,922
동문재래시장,2021-05-09,10,2,0,16,24,45,0,0,1025
동문재래시장,2021-05-10,13,0,0,17,22,75,30,0,688
동문재래시장,2021-05-11,11,0,0,16,21,85,73,1,923
동문재래시장,2021-05-12,10,0,0,17,22,90,30,0,852
동문재래시장,2021-05-13,10,0,0,20,25,75,20,0,696
동문재래시장,2021-05-14,11,1,0,20,26,80,30,0,812
동문재래시장,2021-05-15,13,2,0,16,27,80,30,0,796
동문재래시장,2021-05-16,12,2,0,13,20,85,60,1,1005
동문재래시장,2021-05-17,11,0,0,13,21,80,30,0,977
동문재래시장,2021-05-18,14,0,0,15,23,60,0,0,910
동문재래시장,2021-05-19,16,0,1,13,22,60,20,0,971
동문재래시장,2021-05-20,8,0,0,13,19,90,30,0,889
동문재래시장,2021-05-21,10,1,0,14,23,65,0,0,906
동문재래시장,2021-05-22,9,2,0,15,25,55,0,0,632
동문재래시장,2021-05-23,12,2,0,15,22,65,30,0,717
동문재래시장,2021-05-24,12,0,0,14,23,65,10,0,1159
동문재래시장,2021-05-25,8,0,0,15,24,50,0,0,872
동문재래시장,2021-05-26,13,0,0,15,22,70,60,1,1195
동문재래시장,2021-05-27,17,0,0,13,25,60,0,0,779
동문재래시장,2021-05-28,10,1,0,14,23,60,10,0,888
동문재래시장,2021-05-29,14,2,0,15,25,50,0,0,823
동문재래시장,2021-05-30,12,2,0,16,26,55,0,0,1007
동문재래시장,2021-05-31,11,0,0,17,27,55,0,0,833
동문재래시장,2021-06-01,16,0,0,19,26,65,0,0,1074
동문재래시장,2021-06-02,11,0,0,15,26,70,30,0,460
동문재래시장,2021-06-03,17,0,0,14,23,85,30,0,1214
동문재래시장,2021-06-04,10,1,0,16,26,50,0,0,826
동문재래시장,2021-06-05,5,2,0,16,28,65,0,0,826
동문재래시장,2021-06-06,5,2,1,18,28,60,20,0,384
동문재래시장,2021-06-07,15,0,0,20,28,60,0,0,784
동문재래시장,2021-06-08,12,0,0,19,27,75,10,0,844
동문재래시장,2021-06-09,10,0,0,21,26,80,60,1,997
동문재래시장,2021-06-10,9,0,0,19,26,85,60,1,974
동문재래시장,2021-06-11,8,1,0,18,27,80,10,0,937
동문재래시장,2021-06-12,8,2,0,18,25,85,20,0,922
동문재래시장,2021-06-13,12,2,0,18,26,80,20,0,976
동문재래시장,2021-06-14,16,0,0,19,24,75,20,0,1033
동문재래시장,2021-06-15,12,0,0,19,23,95,71,1,725
동문재래시장,2021-06-16,14,0,0,18,23,90,60,1,977
동문재래시장,2021-06-17,6,0,0,17,24,90,30,0,963
동문재래시장,2021-06-18,12,1,0,17,26,85,60,1,889
동문재래시장,2021-06-19,8,2,0,18,27,65,0,0,717
동문재래시장,2021-06-20,11,2,0,18,27,65,30,0,972
동문재래시장,2021-06-21,15,0,0,17,28,50,20,0,567
동문재래시장,2021-06-22,22,0,0,17,25,65,0,0,1063
동문재래시장,2021-06-23,13,0,0,17,25,80,20,0,939
동문재래시장,2021-06-24,11,0,0,19,25,85,30,0,1042
동문재래시장,2021-06-25,13,1,0,19,26,70,60,4,897
동문재래시장,2021-06-26,6,2,0,19,26,75,30,0,1107
동문재래시장,2021-06-27,11,2,0,19,26,70,0,0,530
동문재래시장,2021-06-28,15,0,0,19,26,80,10,0,887
동문재래시장,2021-06-29,14,0,0,20,27,75,60,4,741
동문재래시장,2021-06-30,20,0,0,21,28,80,60,4,935
동문재래시장,2021-07-01,12,0,0,21,27,75,0,0,926
동문재래시장,2021-07-02,12,1,0,24,27,85,30,0,999
동문재래시장,2021-07-03,12,2,0,22,27,80,30,0,1101
동문재래시장,2021-07-04,12,2,0,24,27,90,60,1,898
동문재래시장,2021-07-05,23,0,0,24,28,85,30,0,1019
동문재래시장,2021-07-06,12,0,0,24,29,85,30,0,1016
동문재래시장,2021-07-07,9,0,0,23,28,90,60,1,1065
동문재래시장,2021-07-08,11,0,0,22,28,85,60,1,784
동문재래시장,2021-07-09,15,1,0,23,29,85,30,0,543
동문재래시장,2021-07-10,9,2,0,23,30,75,20,0,766
동문재래시장,2021-07-11,12,2,0,23,32,75,30,0,791
동문재래시장,2021-07-12,17,0,0,24,31,75,20,0,696
동문재래시장,2021-07-13,8,0,0,23,30,80,20,0,949
동문재래시장,2021-07-14,11,0,0,22,31,75,30,0,1427
동문재래시장,2021-07-15,6,0,0,22,29,75,20,0,838
동문재래시장,2021-07-16,8,1,0,22,29,75,0,0,775
동문재래시장,2021-07-17,9,2,0,23,29,80,20,0,1073
동문재래시장,2021-07-18,10,2,0,23,29,80,20,0,1116
동문재래시장,2021-07-19,14,0,0,23,30,75,30,0,784
동문재래시장,2021-07-20,20,0,0,23,29,75,0,0,728
동문재래시장,2021-07-21,12,0,0,23,29,70,0,0,1147
동문재래시장,2021-07-22,12,0,0,23,30,75,20,0,1144
동문재래시장,2021-07-23,9,1,0,23,29,80,30,0,964
동문재래시장,2021-07-24,11,2,0,23,28,75,0,0,768
동문재래시장,2021-07-25,8,2,0,22,29,85,30,0,1042
동문재래시장,2021-07-26,13,0,0,22,30,80,60,1,994
동문재래시장,2021-07-27,11,0,0,22,30,65,0,0,1012
동문재래시장,2021-07-28,10,0,0,22,30,65,0,0,886
동문재래시장,2021-07-29,8,0,0,24,29,60,0,0,1109
동문재래시장,2021-07-30,14,1,0,23,30,85,30,0,1001
동문재래시장,2021-07-31,8,2,0,24,31,85,60,1,835
동문재래시장,2021-08-01,4,2,0,24,31,75,30,0,665
동문재래시장,2021-08-02,9,0,0,23,30,80,20,0,795
동문재래시장,2021-08-03,10,0,0,24,30,70,20,0,916
동문재래시장,2021-08-04,12,0,0,24,31,75,20,0,955
동문재래시장,2021-08-05,14,0,0,23,31,70,0,0,1121
동문재래시장,2021-08-06,6,1,0,23,31,75,0,0,903
동문재래시장,2021-08-07,4,2,0,23,29,80,0,0,995
동문재래시장,2021-08-08,7,2,0,22,29,85,30,0,451
