poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
금오름,2021-01-01,25,1,1,-1,5,75,30,0,380
금오름,2021-01-02,20,2,0,0,4,75,30,0,170
금오름,2021-01-03,23,2,0,3,7,75,30,0,291
금오름,2021-01-04,15,0,0,-1,5,75,0,0,253
금오름,2021-01-05,14,0,0,-4,2,75,30,0,70
금오름,2021-01-06,12,0,0,-5,-3,65,30,0,279
금오름,2021-01-07,13,0,0,-4,-3,85,90,3,100
금오름,2021-01-08,9,1,0,-1,-1,85,90,3,50
금오름,2021-01-09,14,2,0,0,2,80,80,3,203
금오름,2021-01-10,17,2,0,0,2,75,30,0,130
금오름,2021-01-11,23,0,0,2,4,90,80,3,397
금오름,2021-01-12,15,0,0,3,9,70,30,0,271
금오름,2021-01-13,18,0,0,6,10,75,0,0,493
금오름,2021-01-14,15,0,0,1,12,80,0,0,87
금오름,2021-01-15,13,1,0,-1,2,80,20,0,80
금오름,2021-01-16,6,2,0,0,1,75,30,0,229
금오름,2021-01-17,18,2,0,-2,6,65,30,0,275
금오름,2021-01-18,15,0,0,0,3,55,0,0,327
금오름,2021-01-19,17,0,0,6,10,65,0,0,96
금오름,2021-01-20,15,0,0,9,15,80,20,0,114
금오름,2021-01-21,18,0,0,9,12,85,30,0,130
금오름,2021-01-22,12,1,0,7,12,95,20,0,12
금오름,2021-01-23,14,2,0,6,10,90,80,1,165
금오름,2021-01-24,27,2,0,9,13,70,20,0,260
금오름,2021-01-25,16,0,0,2,11,75,20,0,176
금오름,2021-01-26,20,0,0,2,7,85,60,1,229
금오름,2021-01-27,12,0,0,-2,8,55,10,0,257
금오름,2021-01-28,25,0,0,-1,2,60,60,1,496
금오름,2021-01-29,17,1,0,3,9,70,30,0,265
금오름,2021-01-30,10,2,0,10,12,75,0,0,257
금오름,2021-01-31,21,2,0,1,12,70,30,0,240
금오름,2021-02-01,17,0,0,-1,1,85,80,1,13
금오름,2021-02-02,15,0,0,4,7,70,20,0,373
금오름,2021-02-03,20,0,0,0,5,70,0,0,263
금오름,2021-02-04,22,0,0,5,10,70,20,0,128
금오름,2021-02-05,20,1,0,5,14,75,30,0,288
금오름,2021-02-06,20,2,0,0,11,75,0,0,227
금오름,2021-02-07,25,2,0,0,3,75,0,0,372
금오름,2021-02-08,33,0,0,0,5,65,10,0,111
금오름,2021-02-09,23,0,0,3,10,70,0,0,271
금오름,2021-02-10,22,0,0,5,11,70,20,0,521
금오름,2021-02-11,15,0,1,6,13,75,20,0,212
금오름,2021-02-12,18,1,1,7,15,75,30,0,284
금오름,2021-02-13,11,2,1,7,16,75,0,0,443
금오름,2021-02-14,21,2,0,0,8,90,70,1,240
금오름,2021-02-15,23,0,0,-2,7,65,20,0,308
금오름,2021-02-16,28,0,0,-2,0,80,60,1,221
금오름,2021-02-17,20,0,0,-1,1,75,60,3,304
금오름,2021-02-18,18,0,0,7,10,75,30,0,192
금오름,2021-02-19,25,1,0,10,16,65,0,0,380
금오름,2021-02-20,11,2,0,11,19,65,0,0,232
금오름,2021-02-21,22,2,0,1,19,70,0,0,147
금오름,2021-02-22,21,0,0,1,8,70,0,0,234
금오름,2021-02-23,25,0,0,6,12,55,20,0,231
금오름,2021-02-24,30,0,0,8,13,60,20,0,246
금오름,2021-02-25,22,0,0,8,10,80,70,1,379
금오름,2021-02-26,19,1,0,8,11,65,60,1,385
금오름,2021-02-27,11,2,0,12,15,70,20,0,7
금오름,2021-02-28,22,2,0,5,18,85,60,1,232
금오름,2021-03-01,34,0,1,3,6,90,63,1,240
금오름,2021-03-02,27,0,0,6,11,70,0,0,230
금오름,2021-03-03,15,0,0,10,13,65,20,0,472
금오름,2021-03-04,19,0,0,8,14,90,80,1,201
금오름,2021-03-05,22,1,0,6,13,75,20,0,284
금오름,2021-03-06,17,2,0,5,10,80,30,0,270
금오름,2021-03-07,16,2,0,6,12,75,30,0,47
금오름,2021-03-08,22,0,0,3,12,70,20,0,406
금오름,2021-03-09,27,0,0,7,14,60,30,0,288
금오름,2021-03-10,34,0,0,10,16,75,0,0,288
금오름,2021-03-11,22,0,0,7,12,80,30,0,216
금오름,2021-03-12,30,1,0,5,12,90,30,0,182
금오름,2021-03-13,13,2,0,4,13,70,0,0,393
금오름,2021-03-14,23,2,0,11,17,60,0,0,442
금오름,2021-03-15,21,0,0,3,14,75,30,0,315
금오름,2021-03-16,26,0,0,7,14,55,0,0,22
금오름,2021-03-17,26,0,0,9,15,60,0,0,254
금오름,2021-03-18,31,0,0,11,15,75,20,0,252
금오름,2021-03-19,24,1,0,6,17,80,30,0,62
금오름,2021-03-20,33,2,0,3,10,90,60,1,385
금오름,2021-03-21,28,2,0,4,10,60,10,0,155
금오름,2021-03-22,37,0,0,6,14,50,0,0,207
금오름,2021-03-23,34,0,0,8,16,55,0,0,65
금오름,2021-03-24,39,0,0,6,17,70,30,0,227
금오름,2021-03-25,17,0,0,11,20,55,0,0,397
금오름,2021-03-26,25,1,0,11,18,55,0,0,191
금오름,2021-03-27,21,2,0,11,18,85,90,1,47
금오름,2021-03-28,28,2,0,9,19,75,0,0,239
금오름,2021-03-29,41,0,0,8,17,50,0,0,88
금오름,2021-03-30,32,0,0,11,18,40,0,0,208
금오름,2021-03-31,29,0,0,13,17,55,20,0,351
금오름,2021-04-01,34,0,0,15,20,80,60,1,260
금오름,2021-04-02,23,1,0,12,20,80,30,0,267
금오름,2021-04-03,30,2,0,8,12,90,80,1,309
금오름,2021-04-04,32,2,0,6,12,90,60,1,293
금오름,2021-04-05,34,0,0,7,15,55,0,0,229
금오름,2021-04-06,31,0,0,8,15,55,0,0,76
금오름,2021-04-07,31,0,0,7,15,55,20,0,128
금오름,2021-04-08,39,0,0,8,14,50,0,0,94
