poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
금능해수욕장,2021-01-01,10,1,1,-1,5,75,30,0,210
금능해수욕장,2021-01-02,19,2,0,0,4,75,30,0,186
금능해수욕장,2021-01-03,14,2,0,3,7,75,30,0,187
금능해수욕장,2021-01-04,21,0,0,-1,5,75,0,0,506
금능해수욕장,2021-01-05,11,0,0,-4,2,75,30,0,63
금능해수욕장,2021-01-06,21,0,0,-5,-3,65,30,0,189
금능해수욕장,2021-01-07,29,0,0,-4,-3,85,90,3,37
금능해수욕장,2021-01-08,13,1,0,-1,-1,85,90,3,34
금능해수욕장,2021-01-09,14,2,0,0,2,80,80,3,532
금능해수욕장,2021-01-10,18,2,0,0,2,75,30,0,40
금능해수욕장,2021-01-11,15,0,0,2,4,90,80,3,315
금능해수욕장,2021-01-12,17,0,0,3,9,70,30,0,157
금능해수욕장,2021-01-13,15,0,0,6,10,75,0,0,320
금능해수욕장,2021-01-14,24,0,0,1,12,80,0,0,81
금능해수욕장,2021-01-15,22,1,0,-1,2,80,20,0,78
금능해수욕장,2021-01-16,16,2,0,0,1,75,30,0,400
금능해수욕장,2021-01-17,16,2,0,-2,6,65,30,0,188
금능해수욕장,2021-01-18,24,0,0,0,3,55,0,0,364
금능해수욕장,2021-01-19,13,0,0,6,10,65,0,0,106
금능해수욕장,2021-01-20,18,0,0,9,15,80,20,0,97
금능해수욕장,2021-01-21,20,0,0,9,12,85,30,0,174
금능해수욕장,2021-01-22,18,1,0,7,12,95,20,0,30
금능해수욕장,2021-01-23,17,2,0,6,10,90,80,1,86
금능해수욕장,2021-01-24,24,2,0,9,13,70,20,0,137
금능해수욕장,2021-01-25,19,0,0,2,11,75,20,0,226
금능해수욕장,2021-01-26,16,0,0,2,7,85,60,1,154
금능해수욕장,2021-01-27,13,0,0,-2,8,55,10,0,128
금능해수욕장,2021-01-28,17,0,0,-1,2,60,60,1,358
금능해수욕장,2021-01-29,20,1,0,3,9,70,30,0,406
금능해수욕장,2021-01-30,13,2,0,10,12,75,0,0,109
금능해수욕장,2021-01-31,16,2,0,1,12,70,30,0,181
금능해수욕장,2021-02-01,19,0,0,-1,1,85,80,1,19
금능해수욕장,2021-02-02,19,0,0,4,7,70,20,0,393
금능해수욕장,2021-02-03,9,0,0,0,5,70,0,0,357
금능해수욕장,2021-02-04,15,0,0,5,10,70,20,0,66
금능해수욕장,2021-02-05,19,1,0,5,14,75,30,0,411
금능해수욕장,2021-02-06,13,2,0,0,11,75,0,0,86
금능해수욕장,2021-02-07,15,2,0,0,3,75,0,0,223
금능해수욕장,2021-02-08,23,0,0,0,5,65,10,0,102
금능해수욕장,2021-02-09,17,0,0,3,10,70,0,0,331
금능해수욕장,2021-02-10,20,0,0,5,11,70,20,0,455
금능해수욕장,2021-02-11,24,0,1,6,13,75,20,0,95
금능해수욕장,2021-02-12,18,1,1,7,15,75,30,0,436
금능해수욕장,2021-02-13,18,2,1,7,16,75,0,0,250
금능해수욕장,2021-02-14,25,2,0,0,8,90,70,1,274
금능해수욕장,2021-02-15,18,0,0,-2,7,65,20,0,174
금능해수욕장,2021-02-16,19,0,0,-2,0,80,60,1,269
금능해수욕장,2021-02-17,17,0,0,-1,1,75,60,3,358
금능해수욕장,2021-02-18,21,0,0,7,10,75,30,0,93
금능해수욕장,2021-02-19,18,1,0,10,16,65,0,0,417
금능해수욕장,2021-02-20,25,2,0,11,19,65,0,0,97
금능해수욕장,2021-02-21,14,2,0,1,19,70,0,0,157
금능해수욕장,2021-02-22,27,0,0,1,8,70,0,0,303
금능해수욕장,2021-02-23,17,0,0,6,12,55,20,0,103
금능해수욕장,2021-02-24,26,0,0,8,13,60,20,0,455
금능해수욕장,2021-02-25,20,0,0,8,10,80,70,1,472
금능해수욕장,2021-02-26,23,1,0,8,11,65,60,1,458
금능해수욕장,2021-02-27,16,2,0,12,15,70,20,0,19
금능해수욕장,2021-02-28,22,2,0,5,18,85,60,1,105
금능해수욕장,2021-03-01,14,0,1,3,6,90,63,1,232
금능해수욕장,2021-03-02,28,0,0,6,11,70,0,0,484
금능해수욕장,2021-03-03,19,0,0,10,13,65,20,0,446
금능해수욕장,2021-03-04,21,0,0,8,14,90,80,1,194
금능해수욕장,2021-03-05,23,1,0,6,13,75,20,0,187
금능해수욕장,2021-03-06,12,2,0,5,10,80,30,0,310
금능해수욕장,2021-03-07,19,2,0,6,12,75,30,0,51
금능해수욕장,2021-03-08,22,0,0,3,12,70,20,0,186
금능해수욕장,2021-03-09,26,0,0,7,14,60,30,0,294
금능해수욕장,2021-03-10,16,0,0,10,16,75,0,0,284
금능해수욕장,2021-03-11,18,0,0,7,12,80,30,0,207
금능해수욕장,2021-03-12,24,1,0,5,12,90,30,0,112
금능해수욕장,2021-03-13,20,2,0,4,13,70,0,0,493
금능해수욕장,2021-03-14,22,2,0,11,17,60,0,0,228
금능해수욕장,2021-03-15,24,0,0,3,14,75,30,0,227
금능해수욕장,2021-03-16,37,0,0,7,14,55,0,0,52
금능해수욕장,2021-03-17,26,0,0,9,15,60,0,0,358
금능해수욕장,2021-03-18,27,0,0,11,15,75,20,0,185
금능해수욕장,2021-03-19,22,1,0,6,17,80,30,0,53
금능해수욕장,2021-03-20,18,2,0,3,10,90,60,1,317
금능해수욕장,2021-03-21,19,2,0,4,10,60,10,0,102
금능해수욕장,2021-03-22,25,0,0,6,14,50,0,0,116
금능해수욕장,2021-03-23,30,0,0,8,16,55,0,0,41
금능해수욕장,2021-03-24,24,0,0,6,17,70,30,0,654
금능해수욕장,2021-03-25,25,0,0,11,20,55,0,0,288
금능해수욕장,2021-03-26,42,1,0,11,18,55,0,0,349
금능해수욕장,2021-03-27,37,2,0,11,18,85,90,1,41
금능해수욕장,2021-03-28,24,2,0,9,19,75,0,0,184
금능해수욕장,2021-03-29,32,0,0,8,17,50,0,0,44
금능해수욕장,2021-03-30,18,0,0,11,18,40,0,0,173
금능해수욕장,2021-03-31,17,0,0,13,17,55,20,0,293
금능해수욕장,2021-04-01,23,0,0,15,20,80,60,1,313
금능해수욕장,2021-04-02,22,1,0,12,20,80,30,0,157
금능해수욕장,2021-04-03,20,2,0,8,12,90,80,1,177
금능해수욕장,2021-04-04,25,2,0,6,12,90,60,1,266
금능해수욕장,2021-04-05,22,0,0,7,15,55,0,0,369
금능해수욕장,2021-04-06,29,0,0,8,15,55,0,0,71
금능해수욕장,2021-04-07,30,0,0,7,15,55,20,0,62
금능해수욕장,2021-04-08,25,0,0,8,14,50,0,0,68
금능해수욕장,2021-04-09,29,1,0,9,15,70,20,0,212
금능해수욕장,2021-04-10,21,2,0,12,18,60,0,0,350
금능해수욕장,2021-04-11,27,2,0,12,18,65,10,0,307
금능해수욕장,2021-04-12,24,0,0,5,15,80,70,1,59
금능해수욕장,2021-04-13,40,0,0,5,12,75,30,0,309
금능해수욕장,2021-04-14,36,0,0,10,15,50,0,0,67
금능해수욕장,2021-04-15,31,0,0,11,18,55,20,0,131
금능해수욕장,2021-04-16,44,1,0,7,16,75,20,0,274
금능해수욕장,2021-04-17,34,2,0,7,14,50,0,0,300
금능해수욕장,2021-04-18,40,2,0,6,17,55,0,0,156
금능해수욕장,2021-04-19,40,0,0,9,19,40,0,0,296
금능해수욕장,2021-04-20,32,0,0,13,21,50,0,0,67
금능해수욕장,2021-04-21,41,0,0,15,22,55,30,0,243
금능해수욕장,2021-04-22,44,0,0,13,20,55,30,0,232
금능해수욕장,2021-04-23,39,1,0,11,20,65,30,0,361
금능해수욕장,2021-04-24,30,2,0,10,20,75,10,0,71
금능해수욕장,2021-04-25,42,2,0,10,18,70,10,0,588
금능해수욕장,2021-04-26,46,0,0,13,20,50,0,0,123
금능해수욕장,2021-04-27,34,0,0,12,20,70,30,0,606
금능해수욕장,2021-04-28,49,0,0,13,21,80,20,0,84
금능해수욕장,2021-04-29,43,0,0,9,19,35,0,0,219
