poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
김녕해수욕장,2021-01-01,11,1,1,-1,5,75,30,0,215
김녕해수욕장,2021-01-02,19,2,0,0,4,75,30,0,185
김녕해수욕장,2021-01-03,13,2,0,3,7,75,30,0,241
김녕해수욕장,2021-01-04,22,0,0,-1,5,75,0,0,409
김녕해수욕장,2021-01-05,24,0,0,-4,2,75,30,0,107
김녕해수욕장,2021-01-06,15,0,0,-5,-3,65,30,0,221
김녕해수욕장,2021-01-07,13,0,0,-4,-3,85,90,3,80
김녕해수욕장,2021-01-08,15,1,0,-1,-1,85,90,3,34
김녕해수욕장,2021-01-09,15,2,0,0,2,80,80,3,453
김녕해수욕장,2021-01-10,25,2,0,0,2,75,30,0,94
김녕해수욕장,2021-01-11,16,0,0,2,4,90,80,3,236
김녕해수욕장,2021-01-12,15,0,0,3,9,70,30,0,184
김녕해수욕장,2021-01-13,15,0,0,6,10,75,0,0,229
김녕해수욕장,2021-01-14,17,0,0,1,12,80,0,0,53
김녕해수욕장,2021-01-15,11,1,0,-1,2,80,20,0,87
김녕해수욕장,2021-01-16,12,2,0,0,1,75,30,0,315
김녕해수욕장,2021-01-17,19,2,0,-2,6,65,30,0,185
김녕해수욕장,2021-01-18,20,0,0,0,3,55,0,0,341
김녕해수욕장,2021-01-19,16,0,0,6,10,65,0,0,184
김녕해수욕장,2021-01-20,12,0,0,9,15,80,20,0,86
김녕해수욕장,2021-01-21,16,0,0,9,12,85,30,0,135
김녕해수욕장,2021-01-22,17,1,0,7,12,95,20,0,51
김녕해수욕장,2021-01-23,11,2,0,6,10,90,80,1,120
김녕해수욕장,2021-01-24,16,2,0,9,13,70,20,0,140
김녕해수욕장,2021-01-25,18,0,0,2,11,75,20,0,184
김녕해수욕장,2021-01-26,17,0,0,2,7,85,60,1,186
김녕해수욕장,2021-01-27,9,0,0,-2,8,55,10,0,205
김녕해수욕장,2021-01-28,21,0,0,-1,2,60,60,1,250
김녕해수욕장,2021-01-29,10,1,0,3,9,70,30,0,320
김녕해수욕장,2021-01-30,10,2,0,10,12,75,0,0,125
김녕해수욕장,2021-01-31,21,2,0,1,12,70,30,0,203
김녕해수욕장,2021-02-01,24,0,0,-1,1,85,80,1,32
김녕해수욕장,2021-02-02,15,0,0,4,7,70,20,0,386
김녕해수욕장,2021-02-03,17,0,0,0,5,70,0,0,355
김녕해수욕장,2021-02-04,28,0,0,5,10,70,20,0,111
김녕해수욕장,2021-02-05,25,1,0,5,14,75,30,0,351
김녕해수욕장,2021-02-06,12,2,0,0,11,75,0,0,102
김녕해수욕장,2021-02-07,13,2,0,0,3,75,0,0,216
김녕해수욕장,2021-02-08,14,0,0,0,5,65,10,0,98
김녕해수욕장,2021-02-09,14,0,0,3,10,70,0,0,255
김녕해수욕장,2021-02-10,17,0,0,5,11,70,20,0,431
김녕해수욕장,2021-02-11,20,0,1,6,13,75,20,0,156
김녕해수욕장,2021-02-12,13,1,1,7,15,75,30,0,380
김녕해수욕장,2021-02-13,7,2,1,7,16,75,0,0,228
김녕해수욕장,2021-02-14,12,2,0,0,8,90,70,1,270
김녕해수욕장,2021-02-15,24,0,0,-2,7,65,20,0,199
김녕해수욕장,2021-02-16,12,0,0,-2,0,80,60,1,245
김녕해수욕장,2021-02-17,16,0,0,-1,1,75,60,3,291
김녕해수욕장,2021-02-18,17,0,0,7,10,75,30,0,158
김녕해수욕장,2021-02-19,15,1,0,10,16,65,0,0,309
김녕해수욕장,2021-02-20,13,2,0,11,19,65,0,0,104
김녕해수욕장,2021-02-21,14,2,0,1,19,70,0,0,147
김녕해수욕장,2021-02-22,16,0,0,1,8,70,0,0,284
김녕해수욕장,2021-02-23,25,0,0,6,12,55,20,0,172
김녕해수욕장,2021-02-24,18,0,0,8,13,60,20,0,284
김녕해수욕장,2021-02-25,27,0,0,8,10,80,70,1,413
김녕해수욕장,2021-02-26,18,1,0,8,11,65,60,1,376
김녕해수욕장,2021-02-27,16,2,0,12,15,70,20,0,26
김녕해수욕장,2021-02-28,13,2,0,5,18,85,60,1,178
김녕해수욕장,2021-03-01,18,0,1,3,6,90,63,1,217
김녕해수욕장,2021-03-02,21,0,0,6,11,70,0,0,324
김녕해수욕장,2021-03-03,17,0,0,10,13,65,20,0,360
김녕해수욕장,2021-03-04,17,0,0,8,14,90,80,1,174
김녕해수욕장,2021-03-05,17,1,0,6,13,75,20,0,261
김녕해수욕장,2021-03-06,18,2,0,5,10,80,30,0,238
김녕해수욕장,2021-03-07,22,2,0,6,12,75,30,0,71
김녕해수욕장,2021-03-08,21,0,0,3,12,70,20,0,222
김녕해수욕장,2021-03-09,18,0,0,7,14,60,30,0,221
김녕해수욕장,2021-03-10,19,0,0,10,16,75,0,0,233
김녕해수욕장,2021-03-11,17,0,0,7,12,80,30,0,181
