poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
곽지해수욕장,2021-01-01,13,1,1,-1,5,75,30,0,303
곽지해수욕장,2021-01-02,17,2,0,0,4,75,30,0,217
곽지해수욕장,2021-01-03,21,2,0,3,7,75,30,0,285
곽지해수욕장,2021-01-04,32,0,0,-1,5,75,0,0,621
곽지해수욕장,2021-01-05,31,0,0,-4,2,75,30,0,116
곽지해수욕장,2021-01-06,19,0,0,-5,-3,65,30,0,274
곽지해수욕장,2021-01-07,18,0,0,-4,-3,85,90,3,112
곽지해수욕장,2021-01-08,29,1,0,-1,-1,85,90,3,67
곽지해수욕장,2021-01-09,17,2,0,0,2,80,80,3,689
곽지해수욕장,2021-01-10,19,2,0,0,2,75,30,0,145
곽지해수욕장,2021-01-11,23,0,0,2,4,90,80,3,324
곽지해수욕장,2021-01-12,12,0,0,3,9,70,30,0,266
곽지해수욕장,2021-01-13,22,0,0,6,10,75,0,0,361
곽지해수욕장,2021-01-14,16,0,0,1,12,80,0,0,113
곽지해수욕장,2021-01-15,18,1,0,-1,2,80,20,0,112
곽지해수욕장,2021-01-16,14,2,0,0,1,75,30,0,440
곽지해수욕장,2021-01-17,8,2,0,-2,6,65,30,0,318
곽지해수욕장,2021-01-18,16,0,0,0,3,55,0,0,428
곽지해수욕장,2021-01-19,16,0,0,6,10,65,0,0,208
곽지해수욕장,2021-01-20,16,0,0,9,15,80,20,0,149
곽지해수욕장,2021-01-21,18,0,0,9,12,85,30,0,251
곽지해수욕장,2021-01-22,13,1,0,7,12,95,20,0,87
곽지해수욕장,2021-01-23,11,2,0,6,10,90,80,1,155
곽지해수욕장,2021-01-24,12,2,0,9,13,70,20,0,218
곽지해수욕장,2021-01-25,14,0,0,2,11,75,20,0,320
곽지해수욕장,2021-01-26,13,0,0,2,7,85,60,1,242
곽지해수욕장,2021-01-27,16,0,0,-2,8,55,10,0,238
곽지해수욕장,2021-01-28,21,0,0,-1,2,60,60,1,415
곽지해수욕장,2021-01-29,20,1,0,3,9,70,30,0,560
곽지해수욕장,2021-01-30,12,2,0,10,12,75,0,0,213
곽지해수욕장,2021-01-31,12,2,0,1,12,70,30,0,235
곽지해수욕장,2021-02-01,11,0,0,-1,1,85,80,1,45
곽지해수욕장,2021-02-02,18,0,0,4,7,70,20,0,526
곽지해수욕장,2021-02-03,13,0,0,0,5,70,0,0,385
곽지해수욕장,2021-02-04,12,0,0,5,10,70,20,0,172
곽지해수욕장,2021-02-05,19,1,0,5,14,75,30,0,508
곽지해수욕장,2021-02-06,9,2,0,0,11,75,0,0,182
곽지해수욕장,2021-02-07,10,2,0,0,3,75,0,0,296
곽지해수욕장,2021-02-08,14,0,0,0,5,65,10,0,144
곽지해수욕장,2021-02-09,19,0,0,3,10,70,0,0,329
곽지해수욕장,2021-02-10,14,0,0,5,11,70,20,0,509
곽지해수욕장,2021-02-11,23,0,1,6,13,75,20,0,194
곽지해수욕장,2021-02-12,15,1,1,7,15,75,30,0,468
곽지해수욕장,2021-02-13,13,2,1,7,16,75,0,0,318
곽지해수욕장,2021-02-14,20,2,0,0,8,90,70,1,338
곽지해수욕장,2021-02-15,21,0,0,-2,7,65,20,0,256
곽지해수욕장,2021-02-16,19,0,0,-2,0,80,60,1,343
곽지해수욕장,2021-02-17,21,0,0,-1,1,75,60,3,374
곽지해수욕장,2021-02-18,20,0,0,7,10,75,30,0,189
