poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
광치기해변,2021-01-01,36,1,1,3,11,60,30,0,206
광치기해변,2021-01-02,32,2,0,5,10,70,20,0,222
광치기해변,2021-01-03,21,2,0,7,12,70,20,0,183
광치기해변,2021-01-04,23,0,0,3,12,60,0,0,107
광치기해변,2021-01-05,23,0,0,1,8,65,20,0,176
광치기해변,2021-01-06,30,0,0,-1,3,55,30,0,126
광치기해변,2021-01-07,22,0,0,0,3,75,90,3,123
광치기해변,2021-01-08,25,1,0,2,5,75,90,3,150
광치기해변,2021-01-09,26,2,0,4,8,75,80,3,117
광치기해변,2021-01-10,22,2,0,3,8,65,30,0,119
광치기해변,2021-01-11,23,0,0,8,9,75,30,0,166
광치기해변,2021-01-12,28,0,0,9,14,60,30,0,165
광치기해변,2021-01-13,37,0,0,12,16,65,0,0,200
광치기해변,2021-01-14,37,0,0,5,17,75,0,0,134
광치기해변,2021-01-15,32,1,0,3,10,70,20,0,46
광치기해변,2021-01-16,22,2,0,4,7,70,20,0,93
광치기해변,2021-01-17,27,2,0,2,11,55,30,0,131
광치기해변,2021-01-18,39,0,0,6,11,45,0,0,114
광치기해변,2021-01-19,23,0,0,12,14,60,0,0,114
광치기해변,2021-01-20,29,0,0,14,17,75,30,0,126
광치기해변,2021-01-21,31,0,0,13,18,80,30,0,22
광치기해변,2021-01-22,24,1,0,11,16,85,60,1,177
광치기해변,2021-01-23,17,2,0,10,15,85,80,1,10
광치기해변,2021-01-24,20,2,0,13,16,70,20,0,58
광치기해변,2021-01-25,30,0,0,6,16,75,10,0,105
광치기해변,2021-01-26,15,0,0,7,14,75,30,0,142
광치기해변,2021-01-27,24,0,0,2,13,50,10,0,142
광치기해변,2021-01-28,57,0,0,3,8,55,20,0,183
광치기해변,2021-01-29,21,1,0,8,12,65,20,0,108
광치기해변,2021-01-30,22,2,0,14,15,65,0,0,75
광치기해변,2021-01-31,30,2,0,4,15,60,30,0,144
광치기해변,2021-02-01,20,0,0,2,9,80,80,1,244
광치기해변,2021-02-02,35,0,0,8,10,65,0,0,132
광치기해변,2021-02-03,30,0,0,6,12,65,0,0,93
광치기해변,2021-02-04,33,0,0,9,13,60,10,0,264
광치기해변,2021-02-05,28,1,0,9,17,65,30,0,166
광치기해변,2021-02-06,24,2,0,4,17,80,0,0,162
광치기해변,2021-02-07,31,2,0,2,10,60,0,0,141
광치기해변,2021-02-08,33,0,0,5,11,65,0,0,45
광치기해변,2021-02-09,24,0,0,7,14,70,0,0,222
광치기해변,2021-02-10,32,0,0,11,16,70,20,0,181
광치기해변,2021-02-11,42,0,1,11,17,80,20,0,116
광치기해변,2021-02-12,20,1,1,12,19,70,30,0,156
광치기해변,2021-02-13,36,2,1,11,18,70,0,0,142
광치기해변,2021-02-14,38,2,0,3,14,90,70,1,137
광치기해변,2021-02-15,34,0,0,2,11,65,0,0,210
광치기해변,2021-02-16,43,0,0,1,6,70,30,0,174
광치기해변,2021-02-17,28,0,0,2,7,70,60,3,183
광치기해변,2021-02-18,32,0,0,11,13,65,30,0,153
광치기해변,2021-02-19,28,1,0,14,18,65,0,0,131
광치기해변,2021-02-20,32,2,0,14,19,80,0,0,159
광치기해변,2021-02-21,44,2,0,7,20,90,0,0,108
광치기해변,2021-02-22,52,0,0,7,16,55,0,0,215
광치기해변,2021-02-23,27,0,0,11,16,45,20,0,156
광치기해변,2021-02-24,40,0,0,12,17,55,0,0,178
광치기해변,2021-02-25,47,0,0,11,14,80,70,1,148
광치기해변,2021-02-26,45,1,0,12,15,65,60,1,200
광치기해변,2021-02-27,34,2,0,15,17,70,20,0,157
광치기해변,2021-02-28,37,2,0,9,19,90,60,1,214
광치기해변,2021-03-01,46,0,1,7,13,90,70,1,153
광치기해변,2021-03-02,40,0,0,11,13,65,0,0,120
광치기해변,2021-03-03,45,0,0,13,16,70,20,0,84
광치기해변,2021-03-04,42,0,0,13,18,90,80,1,68
광치기해변,2021-03-05,23,1,0,10,18,75,20,0,121
광치기해변,2021-03-06,40,2,0,9,14,80,30,0,180
광치기해변,2021-03-07,35,2,0,10,16,75,30,0,252
광치기해변,2021-03-08,40,0,0,8,16,65,20,0,188
광치기해변,2021-03-09,35,0,0,12,18,65,30,0,43
광치기해변,2021-03-10,56,0,0,13,18,75,0,0,167
광치기해변,2021-03-11,50,0,0,10,18,80,30,0,110
광치기해변,2021-03-12,35,1,0,9,17,80,30,0,218
광치기해변,2021-03-13,38,2,0,10,18,75,20,0,69
광치기해변,2021-03-14,37,2,0,15,18,60,0,0,152
광치기해변,2021-03-15,38,0,0,10,20,80,30,0,197
광치기해변,2021-03-16,39,0,0,11,18,65,10,0,120
광치기해변,2021-03-17,35,0,0,13,19,65,10,0,32
광치기해변,2021-03-18,48,0,0,14,18,80,20,0,131
광치기해변,2021-03-19,70,1,0,10,19,85,30,0,138
광치기해변,2021-03-20,47,2,0,6,16,85,30,0,200
광치기해변,2021-03-21,46,2,0,7,15,60,10,0,178
광치기해변,2021-03-22,63,0,0,10,17,50,0,0,255
광치기해변,2021-03-23,52,0,0,12,18,65,0,0,128
광치기해변,2021-03-24,74,0,0,12,20,75,20,0,173
광치기해변,2021-03-25,58,0,0,15,20,75,0,0,121
광치기해변,2021-03-26,51,1,0,15,19,65,0,0,141
광치기해변,2021-03-27,42,2,0,14,20,100,90,1,142
광치기해변,2021-03-28,49,2,0,13,22,85,0,0,157
광치기해변,2021-03-29,36,0,0,13,20,65,0,0,186
광치기해변,2021-03-30,42,0,0,15,20,55,0,0,126
광치기해변,2021-03-31,34,0,0,16,19,65,20,0,174
광치기해변,2021-04-01,44,0,0,17,20,90,60,1,164
광치기해변,2021-04-02,37,1,0,15,20,90,30,0,129
광치기해변,2021-04-03,31,2,0,11,18,100,60,1,86
광치기해변,2021-04-04,24,2,0,11,18,80,30,0,110
광치기해변,2021-04-05,43,0,0,13,19,50,0,0,71
광치기해변,2021-04-06,37,0,0,12,21,45,0,0,83
광치기해변,2021-04-07,64,0,0,11,21,55,20,0,93
광치기해변,2021-04-08,43,0,0,12,19,40,0,0,135
광치기해변,2021-04-09,46,1,0,12,18,70,20,0,191
광치기해변,2021-04-10,59,2,0,16,20,65,0,0,156
광치기해변,2021-04-11,49,2,0,15,19,80,20,0,192
광치기해변,2021-04-12,56,0,0,9,21,100,84,1,226
광치기해변,2021-04-13,56,0,0,10,17,65,30,0,185
광치기해변,2021-04-14,46,0,0,14,18,45,0,0,143
광치기해변,2021-04-15,54,0,0,14,19,65,20,0,141
광치기해변,2021-04-16,38,1,0,10,20,75,30,0,124
광치기해변,2021-04-17,42,2,0,11,19,45,0,0,179
광치기해변,2021-04-18,40,2,0,12,21,45,0,0,157
광치기해변,2021-04-19,57,0,0,14,21,45,0,0,214
광치기해변,2021-04-20,50,0,0,16,22,60,0,0,124
광치기해변,2021-04-21,65,0,0,18,22,60,20,0,175
광치기해변,2021-04-22,77,0,0,16,22,70,30,0,197
광치기해변,2021-04-23,69,1,0,15,22,70,30,0,196
광치기해변,2021-04-24,42,2,0,13,23,80,10,0,107
광치기해변,2021-04-25,69,2,0,14,21,70,20,0,116
광치기해변,2021-04-26,52,0,0,16,21,55,0,0,144
광치기해변,2021-04-27,53,0,0,15,22,85,30,0,123
광치기해변,2021-04-28,43,0,0,16,23,90,20,0,160
광치기해변,2021-04-29,43,0,0,12,23,70,0,0,114
광치기해변,2021-04-30,39,1,0,11,20,40,10,0,215
광치기해변,2021-05-01,52,2,0,11,19,65,0,0,142
광치기해변,2021-05-02,53,2,0,17,20,50,0,0,89
광치기해변,2021-05-03,63,0,0,16,21,75,20,0,217
광치기해변,2021-05-04,40,0,0,14,24,100,80,1,73
광치기해변,2021-05-05,36,0,1,16,22,50,0,0,98
광치기해변,2021-05-06,48,0,0,15,23,50,20,0,77
광치기해변,2021-05-07,51,1,0,17,23,65,10,0,156
광치기해변,2021-05-08,32,2,0,17,23,90,30,0,114
광치기해변,2021-05-09,32,2,0,19,24,65,0,0,150
