poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
한림공원,2021-01-01,19,1,1,-1,5,75,30,0,94
한림공원,2021-01-02,9,2,0,0,4,75,30,0,44
한림공원,2021-01-03,9,2,0,3,7,75,30,0,127
한림공원,2021-01-04,19,0,0,-1,5,75,0,0,60
한림공원,2021-01-05,21,0,0,-4,2,75,30,0,26
한림공원,2021-01-06,18,0,0,-5,-3,65,30,0,137
한림공원,2021-01-07,26,0,0,-4,-3,85,90,3,26
한림공원,2021-01-08,30,1,0,-1,-1,85,90,3,12
한림공원,2021-01-09,14,2,0,0,2,80,80,3,64
한림공원,2021-01-10,12,2,0,0,2,75,30,0,48
한림공원,2021-01-11,31,0,0,2,4,90,80,3,147
한림공원,2021-01-12,21,0,0,3,9,70,30,0,66
한림공원,2021-01-13,28,0,0,6,10,75,0,0,169
한림공원,2021-01-14,34,0,0,1,12,80,0,0,16
한림공원,2021-01-15,14,1,0,-1,2,80,20,0,38
한림공원,2021-01-16,15,2,0,0,1,75,30,0,50
한림공원,2021-01-17,13,2,0,-2,6,65,30,0,88
한림공원,2021-01-18,24,0,0,0,3,55,0,0,86
한림공원,2021-01-19,16,0,0,6,10,65,0,0,56
한림공원,2021-01-20,35,0,0,9,15,80,20,0,64
한림공원,2021-01-21,14,0,0,9,12,85,30,0,60
한림공원,2021-01-22,15,1,0,7,12,95,20,0,39
한림공원,2021-01-23,15,2,0,6,10,90,80,1,68
한림공원,2021-01-24,16,2,0,9,13,70,20,0,81
한림공원,2021-01-25,21,0,0,2,11,75,20,0,56
한림공원,2021-01-26,15,0,0,2,7,85,60,1,118
한림공원,2021-01-27,26,0,0,-2,8,55,10,0,75
한림공원,2021-01-28,18,0,0,-1,2,60,60,1,77
한림공원,2021-01-29,18,1,0,3,9,70,30,0,85
한림공원,2021-01-30,14,2,0,10,12,75,0,0,71
한림공원,2021-01-31,17,2,0,1,12,70,30,0,90
한림공원,2021-02-01,21,0,0,-1,1,85,80,1,10
한림공원,2021-02-02,22,0,0,4,7,70,20,0,127
한림공원,2021-02-03,11,0,0,0,5,70,0,0,93
한림공원,2021-02-04,17,0,0,5,10,70,20,0,69
한림공원,2021-02-05,18,1,0,5,14,75,30,0,64
한림공원,2021-02-06,10,2,0,0,11,75,0,0,32
한림공원,2021-02-07,16,2,0,0,3,75,0,0,111
한림공원,2021-02-08,19,0,0,0,5,65,10,0,41
한림공원,2021-02-09,21,0,0,3,10,70,0,0,63
한림공원,2021-02-10,27,0,0,5,11,70,20,0,124
한림공원,2021-02-11,11,0,1,6,13,75,20,0,82
한림공원,2021-02-12,11,1,1,7,15,75,30,0,116
한림공원,2021-02-13,13,2,1,7,16,75,0,0,109
한림공원,2021-02-14,16,2,0,0,8,90,70,1,50
한림공원,2021-02-15,24,0,0,-2,7,65,20,0,101
한림공원,2021-02-16,24,0,0,-2,0,80,60,1,33
한림공원,2021-02-17,19,0,0,-1,1,75,60,3,95
한림공원,2021-02-18,24,0,0,7,10,75,30,0,95
한림공원,2021-02-19,26,1,0,10,16,65,0,0,107
한림공원,2021-02-20,20,2,0,11,19,65,0,0,48
한림공원,2021-02-21,25,2,0,1,19,70,0,0,54
한림공원,2021-02-22,31,0,0,1,8,70,0,0,49
한림공원,2021-02-23,24,0,0,6,12,55,20,0,78
한림공원,2021-02-24,26,0,0,8,13,60,20,0,81
한림공원,2021-02-25,18,0,0,8,10,80,70,1,130
한림공원,2021-02-26,25,1,0,8,11,65,60,1,140
한림공원,2021-02-27,16,2,0,12,15,70,20,0,7
한림공원,2021-02-28,37,2,0,5,18,85,60,1,67
한림공원,2021-03-01,20,0,1,3,6,90,63,1,110
한림공원,2021-03-02,27,0,0,6,11,70,0,0,81
한림공원,2021-03-03,31,0,0,10,13,65,20,0,124
한림공원,2021-03-04,25,0,0,8,14,90,80,1,115
한림공원,2021-03-05,24,1,0,6,13,75,20,0,89
한림공원,2021-03-06,37,2,0,5,10,80,30,0,74
한림공원,2021-03-07,13,2,0,6,12,75,30,0,62
한림공원,2021-03-08,32,0,0,3,12,70,20,0,119
한림공원,2021-03-09,22,0,0,7,14,60,30,0,79
한림공원,2021-03-10,34,0,0,10,16,75,0,0,57
한림공원,2021-03-11,26,0,0,7,12,80,30,0,86
한림공원,2021-03-12,23,1,0,5,12,90,30,0,71
한림공원,2021-03-13,11,2,0,4,13,70,0,0,112
한림공원,2021-03-14,19,2,0,11,17,60,0,0,113
한림공원,2021-03-15,26,0,0,3,14,75,30,0,101
한림공원,2021-03-16,34,0,0,7,14,55,0,0,17
한림공원,2021-03-17,31,0,0,9,15,60,0,0,58
한림공원,2021-03-18,32,0,0,11,15,75,20,0,100
한림공원,2021-03-19,35,1,0,6,17,80,30,0,24
한림공원,2021-03-20,23,2,0,3,10,90,60,1,99
한림공원,2021-03-21,39,2,0,4,10,60,10,0,26
한림공원,2021-03-22,34,0,0,6,14,50,0,0,60
한림공원,2021-03-23,21,0,0,8,16,55,0,0,14
한림공원,2021-03-24,27,0,0,6,17,70,30,0,72
한림공원,2021-03-25,33,0,0,11,20,55,0,0,160
한림공원,2021-03-26,31,1,0,11,18,55,0,0,54
한림공원,2021-03-27,32,2,0,11,18,85,90,1,20
한림공원,2021-03-28,22,2,0,9,19,75,0,0,114
한림공원,2021-03-29,20,0,0,8,17,50,0,0,29
한림공원,2021-03-30,21,0,0,11,18,40,0,0,89
한림공원,2021-03-31,29,0,0,13,17,55,20,0,100
한림공원,2021-04-01,33,0,0,15,20,80,60,1,55
한림공원,2021-04-02,25,1,0,12,20,80,30,0,125
한림공원,2021-04-03,25,2,0,8,12,90,80,1,114
한림공원,2021-04-04,17,2,0,6,12,90,60,1,35
한림공원,2021-04-05,26,0,0,7,15,55,0,0,80
한림공원,2021-04-06,28,0,0,8,15,55,0,0,36
한림공원,2021-04-07,32,0,0,7,15,55,20,0,78
한림공원,2021-04-08,25,0,0,8,14,50,0,0,68
한림공원,2021-04-09,25,1,0,9,15,70,20,0,89
한림공원,2021-04-10,21,2,0,12,18,60,0,0,73
한림공원,2021-04-11,14,2,0,12,18,65,10,0,116
한림공원,2021-04-12,40,0,0,5,15,80,70,1,44
한림공원,2021-04-13,25,0,0,5,12,75,30,0,42
한림공원,2021-04-14,49,0,0,10,15,50,0,0,26
한림공원,2021-04-15,41,0,0,11,18,55,20,0,91
한림공원,2021-04-16,34,1,0,7,16,75,20,0,109
한림공원,2021-04-17,30,2,0,7,14,50,0,0,72
한림공원,2021-04-18,34,2,0,6,17,55,0,0,67
한림공원,2021-04-19,45,0,0,9,19,40,0,0,66
한림공원,2021-04-20,32,0,0,13,21,50,0,0,40
한림공원,2021-04-21,46,0,0,15,22,55,30,0,127
한림공원,2021-04-22,52,0,0,13,20,55,30,0,110
한림공원,2021-04-23,38,1,0,11,20,65,30,0,78
한림공원,2021-04-24,33,2,0,10,20,75,10,0,40
한림공원,2021-04-25,43,2,0,10,18,70,10,0,82
한림공원,2021-04-26,37,0,0,13,20,50,0,0,79
한림공원,2021-04-27,28,0,0,12,20,70,30,0,59
한림공원,2021-04-28,32,0,0,13,21,80,20,0,28
