poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
헬로키티아일랜드,2021-01-01,5,1,1,3,11,60,30,0,44
헬로키티아일랜드,2021-01-02,1,2,0,5,10,70,20,0,75
헬로키티아일랜드,2021-01-03,2,2,0,7,12,70,20,0,21
헬로키티아일랜드,2021-01-04,0,0,0,3,12,60,0,0,19
헬로키티아일랜드,2021-01-05,18,0,0,1,8,65,20,0,73
헬로키티아일랜드,2021-01-06,1,0,0,-1,3,55,30,0,64
헬로키티아일랜드,2021-01-07,3,0,0,0,3,75,90,3,47
헬로키티아일랜드,2021-01-08,3,1,0,2,5,75,90,3,62
헬로키티아일랜드,2021-01-09,2,2,0,4,8,75,80,3,38
헬로키티아일랜드,2021-01-10,1,2,0,3,8,65,30,0,89
헬로키티아일랜드,2021-01-11,1,0,0,8,9,75,30,0,60
헬로키티아일랜드,2021-01-12,4,0,0,9,14,60,30,0,58
헬로키티아일랜드,2021-01-13,1,0,0,12,16,65,0,0,53
헬로키티아일랜드,2021-01-14,2,0,0,5,17,75,0,0,32
헬로키티아일랜드,2021-01-15,3,1,0,3,10,70,20,0,19
헬로키티아일랜드,2021-01-16,0,2,0,4,7,70,20,0,113
헬로키티아일랜드,2021-01-17,4,2,0,2,11,55,30,0,32
헬로키티아일랜드,2021-01-18,3,0,0,6,11,45,0,0,70
헬로키티아일랜드,2021-01-19,2,0,0,12,14,60,0,0,131
헬로키티아일랜드,2021-01-20,0,0,0,14,17,75,30,0,45
헬로키티아일랜드,2021-01-21,2,0,0,13,18,80,30,0,49
헬로키티아일랜드,2021-01-22,3,1,0,11,16,85,60,1,101
헬로키티아일랜드,2021-01-23,0,2,0,10,15,85,80,1,7
헬로키티아일랜드,2021-01-24,2,2,0,13,16,70,20,0,84
헬로키티아일랜드,2021-01-25,0,0,0,6,16,75,10,0,52
헬로키티아일랜드,2021-01-26,1,0,0,7,14,75,30,0,111
헬로키티아일랜드,2021-01-27,3,0,0,2,13,50,10,0,54
헬로키티아일랜드,2021-01-28,2,0,0,3,8,55,20,0,42
헬로키티아일랜드,2021-01-29,4,1,0,8,12,65,20,0,44
헬로키티아일랜드,2021-01-30,5,2,0,14,15,65,0,0,56
헬로키티아일랜드,2021-01-31,2,2,0,4,15,60,30,0,18
