poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
협재해수욕장,2021-01-01,37,1,1,-1,5,75,30,0,597
협재해수욕장,2021-01-02,47,2,0,0,4,75,30,0,420
협재해수욕장,2021-01-03,51,2,0,3,7,75,30,0,665
협재해수욕장,2021-01-04,53,0,0,-1,5,75,0,0,858
협재해수욕장,2021-01-05,49,0,0,-4,2,75,30,0,227
협재해수욕장,2021-01-06,44,0,0,-5,-3,65,30,0,630
협재해수욕장,2021-01-07,56,0,0,-4,-3,85,90,3,251
협재해수욕장,2021-01-08,52,1,0,-1,-1,85,90,3,119
협재해수욕장,2021-01-09,40,2,0,0,2,80,80,3,937
협재해수욕장,2021-01-10,42,2,0,0,2,75,30,0,283
협재해수욕장,2021-01-11,45,0,0,2,4,90,80,3,757
협재해수욕장,2021-01-12,36,0,0,3,9,70,30,0,562
협재해수욕장,2021-01-13,63,0,0,6,10,75,0,0,695
협재해수욕장,2021-01-14,57,0,0,1,12,80,0,0,233
협재해수욕장,2021-01-15,44,1,0,-1,2,80,20,0,307
협재해수욕장,2021-01-16,36,2,0,0,1,75,30,0,811
협재해수욕장,2021-01-17,28,2,0,-2,6,65,30,0,588
협재해수욕장,2021-01-18,50,0,0,0,3,55,0,0,804
협재해수욕장,2021-01-19,34,0,0,6,10,65,0,0,428
협재해수욕장,2021-01-20,55,0,0,9,15,80,20,0,372
협재해수욕장,2021-01-21,48,0,0,9,12,85,30,0,432
협재해수욕장,2021-01-22,39,1,0,7,12,95,20,0,184
협재해수욕장,2021-01-23,42,2,0,6,10,90,80,1,418
협재해수욕장,2021-01-24,50,2,0,9,13,70,20,0,457
협재해수욕장,2021-01-25,48,0,0,2,11,75,20,0,557
협재해수욕장,2021-01-26,50,0,0,2,7,85,60,1,605
협재해수욕장,2021-01-27,53,0,0,-2,8,55,10,0,466
협재해수욕장,2021-01-28,37,0,0,-1,2,60,60,1,783
