poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
이호테우해변,2021-01-01,22,1,1,-1,5,75,30,0,374
이호테우해변,2021-01-02,33,2,0,0,4,75,30,0,201
이호테우해변,2021-01-03,30,2,0,3,7,75,30,0,398
이호테우해변,2021-01-04,37,0,0,-1,5,75,0,0,448
이호테우해변,2021-01-05,41,0,0,-4,2,75,30,0,144
이호테우해변,2021-01-06,39,0,0,-5,-3,65,30,0,395
이호테우해변,2021-01-07,39,0,0,-4,-3,85,90,3,145
이호테우해변,2021-01-08,34,1,0,-1,-1,85,90,3,78
이호테우해변,2021-01-09,24,2,0,0,2,80,80,3,522
이호테우해변,2021-01-10,38,2,0,0,2,75,30,0,197
이호테우해변,2021-01-11,37,0,0,2,4,90,80,3,421
이호테우해변,2021-01-12,35,0,0,3,9,70,30,0,345
이호테우해변,2021-01-13,32,0,0,6,10,75,0,0,483
이호테우해변,2021-01-14,31,0,0,1,12,80,0,0,115
이호테우해변,2021-01-15,35,1,0,-1,2,80,20,0,210
이호테우해변,2021-01-16,18,2,0,0,1,75,30,0,493
이호테우해변,2021-01-17,27,2,0,-2,6,65,30,0,370
이호테우해변,2021-01-18,31,0,0,0,3,55,0,0,477
이호테우해변,2021-01-19,29,0,0,6,10,65,0,0,304
이호테우해변,2021-01-20,23,0,0,9,15,80,20,0,228
이호테우해변,2021-01-21,28,0,0,9,12,85,30,0,298
이호테우해변,2021-01-22,23,1,0,7,12,95,20,0,138
이호테우해변,2021-01-23,26,2,0,6,10,90,80,1,212
이호테우해변,2021-01-24,22,2,0,9,13,70,20,0,329
이호테우해변,2021-01-25,19,0,0,2,11,75,20,0,366
이호테우해변,2021-01-26,28,0,0,2,7,85,60,1,373
이호테우해변,2021-01-27,26,0,0,-2,8,55,10,0,366
이호테우해변,2021-01-28,30,0,0,-1,2,60,60,1,436
이호테우해변,2021-01-29,14,1,0,3,9,70,30,0,515
이호테우해변,2021-01-30,14,2,0,10,12,75,0,0,256
이호테우해변,2021-01-31,29,2,0,1,12,70,30,0,412
이호테우해변,2021-02-01,14,0,0,-1,1,85,80,1,61
이호테우해변,2021-02-02,29,0,0,4,7,70,20,0,537
이호테우해변,2021-02-03,24,0,0,0,5,70,0,0,428
이호테우해변,2021-02-04,30,0,0,5,10,70,20,0,217
이호테우해변,2021-02-05,25,1,0,5,14,75,30,0,512
이호테우해변,2021-02-06,15,2,0,0,11,75,0,0,274
이호테우해변,2021-02-07,29,2,0,0,3,75,0,0,348
이호테우해변,2021-02-08,30,0,0,0,5,65,10,0,250
이호테우해변,2021-02-09,29,0,0,3,10,70,0,0,364
이호테우해변,2021-02-10,29,0,0,5,11,70,20,0,514
이호테우해변,2021-02-11,18,0,1,6,13,75,20,0,334
이호테우해변,2021-02-12,18,1,1,7,15,75,30,0,475
이호테우해변,2021-02-13,19,2,1,7,16,75,0,0,406
이호테우해변,2021-02-14,22,2,0,0,8,90,70,1,397
이호테우해변,2021-02-15,32,0,0,-2,7,65,20,0,276
이호테우해변,2021-02-16,26,0,0,-2,0,80,60,1,342
이호테우해변,2021-02-17,38,0,0,-1,1,75,60,3,394
이호테우해변,2021-02-18,32,0,0,7,10,75,30,0,275
이호테우해변,2021-02-19,31,1,0,10,16,65,0,0,528
이호테우해변,2021-02-20,36,2,0,11,19,65,0,0,292
이호테우해변,2021-02-21,27,2,0,1,19,70,0,0,291
이호테우해변,2021-02-22,31,0,0,1,8,70,0,0,402
이호테우해변,2021-02-23,32,0,0,6,12,55,20,0,247
이호테우해변,2021-02-24,31,0,0,8,13,60,20,0,493
이호테우해변,2021-02-25,38,0,0,8,10,80,70,1,443
이호테우해변,2021-02-26,28,1,0,8,11,65,60,1,553
이호테우해변,2021-02-27,33,2,0,12,15,70,20,0,34
이호테우해변,2021-02-28,30,2,0,5,18,85,60,1,317
이호테우해변,2021-03-01,28,0,1,3,6,90,63,1,453
이호테우해변,2021-03-02,23,0,0,6,11,70,0,0,541
이호테우해변,2021-03-03,29,0,0,10,13,65,20,0,533
이호테우해변,2021-03-04,39,0,0,8,14,90,80,1,357
이호테우해변,2021-03-05,42,1,0,6,13,75,20,0,375
이호테우해변,2021-03-06,26,2,0,5,10,80,30,0,418
이호테우해변,2021-03-07,31,2,0,6,12,75,30,0,175
이호테우해변,2021-03-08,34,0,0,3,12,70,20,0,364
이호테우해변,2021-03-09,36,0,0,7,14,60,30,0,428
이호테우해변,2021-03-10,31,0,0,10,16,75,0,0,418
이호테우해변,2021-03-11,49,0,0,7,12,80,30,0,372
이호테우해변,2021-03-12,33,1,0,5,12,90,30,0,299
이호테우해변,2021-03-13,28,2,0,4,13,70,0,0,537
이호테우해변,2021-03-14,34,2,0,11,17,60,0,0,423
이호테우해변,2021-03-15,43,0,0,3,14,75,30,0,330
이호테우해변,2021-03-16,52,0,0,7,14,55,0,0,183
이호테우해변,2021-03-17,38,0,0,9,15,60,0,0,448
이호테우해변,2021-03-18,49,0,0,11,15,75,20,0,327
이호테우해변,2021-03-19,69,1,0,6,17,80,30,0,149
이호테우해변,2021-03-20,37,2,0,3,10,90,60,1,378
이호테우해변,2021-03-21,54,2,0,4,10,60,10,0,160
이호테우해변,2021-03-22,72,0,0,6,14,50,0,0,352
이호테우해변,2021-03-23,71,0,0,8,16,55,0,0,108
이호테우해변,2021-03-24,85,0,0,6,17,70,30,0,617
이호테우해변,2021-03-25,62,0,0,11,20,55,0,0,483
이호테우해변,2021-03-26,64,1,0,11,18,55,0,0,400
이호테우해변,2021-03-27,41,2,0,11,18,85,90,1,93
이호테우해변,2021-03-28,35,2,0,9,19,75,0,0,360
이호테우해변,2021-03-29,39,0,0,8,17,50,0,0,216
이호테우해변,2021-03-30,35,0,0,11,18,40,0,0,298
이호테우해변,2021-03-31,43,0,0,13,17,55,20,0,449
이호테우해변,2021-04-01,49,0,0,15,20,80,60,1,368
이호테우해변,2021-04-02,37,1,0,12,20,80,30,0,359
이호테우해변,2021-04-03,36,2,0,8,12,90,80,1,399
이호테우해변,2021-04-04,33,2,0,6,12,90,60,1,348
이호테우해변,2021-04-05,51,0,0,7,15,55,0,0,526
이호테우해변,2021-04-06,47,0,0,8,15,55,0,0,188
이호테우해변,2021-04-07,79,0,0,7,15,55,20,0,249
이호테우해변,2021-04-08,61,0,0,8,14,50,0,0,254
이호테우해변,2021-04-09,59,1,0,9,15,70,20,0,383
이호테우해변,2021-04-10,38,2,0,12,18,60,0,0,533
이호테우해변,2021-04-11,42,2,0,12,18,65,10,0,443
이호테우해변,2021-04-12,59,0,0,5,15,80,70,1,216
이호테우해변,2021-04-13,65,0,0,5,12,75,30,0,372
이호테우해변,2021-04-14,49,0,0,10,15,50,0,0,118
이호테우해변,2021-04-15,68,0,0,11,18,55,20,0,286
이호테우해변,2021-04-16,44,1,0,7,16,75,20,0,442
이호테우해변,2021-04-17,48,2,0,7,14,50,0,0,370
이호테우해변,2021-04-18,50,2,0,6,17,55,0,0,364
이호테우해변,2021-04-19,84,0,0,9,19,40,0,0,429
이호테우해변,2021-04-20,60,0,0,13,21,50,0,0,203
이호테우해변,2021-04-21,78,0,0,15,22,55,30,0,412
이호테우해변,2021-04-22,77,0,0,13,20,55,30,0,367
이호테우해변,2021-04-23,78,1,0,11,20,65,30,0,430
이호테우해변,2021-04-24,63,2,0,10,20,75,10,0,177
