poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
제주항공우주박물관,2021-01-01,4,1,1,3,11,60,30,0,51
제주항공우주박물관,2021-01-02,3,2,0,5,10,70,20,0,52
제주항공우주박물관,2021-01-03,3,2,0,7,12,70,20,0,13
제주항공우주박물관,2021-01-04,5,0,0,3,12,60,0,0,52
제주항공우주박물관,2021-01-05,9,0,0,1,8,65,20,0,123
제주항공우주박물관,2021-01-06,8,0,0,-1,3,55,30,0,92
제주항공우주박물관,2021-01-07,7,0,0,0,3,75,90,3,83
제주항공우주박물관,2021-01-08,4,1,0,2,5,75,90,3,123
제주항공우주박물관,2021-01-09,2,2,0,4,8,75,80,3,57
제주항공우주박물관,2021-01-10,5,2,0,3,8,65,30,0,131
제주항공우주박물관,2021-01-11,7,0,0,8,9,75,30,0,48
제주항공우주박물관,2021-01-12,4,0,0,9,14,60,30,0,65
제주항공우주박물관,2021-01-13,4,0,0,12,16,65,0,0,121
제주항공우주박물관,2021-01-14,4,0,0,5,17,75,0,0,46
제주항공우주박물관,2021-01-15,5,1,0,3,10,70,20,0,18
제주항공우주박물관,2021-01-16,2,2,0,4,7,70,20,0,218
제주항공우주박물관,2021-01-17,2,2,0,2,11,55,30,0,39
제주항공우주박물관,2021-01-18,7,0,0,6,11,45,0,0,134
제주항공우주박물관,2021-01-19,2,0,0,12,14,60,0,0,230
제주항공우주박물관,2021-01-20,7,0,0,14,17,75,30,0,36
제주항공우주박물관,2021-01-21,5,0,0,13,18,80,30,0,107
제주항공우주박물관,2021-01-22,4,1,0,11,16,85,60,1,166
제주항공우주박물관,2021-01-23,0,2,0,10,15,85,80,1,8
제주항공우주박물관,2021-01-24,1,2,0,13,16,70,20,0,131
제주항공우주박물관,2021-01-25,6,0,0,6,16,75,10,0,68
제주항공우주박물관,2021-01-26,6,0,0,7,14,75,30,0,229
제주항공우주박물관,2021-01-27,3,0,0,2,13,50,10,0,62
제주항공우주박물관,2021-01-28,8,0,0,3,8,55,20,0,29
제주항공우주박물관,2021-01-29,4,1,0,8,12,65,20,0,25
제주항공우주박물관,2021-01-30,3,2,0,14,15,65,0,0,126
제주항공우주박물관,2021-01-31,2,2,0,4,15,60,30,0,16
제주항공우주박물관,2021-02-01,5,0,0,2,9,80,80,1,94
제주항공우주박물관,2021-02-02,2,0,0,8,10,65,0,0,48
제주항공우주박물관,2021-02-03,2,0,0,6,12,65,0,0,75
제주항공우주박물관,2021-02-04,4,0,0,9,13,60,10,0,108
제주항공우주박물관,2021-02-05,5,1,0,9,17,65,30,0,40
제주항공우주박물관,2021-02-06,0,2,0,4,17,80,0,0,83
제주항공우주박물관,2021-02-07,5,2,0,2,10,60,0,0,108
제주항공우주박물관,2021-02-08,3,0,0,5,11,65,0,0,106
제주항공우주박물관,2021-02-09,1,0,0,7,14,70,0,0,32
제주항공우주박물관,2021-02-10,1,0,0,11,16,70,20,0,86
제주항공우주박물관,2021-02-11,1,0,1,11,17,80,20,0,37
제주항공우주박물관,2021-02-12,2,1,1,12,19,70,30,0,72
제주항공우주박물관,2021-02-13,3,2,1,11,18,70,0,0,223
제주항공우주박물관,2021-02-14,2,2,0,3,14,90,70,1,76
제주항공우주박물관,2021-02-15,4,0,0,2,11,65,0,0,56
제주항공우주박물관,2021-02-16,3,0,0,1,6,70,30,0,69
제주항공우주박물관,2021-02-17,7,0,0,2,7,70,60,3,65
제주항공우주박물관,2021-02-18,3,0,0,11,13,65,30,0,109
제주항공우주박물관,2021-02-19,3,1,0,14,18,65,0,0,34
제주항공우주박물관,2021-02-20,5,2,0,14,19,80,0,0,64
제주항공우주박물관,2021-02-21,3,2,0,7,20,90,0,0,151
제주항공우주박물관,2021-02-22,5,0,0,7,16,55,0,0,67
제주항공우주박물관,2021-02-23,1,0,0,11,16,45,20,0,97
제주항공우주박물관,2021-02-24,4,0,0,12,17,55,0,0,36
제주항공우주박물관,2021-02-25,4,0,0,11,14,80,70,1,64
제주항공우주박물관,2021-02-26,5,1,0,12,15,65,60,1,193
제주항공우주박물관,2021-02-27,2,2,0,15,17,70,20,0,42
제주항공우주박물관,2021-02-28,3,2,0,9,19,90,60,1,56
제주항공우주박물관,2021-03-01,6,0,1,7,13,90,70,1,48
제주항공우주박물관,2021-03-02,2,0,0,11,13,65,0,0,37
제주항공우주박물관,2021-03-03,4,0,0,13,16,70,20,0,101
제주항공우주박물관,2021-03-04,3,0,0,13,18,90,80,1,64
제주항공우주박물관,2021-03-05,10,1,0,10,18,75,20,0,46
제주항공우주박물관,2021-03-06,3,2,0,9,14,80,30,0,84
제주항공우주박물관,2021-03-07,7,2,0,10,16,75,30,0,54
제주항공우주박물관,2021-03-08,6,0,0,8,16,65,20,0,180
제주항공우주박물관,2021-03-09,3,0,0,12,18,65,30,0,38
제주항공우주박물관,2021-03-10,9,0,0,13,18,75,0,0,70
제주항공우주박물관,2021-03-11,5,0,0,10,18,80,30,0,63
제주항공우주박물관,2021-03-12,7,1,0,9,17,80,30,0,128
제주항공우주박물관,2021-03-13,0,2,0,10,18,75,20,0,95
제주항공우주박물관,2021-03-14,3,2,0,15,18,60,0,0,67
제주항공우주박물관,2021-03-15,2,0,0,10,20,80,30,0,51
제주항공우주박물관,2021-03-16,4,0,0,11,18,65,10,0,47
제주항공우주박물관,2021-03-17,2,0,0,13,19,65,10,0,27
제주항공우주박물관,2021-03-18,5,0,0,14,18,80,20,0,229
