poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
제주민속촌,2021-01-01,9,1,1,3,11,60,30,0,70
제주민속촌,2021-01-02,13,2,0,5,10,70,20,0,87
제주민속촌,2021-01-03,9,2,0,7,12,70,20,0,39
제주민속촌,2021-01-04,13,0,0,3,12,60,0,0,33
제주민속촌,2021-01-05,15,0,0,1,8,65,20,0,60
제주민속촌,2021-01-06,12,0,0,-1,3,55,30,0,57
제주민속촌,2021-01-07,11,0,0,0,3,75,90,3,59
제주민속촌,2021-01-08,17,1,0,2,5,75,90,3,63
제주민속촌,2021-01-09,17,2,0,4,8,75,80,3,63
제주민속촌,2021-01-10,12,2,0,3,8,65,30,0,71
제주민속촌,2021-01-11,10,0,0,8,9,75,30,0,63
제주민속촌,2021-01-12,6,0,0,9,14,60,30,0,55
제주민속촌,2021-01-13,10,0,0,12,16,65,0,0,110
제주민속촌,2021-01-14,7,0,0,5,17,75,0,0,51
제주민속촌,2021-01-15,9,1,0,3,10,70,20,0,14
제주민속촌,2021-01-16,3,2,0,4,7,70,20,0,47
제주민속촌,2021-01-17,6,2,0,2,11,55,30,0,74
제주민속촌,2021-01-18,5,0,0,6,11,45,0,0,55
제주민속촌,2021-01-19,3,0,0,12,14,60,0,0,58
제주민속촌,2021-01-20,11,0,0,14,17,75,30,0,44
제주민속촌,2021-01-21,11,0,0,13,18,80,30,0,8
제주민속촌,2021-01-22,8,1,0,11,16,85,60,1,86
제주민속촌,2021-01-23,10,2,0,10,15,85,80,1,13
제주민속촌,2021-01-24,5,2,0,13,16,70,20,0,20
제주민속촌,2021-01-25,5,0,0,6,16,75,10,0,57
제주민속촌,2021-01-26,9,0,0,7,14,75,30,0,55
제주민속촌,2021-01-27,8,0,0,2,13,50,10,0,52
제주민속촌,2021-01-28,15,0,0,3,8,55,20,0,66
제주민속촌,2021-01-29,22,1,0,8,12,65,20,0,52
제주민속촌,2021-01-30,6,2,0,14,15,65,0,0,61
제주민속촌,2021-01-31,10,2,0,4,15,60,30,0,30
제주민속촌,2021-02-01,9,0,0,2,9,80,80,1,102
제주민속촌,2021-02-02,9,0,0,8,10,65,0,0,22
제주민속촌,2021-02-03,11,0,0,6,12,65,0,0,22
제주민속촌,2021-02-04,14,0,0,9,13,60,10,0,116
제주민속촌,2021-02-05,12,1,0,9,17,65,30,0,44
제주민속촌,2021-02-06,9,2,0,4,17,80,0,0,68
제주민속촌,2021-02-07,9,2,0,2,10,60,0,0,50
제주민속촌,2021-02-08,6,0,0,5,11,65,0,0,35
제주민속촌,2021-02-09,7,0,0,7,14,70,0,0,59
제주민속촌,2021-02-10,5,0,0,11,16,70,20,0,72
