poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
정방폭포,2021-01-01,22,1,1,3,11,60,30,0,174
정방폭포,2021-01-02,34,2,0,5,10,70,20,0,239
정방폭포,2021-01-03,19,2,0,7,12,70,20,0,176
정방폭포,2021-01-04,32,0,0,3,12,60,0,0,108
정방폭포,2021-01-05,32,0,0,1,8,65,20,0,254
정방폭포,2021-01-06,24,0,0,-1,3,55,30,0,167
정방폭포,2021-01-07,31,0,0,0,3,75,90,3,167
정방폭포,2021-01-08,17,1,0,2,5,75,90,3,152
정방폭포,2021-01-09,18,2,0,4,8,75,80,3,144
정방폭포,2021-01-10,24,2,0,3,8,65,30,0,209
정방폭포,2021-01-11,26,0,0,8,9,75,30,0,182
정방폭포,2021-01-12,15,0,0,9,14,60,30,0,250
정방폭포,2021-01-13,26,0,0,12,16,65,0,0,208
정방폭포,2021-01-14,15,0,0,5,17,75,0,0,141
정방폭포,2021-01-15,17,1,0,3,10,70,20,0,51
정방폭포,2021-01-16,11,2,0,4,7,70,20,0,187
정방폭포,2021-01-17,18,2,0,2,11,55,30,0,120
정방폭포,2021-01-18,17,0,0,6,11,45,0,0,214
정방폭포,2021-01-19,16,0,0,12,14,60,0,0,174
정방폭포,2021-01-20,17,0,0,14,17,75,30,0,204
정방폭포,2021-01-21,16,0,0,13,18,80,30,0,38
정방폭포,2021-01-22,17,1,0,11,16,85,60,1,259
정방폭포,2021-01-23,10,2,0,10,15,85,80,1,23
정방폭포,2021-01-24,16,2,0,13,16,70,20,0,71
정방폭포,2021-01-25,25,0,0,6,16,75,10,0,137
정방폭포,2021-01-26,13,0,0,7,14,75,30,0,204
정방폭포,2021-01-27,21,0,0,2,13,50,10,0,230
정방폭포,2021-01-28,14,0,0,3,8,55,20,0,161
정방폭포,2021-01-29,10,1,0,8,12,65,20,0,86
정방폭포,2021-01-30,11,2,0,14,15,65,0,0,166
정방폭포,2021-01-31,10,2,0,4,15,60,30,0,109
정방폭포,2021-02-01,18,0,0,2,9,80,80,1,257
정방폭포,2021-02-02,25,0,0,8,10,65,0,0,105
정방폭포,2021-02-03,25,0,0,6,12,65,0,0,99
정방폭포,2021-02-04,15,0,0,9,13,60,10,0,380
정방폭포,2021-02-05,23,1,0,9,17,65,30,0,202
정방폭포,2021-02-06,18,2,0,4,17,80,0,0,145
정방폭포,2021-02-07,22,2,0,2,10,60,0,0,185
정방폭포,2021-02-08,16,0,0,5,11,65,0,0,107
정방폭포,2021-02-09,17,0,0,7,14,70,0,0,180
정방폭포,2021-02-10,14,0,0,11,16,70,20,0,200
정방폭포,2021-02-11,21,0,1,11,17,80,20,0,166
정방폭포,2021-02-12,14,1,1,12,19,70,30,0,172
정방폭포,2021-02-13,23,2,1,11,18,70,0,0,215
정방폭포,2021-02-14,25,2,0,3,14,90,70,1,168
정방폭포,2021-02-15,23,0,0,2,11,65,0,0,177
정방폭포,2021-02-16,17,0,0,1,6,70,30,0,166
정방폭포,2021-02-17,20,0,0,2,7,70,60,3,177
정방폭포,2021-02-18,28,0,0,11,13,65,30,0,227
정방폭포,2021-02-19,21,1,0,14,18,65,0,0,139
정방폭포,2021-02-20,13,2,0,14,19,80,0,0,175
정방폭포,2021-02-21,14,2,0,7,20,90,0,0,108
정방폭포,2021-02-22,20,0,0,7,16,55,0,0,252
정방폭포,2021-02-23,24,0,0,11,16,45,20,0,175
정방폭포,2021-02-24,34,0,0,12,17,55,0,0,180
정방폭포,2021-02-25,23,0,0,11,14,80,70,1,129
정방폭포,2021-02-26,22,1,0,12,15,65,60,1,273
정방폭포,2021-02-27,18,2,0,15,17,70,20,0,170
정방폭포,2021-02-28,24,2,0,9,19,90,60,1,197
정방폭포,2021-03-01,21,0,1,7,13,90,70,1,103
정방폭포,2021-03-02,29,0,0,11,13,65,0,0,87
정방폭포,2021-03-03,23,0,0,13,16,70,20,0,127
정방폭포,2021-03-04,24,0,0,13,18,90,80,1,93
정방폭포,2021-03-05,30,1,0,10,18,75,20,0,213
정방폭포,2021-03-06,20,2,0,9,14,80,30,0,216
정방폭포,2021-03-07,18,2,0,10,16,75,30,0,267
정방폭포,2021-03-08,18,0,0,8,16,65,20,0,249
정방폭포,2021-03-09,21,0,0,12,18,65,30,0,63
정방폭포,2021-03-10,22,0,0,13,18,75,0,0,226
정방폭포,2021-03-11,21,0,0,10,18,80,30,0,103
정방폭포,2021-03-12,20,1,0,9,17,80,30,0,246
정방폭포,2021-03-13,14,2,0,10,18,75,20,0,104
정방폭포,2021-03-14,12,2,0,15,18,60,0,0,156
