poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
중문관광단지,2021-01-01,48,1,1,3,11,60,30,0,81
중문관광단지,2021-01-02,55,2,0,5,10,70,20,0,108
중문관광단지,2021-01-03,45,2,0,7,12,70,20,0,85
중문관광단지,2021-01-04,56,0,0,3,12,60,0,0,57
중문관광단지,2021-01-05,186,0,0,1,8,65,20,0,110
중문관광단지,2021-01-06,68,0,0,-1,3,55,30,0,83
중문관광단지,2021-01-07,67,0,0,0,3,75,90,3,73
중문관광단지,2021-01-08,75,1,0,2,5,75,90,3,105
중문관광단지,2021-01-09,47,2,0,4,8,75,80,3,63
중문관광단지,2021-01-10,46,2,0,3,8,65,30,0,87
중문관광단지,2021-01-11,146,0,0,8,9,75,30,0,79
중문관광단지,2021-01-12,55,0,0,9,14,60,30,0,93
중문관광단지,2021-01-13,53,0,0,12,16,65,0,0,82
중문관광단지,2021-01-14,48,0,0,5,17,75,0,0,89
중문관광단지,2021-01-15,46,1,0,3,10,70,20,0,50
중문관광단지,2021-01-16,34,2,0,4,7,70,20,0,65
중문관광단지,2021-01-17,35,2,0,2,11,55,30,0,55
중문관광단지,2021-01-18,54,0,0,6,11,45,0,0,99
중문관광단지,2021-01-19,58,0,0,12,14,60,0,0,101
중문관광단지,2021-01-20,45,0,0,14,17,75,30,0,92
중문관광단지,2021-01-21,35,0,0,13,18,80,30,0,20
중문관광단지,2021-01-22,37,1,0,11,16,85,60,1,76
중문관광단지,2021-01-23,27,2,0,10,15,85,80,1,25
중문관광단지,2021-01-24,29,2,0,13,16,70,20,0,86
중문관광단지,2021-01-25,39,0,0,6,16,75,10,0,68
중문관광단지,2021-01-26,35,0,0,7,14,75,30,0,82
중문관광단지,2021-01-27,40,0,0,2,13,50,10,0,80
중문관광단지,2021-01-28,93,0,0,3,8,55,20,0,65
중문관광단지,2021-01-29,41,1,0,8,12,65,20,0,53
중문관광단지,2021-01-30,32,2,0,14,15,65,0,0,53
중문관광단지,2021-01-31,31,2,0,4,15,60,30,0,53
중문관광단지,2021-02-01,40,0,0,2,9,80,80,1,134
중문관광단지,2021-02-02,36,0,0,8,10,65,0,0,58
중문관광단지,2021-02-03,29,0,0,6,12,65,0,0,73
중문관광단지,2021-02-04,26,0,0,9,13,60,10,0,125
중문관광단지,2021-02-05,22,1,0,9,17,65,30,0,118
중문관광단지,2021-02-06,30,2,0,4,17,80,0,0,56
중문관광단지,2021-02-07,30,2,0,2,10,60,0,0,64
중문관광단지,2021-02-08,40,0,0,5,11,65,0,0,69
중문관광단지,2021-02-09,40,0,0,7,14,70,0,0,105
중문관광단지,2021-02-10,32,0,0,11,16,70,20,0,72
중문관광단지,2021-02-11,32,0,1,11,17,80,20,0,90
중문관광단지,2021-02-12,31,1,1,12,19,70,30,0,71
중문관광단지,2021-02-13,29,2,1,11,18,70,0,0,68
중문관광단지,2021-02-14,27,2,0,3,14,90,70,1,60
중문관광단지,2021-02-15,36,0,0,2,11,65,0,0,72
중문관광단지,2021-02-16,42,0,0,1,6,70,30,0,85
중문관광단지,2021-02-17,52,0,0,2,7,70,60,3,87
중문관광단지,2021-02-18,32,0,0,11,13,65,30,0,75
중문관광단지,2021-02-19,33,1,0,14,18,65,0,0,93
중문관광단지,2021-02-20,32,2,0,14,19,80,0,0,73
중문관광단지,2021-02-21,25,2,0,7,20,90,0,0,99
중문관광단지,2021-02-22,31,0,0,7,16,55,0,0,95
중문관광단지,2021-02-23,44,0,0,11,16,45,20,0,81
중문관광단지,2021-02-24,62,0,0,12,17,55,0,0,109
중문관광단지,2021-02-25,110,0,0,11,14,80,70,1,85
중문관광단지,2021-02-26,44,1,0,12,15,65,60,1,123
중문관광단지,2021-02-27,35,2,0,15,17,70,20,0,90
중문관광단지,2021-02-28,33,2,0,9,19,90,60,1,85
중문관광단지,2021-03-01,45,0,1,7,13,90,70,1,74
중문관광단지,2021-03-02,58,0,0,11,13,65,0,0,42
중문관광단지,2021-03-03,46,0,0,13,16,70,20,0,57
중문관광단지,2021-03-04,41,0,0,13,18,90,80,1,49
중문관광단지,2021-03-05,57,1,0,10,18,75,20,0,86
중문관광단지,2021-03-06,35,2,0,9,14,80,30,0,77
중문관광단지,2021-03-07,41,2,0,10,16,75,30,0,100
중문관광단지,2021-03-08,74,0,0,8,16,65,20,0,103
중문관광단지,2021-03-09,56,0,0,12,18,65,30,0,56
중문관광단지,2021-03-10,48,0,0,13,18,75,0,0,109
중문관광단지,2021-03-11,57,0,0,10,18,80,30,0,47
중문관광단지,2021-03-12,108,1,0,9,17,80,30,0,100
중문관광단지,2021-03-13,30,2,0,10,18,75,20,0,48
중문관광단지,2021-03-14,25,2,0,15,18,60,0,0,84
중문관광단지,2021-03-15,54,0,0,10,20,80,30,0,77
중문관광단지,2021-03-16,67,0,0,11,18,65,10,0,60
중문관광단지,2021-03-17,188,0,0,13,19,65,10,0,39
중문관광단지,2021-03-18,62,0,0,14,18,80,20,0,88
중문관광단지,2021-03-19,54,1,0,10,19,85,30,0,61
중문관광단지,2021-03-20,37,2,0,6,16,85,30,0,92
중문관광단지,2021-03-21,46,2,0,7,15,60,10,0,85
중문관광단지,2021-03-22,70,0,0,10,17,50,0,0,82
중문관광단지,2021-03-23,49,0,0,12,18,65,0,0,97
중문관광단지,2021-03-24,49,0,0,12,20,75,20,0,78
중문관광단지,2021-03-25,118,0,0,15,20,75,0,0,66
중문관광단지,2021-03-26,56,1,0,15,19,65,0,0,83
중문관광단지,2021-03-27,31,2,0,14,20,100,90,1,66
중문관광단지,2021-03-28,26,2,0,13,22,85,0,0,51
중문관광단지,2021-03-29,44,0,0,13,20,65,0,0,80
중문관광단지,2021-03-30,58,0,0,15,20,55,0,0,75
중문관광단지,2021-03-31,45,0,0,16,19,65,20,0,92
중문관광단지,2021-04-01,57,0,0,17,20,90,60,1,97
중문관광단지,2021-04-02,50,1,0,15,20,90,30,0,76
중문관광단지,2021-04-03,35,2,0,11,18,100,60,1,68
중문관광단지,2021-04-04,44,2,0,11,18,80,30,0,90
중문관광단지,2021-04-05,64,0,0,13,19,50,0,0,83
중문관광단지,2021-04-06,54,0,0,12,21,45,0,0,41
중문관광단지,2021-04-07,66,0,0,11,21,55,20,0,63
중문관광단지,2021-04-08,45,0,0,12,19,40,0,0,72
중문관광단지,2021-04-09,90,1,0,12,18,70,20,0,83
중문관광단지,2021-04-10,35,2,0,16,20,65,0,0,65
중문관광단지,2021-04-11,50,2,0,15,19,80,20,0,94
중문관광단지,2021-04-12,43,0,0,9,21,100,84,1,80
중문관광단지,2021-04-13,57,0,0,10,17,65,30,0,75
중문관광단지,2021-04-14,56,0,0,14,18,45,0,0,78
중문관광단지,2021-04-15,48,0,0,14,19,65,20,0,69
중문관광단지,2021-04-16,55,1,0,10,20,75,30,0,115
중문관광단지,2021-04-17,39,2,0,11,19,45,0,0,80
중문관광단지,2021-04-18,32,2,0,12,21,45,0,0,75
중문관광단지,2021-04-19,57,0,0,14,21,45,0,0,101
중문관광단지,2021-04-20,59,0,0,16,22,60,0,0,62
중문관광단지,2021-04-21,47,0,0,18,22,60,20,0,80
중문관광단지,2021-04-22,63,0,0,16,22,70,30,0,69
중문관광단지,2021-04-23,66,1,0,15,22,70,30,0,87
중문관광단지,2021-04-24,35,2,0,13,23,80,10,0,77
중문관광단지,2021-04-25,41,2,0,14,21,70,20,0,96
중문관광단지,2021-04-26,42,0,0,16,21,55,0,0,88
중문관광단지,2021-04-27,45,0,0,15,22,85,30,0,66
중문관광단지,2021-04-28,37,0,0,16,23,90,20,0,76
중문관광단지,2021-04-29,46,0,0,12,23,70,0,0,51
중문관광단지,2021-04-30,46,1,0,11,20,40,10,0,148
중문관광단지,2021-05-01,47,2,0,11,19,65,0,0,71
중문관광단지,2021-05-02,31,2,0,17,20,50,0,0,66
중문관광단지,2021-05-03,104,0,0,16,21,75,20,0,60
중문관광단지,2021-05-04,63,0,0,14,24,100,80,1,72
중문관광단지,2021-05-05,39,0,1,16,22,50,0,0,78
중문관광단지,2021-05-06,57,0,0,15,23,50,20,0,71
중문관광단지,2021-05-07,44,1,0,17,23,65,10,0,98
중문관광단지,2021-05-08,46,2,0,17,23,90,30,0,49
중문관광단지,2021-05-09,38,2,0,19,24,65,0,0,99
중문관광단지,2021-05-10,45,0,0,20,23,100,30,0,99
중문관광단지,2021-05-11,52,0,0,19,23,95,71,1,47
중문관광단지,2021-05-12,45,0,0,19,24,90,30,0,88
중문관광단지,2021-05-13,33,0,0,21,24,85,20,0,53
중문관광단지,2021-05-14,44,1,0,20,23,95,30,0,118
중문관광단지,2021-05-15,33,2,0,18,24,100,30,0,80
중문관광단지,2021-05-16,21,2,0,17,24,100,70,1,101
중문관광단지,2021-05-17,54,0,0,17,24,80,20,0,61
중문관광단지,2021-05-18,50,0,0,17,24,70,0,0,93
중문관광단지,2021-05-19,30,0,1,16,23,80,20,0,113
중문관광단지,2021-05-20,34,0,0,16,24,100,30,0,72
중문관광단지,2021-05-21,51,1,0,18,24,60,0,0,99
중문관광단지,2021-05-22,34,2,0,18,25,70,0,0,85
중문관광단지,2021-05-23,24,2,0,18,26,65,30,0,49
중문관광단지,2021-05-24,56,0,0,17,26,60,0,0,82
중문관광단지,2021-05-25,99,0,0,18,23,50,0,0,57
중문관광단지,2021-05-26,45,0,0,18,25,85,60,1,80
중문관광단지,2021-05-27,47,0,0,16,24,75,0,0,88
중문관광단지,2021-05-28,39,1,0,17,25,65,10,0,71
중문관광단지,2021-05-29,31,2,0,18,25,65,0,0,115
중문관광단지,2021-05-30,28,2,0,19,25,55,0,0,73
중문관광단지,2021-05-31,39,0,0,20,26,60,0,0,56
중문관광단지,2021-06-01,53,0,0,21,25,70,0,0,55
중문관광단지,2021-06-02,54,0,0,18,25,90,30,0,93
중문관광단지,2021-06-03,42,0,0,17,26,100,30,0,129
중문관광단지,2021-06-04,48,1,0,19,25,55,0,0,80
중문관광단지,2021-06-05,25,2,0,19,26,85,0,0,77
중문관광단지,2021-06-06,20,2,1,21,27,70,0,0,56
중문관광단지,2021-06-07,56,0,0,22,27,80,0,0,48
중문관광단지,2021-06-08,59,0,0,22,26,95,20,0,80
중문관광단지,2021-06-09,57,0,0,22,26,95,30,0,80
중문관광단지,2021-06-10,48,0,0,22,25,100,70,1,84
