poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
주상절리대,2021-01-01,5,1,1,3,11,60,30,0,278
주상절리대,2021-01-02,8,2,0,5,10,70,20,0,320
주상절리대,2021-01-03,8,2,0,7,12,70,20,0,201
주상절리대,2021-01-04,8,0,0,3,12,60,0,0,182
주상절리대,2021-01-05,8,0,0,1,8,65,20,0,367
주상절리대,2021-01-06,10,0,0,-1,3,55,30,0,246
주상절리대,2021-01-07,6,0,0,0,3,75,90,3,200
주상절리대,2021-01-08,3,1,0,2,5,75,90,3,198
주상절리대,2021-01-09,6,2,0,4,8,75,80,3,168
주상절리대,2021-01-10,7,2,0,3,8,65,30,0,301
주상절리대,2021-01-11,8,0,0,8,9,75,30,0,298
주상절리대,2021-01-12,7,0,0,9,14,60,30,0,289
주상절리대,2021-01-13,6,0,0,12,16,65,0,0,282
주상절리대,2021-01-14,5,0,0,5,17,75,0,0,196
주상절리대,2021-01-15,6,1,0,3,10,70,20,0,63
주상절리대,2021-01-16,4,2,0,4,7,70,20,0,241
주상절리대,2021-01-17,3,2,0,2,11,55,30,0,166
주상절리대,2021-01-18,2,0,0,6,11,45,0,0,280
주상절리대,2021-01-19,6,0,0,12,14,60,0,0,226
주상절리대,2021-01-20,3,0,0,14,17,75,30,0,219
주상절리대,2021-01-21,3,0,0,13,18,80,30,0,46
주상절리대,2021-01-22,5,1,0,11,16,85,60,1,226
주상절리대,2021-01-23,5,2,0,10,15,85,80,1,42
주상절리대,2021-01-24,5,2,0,13,16,70,20,0,77
주상절리대,2021-01-25,12,0,0,6,16,75,10,0,246
주상절리대,2021-01-26,6,0,0,7,14,75,30,0,243
주상절리대,2021-01-27,5,0,0,2,13,50,10,0,260
주상절리대,2021-01-28,10,0,0,3,8,55,20,0,294
주상절리대,2021-01-29,5,1,0,8,12,65,20,0,137
주상절리대,2021-01-30,4,2,0,14,15,65,0,0,195
주상절리대,2021-01-31,3,2,0,4,15,60,30,0,139
주상절리대,2021-02-01,6,0,0,2,9,80,80,1,339
주상절리대,2021-02-02,6,0,0,8,10,65,0,0,172
주상절리대,2021-02-03,4,0,0,6,12,65,0,0,152
주상절리대,2021-02-04,4,0,0,9,13,60,10,0,402
주상절리대,2021-02-05,8,1,0,9,17,65,30,0,219
주상절리대,2021-02-06,5,2,0,4,17,80,0,0,243
주상절리대,2021-02-07,3,2,0,2,10,60,0,0,220
주상절리대,2021-02-08,2,0,0,5,11,65,0,0,159
주상절리대,2021-02-09,8,0,0,7,14,70,0,0,296
주상절리대,2021-02-10,4,0,0,11,16,70,20,0,315
주상절리대,2021-02-11,7,0,1,11,17,80,20,0,245
주상절리대,2021-02-12,8,1,1,12,19,70,30,0,257
주상절리대,2021-02-13,3,2,1,11,18,70,0,0,252
주상절리대,2021-02-14,9,2,0,3,14,90,70,1,269
주상절리대,2021-02-15,8,0,0,2,11,65,0,0,258
주상절리대,2021-02-16,8,0,0,1,6,70,30,0,308
주상절리대,2021-02-17,4,0,0,2,7,70,60,3,229
주상절리대,2021-02-18,9,0,0,11,13,65,30,0,243
주상절리대,2021-02-19,5,1,0,14,18,65,0,0,228
주상절리대,2021-02-20,11,2,0,14,19,80,0,0,216
주상절리대,2021-02-21,12,2,0,7,20,90,0,0,154
주상절리대,2021-02-22,11,0,0,7,16,55,0,0,367
주상절리대,2021-02-23,6,0,0,11,16,45,20,0,237
주상절리대,2021-02-24,8,0,0,12,17,55,0,0,271
주상절리대,2021-02-25,8,0,0,11,14,80,70,1,203
주상절리대,2021-02-26,8,1,0,12,15,65,60,1,362
주상절리대,2021-02-27,9,2,0,15,17,70,20,0,199
주상절리대,2021-02-28,4,2,0,9,19,90,60,1,327
주상절리대,2021-03-01,8,0,1,7,13,90,70,1,194
주상절리대,2021-03-02,10,0,0,11,13,65,0,0,148
주상절리대,2021-03-03,5,0,0,13,16,70,20,0,149
주상절리대,2021-03-04,12,0,0,13,18,90,80,1,155
주상절리대,2021-03-05,5,1,0,10,18,75,20,0,253
주상절리대,2021-03-06,3,2,0,9,14,80,30,0,296
주상절리대,2021-03-07,7,2,0,10,16,75,30,0,327
주상절리대,2021-03-08,9,0,0,8,16,65,20,0,196
주상절리대,2021-03-09,9,0,0,12,18,65,30,0,69
주상절리대,2021-03-10,11,0,0,13,18,75,0,0,309
주상절리대,2021-03-11,4,0,0,10,18,80,30,0,170
주상절리대,2021-03-12,9,1,0,9,17,80,30,0,308
주상절리대,2021-03-13,4,2,0,10,18,75,20,0,154
주상절리대,2021-03-14,5,2,0,15,18,60,0,0,254
주상절리대,2021-03-15,8,0,0,10,20,80,30,0,295
주상절리대,2021-03-16,8,0,0,11,18,65,10,0,187
주상절리대,2021-03-17,11,0,0,13,19,65,10,0,46
주상절리대,2021-03-18,12,0,0,14,18,80,20,0,262
주상절리대,2021-03-19,17,1,0,10,19,85,30,0,189
주상절리대,2021-03-20,6,2,0,6,16,85,30,0,258
주상절리대,2021-03-21,12,2,0,7,15,60,10,0,325
주상절리대,2021-03-22,15,0,0,10,17,50,0,0,361
주상절리대,2021-03-23,15,0,0,12,18,65,0,0,244
주상절리대,2021-03-24,19,0,0,12,20,75,20,0,250
주상절리대,2021-03-25,11,0,0,15,20,75,0,0,184
주상절리대,2021-03-26,8,1,0,15,19,65,0,0,301
주상절리대,2021-03-27,8,2,0,14,20,100,90,1,197
주상절리대,2021-03-28,8,2,0,13,22,85,0,0,142
주상절리대,2021-03-29,11,0,0,13,20,65,0,0,292
주상절리대,2021-03-30,10,0,0,15,20,55,0,0,207
주상절리대,2021-03-31,8,0,0,16,19,65,20,0,292
주상절리대,2021-04-01,11,0,0,17,20,90,60,1,231
주상절리대,2021-04-02,10,1,0,15,20,90,30,0,163
주상절리대,2021-04-03,5,2,0,11,18,100,60,1,205
주상절리대,2021-04-04,5,2,0,11,18,80,30,0,248
주상절리대,2021-04-05,14,0,0,13,19,50,0,0,125
주상절리대,2021-04-06,4,0,0,12,21,45,0,0,124
주상절리대,2021-04-07,8,0,0,11,21,55,20,0,165
주상절리대,2021-04-08,8,0,0,12,19,40,0,0,138
주상절리대,2021-04-09,8,1,0,12,18,70,20,0,260
주상절리대,2021-04-10,11,2,0,16,20,65,0,0,258
주상절리대,2021-04-11,4,2,0,15,19,80,20,0,281
주상절리대,2021-04-12,13,0,0,9,21,100,84,1,271
주상절리대,2021-04-13,19,0,0,10,17,65,30,0,268
주상절리대,2021-04-14,12,0,0,14,18,45,0,0,227
주상절리대,2021-04-15,16,0,0,14,19,65,20,0,219
주상절리대,2021-04-16,8,1,0,10,20,75,30,0,277
주상절리대,2021-04-17,12,2,0,11,19,45,0,0,309
주상절리대,2021-04-18,12,2,0,12,21,45,0,0,238
주상절리대,2021-04-19,23,0,0,14,21,45,0,0,285
주상절리대,2021-04-20,9,0,0,16,22,60,0,0,214
주상절리대,2021-04-21,24,0,0,18,22,60,20,0,278
주상절리대,2021-04-22,19,0,0,16,22,70,30,0,325
주상절리대,2021-04-23,22,1,0,15,22,70,30,0,222
주상절리대,2021-04-24,20,2,0,13,23,80,10,0,180
주상절리대,2021-04-25,19,2,0,14,21,70,20,0,323
주상절리대,2021-04-26,12,0,0,16,21,55,0,0,266
주상절리대,2021-04-27,18,0,0,15,22,85,30,0,149
주상절리대,2021-04-28,4,0,0,16,23,90,20,0,193
주상절리대,2021-04-29,7,0,0,12,23,70,0,0,190
주상절리대,2021-04-30,6,1,0,11,20,40,10,0,335
주상절리대,2021-05-01,8,2,0,11,19,65,0,0,268
주상절리대,2021-05-02,8,2,0,17,20,50,0,0,197
주상절리대,2021-05-03,13,0,0,16,21,75,20,0,285
주상절리대,2021-05-04,7,0,0,14,24,100,80,1,129
주상절리대,2021-05-05,9,0,1,16,22,50,0,0,236
주상절리대,2021-05-06,11,0,0,15,23,50,20,0,112
주상절리대,2021-05-07,10,1,0,17,23,65,10,0,269
주상절리대,2021-05-08,3,2,0,17,23,90,30,0,181
주상절리대,2021-05-09,4,2,0,19,24,65,0,0,263
주상절리대,2021-05-10,7,0,0,20,23,100,30,0,230
주상절리대,2021-05-11,14,0,0,19,23,95,71,1,207
주상절리대,2021-05-12,5,0,0,19,24,90,30,0,310
주상절리대,2021-05-13,9,0,0,21,24,85,20,0,174
주상절리대,2021-05-14,11,1,0,20,23,95,30,0,320
주상절리대,2021-05-15,6,2,0,18,24,100,30,0,91
주상절리대,2021-05-16,12,2,0,17,24,100,70,1,303
주상절리대,2021-05-17,12,0,0,17,24,80,20,0,200
주상절리대,2021-05-18,9,0,0,17,24,70,0,0,252
주상절리대,2021-05-19,7,0,1,16,23,80,20,0,307
주상절리대,2021-05-20,5,0,0,16,24,100,30,0,247
주상절리대,2021-05-21,9,1,0,18,24,60,0,0,264
주상절리대,2021-05-22,2,2,0,18,25,70,0,0,354
주상절리대,2021-05-23,6,2,0,18,26,65,30,0,191
주상절리대,2021-05-24,7,0,0,17,26,60,0,0,226
주상절리대,2021-05-25,8,0,0,18,23,50,0,0,224
주상절리대,2021-05-26,7,0,0,18,25,85,60,1,289
주상절리대,2021-05-27,8,0,0,16,24,75,0,0,327
주상절리대,2021-05-28,6,1,0,17,25,65,10,0,135
주상절리대,2021-05-29,7,2,0,18,25,65,0,0,176
주상절리대,2021-05-30,14,2,0,19,25,55,0,0,221
주상절리대,2021-05-31,8,0,0,20,26,60,0,0,246
주상절리대,2021-06-01,13,0,0,21,25,70,0,0,199
주상절리대,2021-06-02,2,0,0,18,25,90,30,0,166
주상절리대,2021-06-03,9,0,0,17,26,100,30,0,387
주상절리대,2021-06-04,6,1,0,19,25,55,0,0,281
주상절리대,2021-06-05,3,2,0,19,26,85,0,0,234
주상절리대,2021-06-06,7,2,1,21,27,70,0,0,177
주상절리대,2021-06-07,6,0,0,22,27,80,0,0,131
주상절리대,2021-06-08,8,0,0,22,26,95,20,0,203
주상절리대,2021-06-09,13,0,0,22,26,95,30,0,272
주상절리대,2021-06-10,9,0,0,22,25,100,70,1,232
주상절리대,2021-06-11,8,1,0,21,27,95,20,0,317
주상절리대,2021-06-12,5,2,0,21,26,90,30,0,261
주상절리대,2021-06-13,7,2,0,21,27,85,20,0,222
주상절리대,2021-06-14,14,0,0,22,25,85,0,0,299
주상절리대,2021-06-15,10,0,0,21,26,100,79,1,196
주상절리대,2021-06-16,7,0,0,22,26,90,30,0,281
주상절리대,2021-06-17,3,0,0,21,26,90,30,0,281
주상절리대,2021-06-18,9,1,0,21,28,95,30,0,226
주상절리대,2021-06-19,11,2,0,21,28,65,0,0,228
주상절리대,2021-06-20,6,2,0,22,29,80,30,0,305
주상절리대,2021-06-21,12,0,0,21,28,65,10,0,298
주상절리대,2021-06-22,12,0,0,20,27,85,0,0,204
주상절리대,2021-06-23,11,0,0,21,26,90,20,0,241
주상절리대,2021-06-24,4,0,0,22,26,90,30,0,388
주상절리대,2021-06-25,6,1,0,22,26,85,20,0,228
주상절리대,2021-06-26,8,2,0,22,27,85,30,0,245
주상절리대,2021-06-27,9,2,0,22,28,80,0,0,303
주상절리대,2021-06-28,11,0,0,22,28,80,10,0,158
주상절리대,2021-06-29,4,0,0,23,29,85,0,0,143
주상절리대,2021-06-30,13,0,0,24,29,85,20,0,138
주상절리대,2021-07-01,13,0,0,24,29,85,20,0,204
주상절리대,2021-07-02,12,1,0,25,28,90,30,0,284
주상절리대,2021-07-03,6,2,0,24,28,100,60,1,171
주상절리대,2021-07-04,10,2,0,26,28,95,60,1,196
주상절리대,2021-07-05,11,0,0,26,28,100,60,1,253
주상절리대,2021-07-06,5,0,0,26,28,100,60,1,221
주상절리대,2021-07-07,9,0,0,25,28,100,60,1,323
주상절리대,2021-07-08,7,0,0,25,28,95,60,1,322
주상절리대,2021-07-09,7,1,0,25,28,100,30,0,235
주상절리대,2021-07-10,6,2,0,26,29,95,20,0,203
주상절리대,2021-07-11,6,2,0,26,30,95,30,0,240
주상절리대,2021-07-12,15,0,0,26,29,95,20,0,123
주상절리대,2021-07-13,4,0,0,26,30,100,20,0,270
주상절리대,2021-07-14,13,0,0,26,30,95,30,0,247
주상절리대,2021-07-15,9,0,0,25,30,85,20,0,219
주상절리대,2021-07-16,4,1,0,25,30,85,0,0,179
주상절리대,2021-07-17,11,2,0,26,29,90,20,1,311
주상절리대,2021-07-18,7,2,0,27,30,90,60,0,192
주상절리대,2021-07-19,9,0,0,26,31,85,30,0,150
주상절리대,2021-07-20,6,0,0,26,32,75,0,0,171
