poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
외돌개,2021-01-01,10,1,1,3,11,60,30,0,32
외돌개,2021-01-02,18,2,0,5,10,70,20,0,47
외돌개,2021-01-03,14,2,0,7,12,70,20,0,41
외돌개,2021-01-04,23,0,0,3,12,60,0,0,43
외돌개,2021-01-05,19,0,0,1,8,65,20,0,44
외돌개,2021-01-06,16,0,0,-1,3,55,30,0,45
외돌개,2021-01-07,17,0,0,0,3,75,90,3,40
외돌개,2021-01-08,24,1,0,2,5,75,90,3,55
외돌개,2021-01-09,16,2,0,4,8,75,80,3,36
외돌개,2021-01-10,17,2,0,3,8,65,30,0,34
외돌개,2021-01-11,16,0,0,8,9,75,30,0,58
외돌개,2021-01-12,14,0,0,9,14,60,30,0,61
외돌개,2021-01-13,15,0,0,12,16,65,0,0,40
외돌개,2021-01-14,18,0,0,5,17,75,0,0,60
외돌개,2021-01-15,6,1,0,3,10,70,20,0,15
외돌개,2021-01-16,12,2,0,4,7,70,20,0,29
외돌개,2021-01-17,15,2,0,2,11,55,30,0,25
외돌개,2021-01-18,8,0,0,6,11,45,0,0,56
외돌개,2021-01-19,6,0,0,12,14,60,0,0,33
외돌개,2021-01-20,13,0,0,14,17,75,30,0,42
외돌개,2021-01-21,8,0,0,13,18,80,30,0,7
외돌개,2021-01-22,10,1,0,11,16,85,60,1,59
외돌개,2021-01-23,11,2,0,10,15,85,80,1,6
외돌개,2021-01-24,8,2,0,13,16,70,20,0,19
외돌개,2021-01-25,15,0,0,6,16,75,10,0,34
외돌개,2021-01-26,12,0,0,7,14,75,30,0,52
외돌개,2021-01-27,14,0,0,2,13,50,10,0,61
외돌개,2021-01-28,7,0,0,3,8,55,20,0,41
외돌개,2021-01-29,10,1,0,8,12,65,20,0,24
외돌개,2021-01-30,10,2,0,14,15,65,0,0,30
외돌개,2021-01-31,12,2,0,4,15,60,30,0,54
외돌개,2021-02-01,12,0,0,2,9,80,80,1,62
외돌개,2021-02-02,11,0,0,8,10,65,0,0,39
외돌개,2021-02-03,15,0,0,6,12,65,0,0,31
외돌개,2021-02-04,8,0,0,9,13,60,10,0,77
외돌개,2021-02-05,19,1,0,9,17,65,30,0,62
외돌개,2021-02-06,12,2,0,4,17,80,0,0,23
외돌개,2021-02-07,12,2,0,2,10,60,0,0,37
외돌개,2021-02-08,9,0,0,5,11,65,0,0,33
외돌개,2021-02-09,20,0,0,7,14,70,0,0,68
외돌개,2021-02-10,6,0,0,11,16,70,20,0,44
외돌개,2021-02-11,10,0,1,11,17,80,20,0,52
외돌개,2021-02-12,7,1,1,12,19,70,30,0,61
외돌개,2021-02-13,8,2,1,11,18,70,0,0,53
외돌개,2021-02-14,18,2,0,3,14,90,70,1,30
외돌개,2021-02-15,11,0,0,2,11,65,0,0,54
외돌개,2021-02-16,15,0,0,1,6,70,30,0,45
외돌개,2021-02-17,18,0,0,2,7,70,60,3,47
외돌개,2021-02-18,22,0,0,11,13,65,30,0,41
외돌개,2021-02-19,9,1,0,14,18,65,0,0,48
외돌개,2021-02-20,20,2,0,14,19,80,0,0,36
외돌개,2021-02-21,14,2,0,7,20,90,0,0,24
외돌개,2021-02-22,14,0,0,7,16,55,0,0,46
외돌개,2021-02-23,17,0,0,11,16,45,20,0,36
외돌개,2021-02-24,17,0,0,12,17,55,0,0,46
외돌개,2021-02-25,17,0,0,11,14,80,70,1,26
외돌개,2021-02-26,22,1,0,12,15,65,60,1,67
외돌개,2021-02-27,15,2,0,15,17,70,20,0,49
외돌개,2021-02-28,15,2,0,9,19,90,60,1,56
외돌개,2021-03-01,11,0,1,7,13,90,70,1,29
외돌개,2021-03-02,14,0,0,11,13,65,0,0,31
외돌개,2021-03-03,12,0,0,13,16,70,20,0,27
외돌개,2021-03-04,11,0,0,13,18,90,80,1,35
외돌개,2021-03-05,13,1,0,10,18,75,20,0,51
외돌개,2021-03-06,15,2,0,9,14,80,30,0,47
외돌개,2021-03-07,8,2,0,10,16,75,30,0,59
외돌개,2021-03-08,16,0,0,8,16,65,20,0,44
외돌개,2021-03-09,16,0,0,12,18,65,30,0,24
외돌개,2021-03-10,11,0,0,13,18,75,0,0,75
외돌개,2021-03-11,15,0,0,10,18,80,30,0,32
외돌개,2021-03-12,11,1,0,9,17,80,30,0,77
외돌개,2021-03-13,15,2,0,10,18,75,20,0,29
외돌개,2021-03-14,11,2,0,15,18,60,0,0,48
외돌개,2021-03-15,18,0,0,10,20,80,30,0,62
외돌개,2021-03-16,12,0,0,11,18,65,10,0,33
