poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
붉은오름자연휴양림,2021-01-01,2,1,1,3,11,60,30,0,63
붉은오름자연휴양림,2021-01-02,3,2,0,5,10,70,20,0,50
붉은오름자연휴양림,2021-01-03,1,2,0,7,12,70,20,0,34
붉은오름자연휴양림,2021-01-04,0,0,0,3,12,60,0,0,23
붉은오름자연휴양림,2021-01-05,2,0,0,1,8,65,20,0,62
붉은오름자연휴양림,2021-01-06,0,0,0,-1,3,55,30,0,51
붉은오름자연휴양림,2021-01-07,1,0,0,0,3,75,90,3,60
붉은오름자연휴양림,2021-01-08,2,1,0,2,5,75,90,3,27
붉은오름자연휴양림,2021-01-09,1,2,0,4,8,75,80,3,20
붉은오름자연휴양림,2021-01-10,1,2,0,3,8,65,30,0,37
붉은오름자연휴양림,2021-01-11,2,0,0,8,9,75,30,0,46
붉은오름자연휴양림,2021-01-12,1,0,0,9,14,60,30,0,62
붉은오름자연휴양림,2021-01-13,2,0,0,12,16,65,0,0,86
붉은오름자연휴양림,2021-01-14,2,0,0,5,17,75,0,0,36
붉은오름자연휴양림,2021-01-15,3,1,0,3,10,70,20,0,10
붉은오름자연휴양림,2021-01-16,0,2,0,4,7,70,20,0,55
붉은오름자연휴양림,2021-01-17,1,2,0,2,11,55,30,0,24
붉은오름자연휴양림,2021-01-18,1,0,0,6,11,45,0,0,33
붉은오름자연휴양림,2021-01-19,1,0,0,12,14,60,0,0,47
붉은오름자연휴양림,2021-01-20,0,0,0,14,17,75,30,0,32
붉은오름자연휴양림,2021-01-21,2,0,0,13,18,80,30,0,9
붉은오름자연휴양림,2021-01-22,2,1,0,11,16,85,60,1,45
붉은오름자연휴양림,2021-01-23,0,2,0,10,15,85,80,1,3
붉은오름자연휴양림,2021-01-24,4,2,0,13,16,70,20,0,27
붉은오름자연휴양림,2021-01-25,2,0,0,6,16,75,10,0,44
붉은오름자연휴양림,2021-01-26,3,0,0,7,14,75,30,0,42
붉은오름자연휴양림,2021-01-27,0,0,0,2,13,50,10,0,46
붉은오름자연휴양림,2021-01-28,1,0,0,3,8,55,20,0,57
붉은오름자연휴양림,2021-01-29,0,1,0,8,12,65,20,0,26
붉은오름자연휴양림,2021-01-30,2,2,0,14,15,65,0,0,27
붉은오름자연휴양림,2021-01-31,0,2,0,4,15,60,30,0,29
붉은오름자연휴양림,2021-02-01,0,0,0,2,9,80,80,1,55
붉은오름자연휴양림,2021-02-02,3,0,0,8,10,65,0,0,26
붉은오름자연휴양림,2021-02-03,2,0,0,6,12,65,0,0,9
붉은오름자연휴양림,2021-02-04,3,0,0,9,13,60,10,0,102
붉은오름자연휴양림,2021-02-05,5,1,0,9,17,65,30,0,45
붉은오름자연휴양림,2021-02-06,0,2,0,4,17,80,0,0,35
붉은오름자연휴양림,2021-02-07,2,2,0,2,10,60,0,0,48
붉은오름자연휴양림,2021-02-08,1,0,0,5,11,65,0,0,17
붉은오름자연휴양림,2021-02-09,1,0,0,7,14,70,0,0,56
붉은오름자연휴양림,2021-02-10,0,0,0,11,16,70,20,0,58
붉은오름자연휴양림,2021-02-11,1,0,1,11,17,80,20,0,45
붉은오름자연휴양림,2021-02-12,0,1,1,12,19,70,30,0,49
붉은오름자연휴양림,2021-02-13,1,2,1,11,18,70,0,0,52
붉은오름자연휴양림,2021-02-14,0,2,0,3,14,90,70,1,35
붉은오름자연휴양림,2021-02-15,1,0,0,2,11,65,0,0,39
붉은오름자연휴양림,2021-02-16,4,0,0,1,6,70,30,0,40
붉은오름자연휴양림,2021-02-17,0,0,0,2,7,70,60,3,32
붉은오름자연휴양림,2021-02-18,4,0,0,11,13,65,30,0,48
붉은오름자연휴양림,2021-02-19,3,1,0,14,18,65,0,0,36
붉은오름자연휴양림,2021-02-20,0,2,0,14,19,80,0,0,38
붉은오름자연휴양림,2021-02-21,2,2,0,7,20,90,0,0,31
붉은오름자연휴양림,2021-02-22,1,0,0,7,16,55,0,0,87
붉은오름자연휴양림,2021-02-23,3,0,0,11,16,45,20,0,38
붉은오름자연휴양림,2021-02-24,3,0,0,12,17,55,0,0,41
붉은오름자연휴양림,2021-02-25,3,0,0,11,14,80,70,1,24
붉은오름자연휴양림,2021-02-26,2,1,0,12,15,65,60,1,55
붉은오름자연휴양림,2021-02-27,4,2,0,15,17,70,20,0,32
붉은오름자연휴양림,2021-02-28,3,2,0,9,19,90,60,1,82
붉은오름자연휴양림,2021-03-01,3,0,1,7,13,90,70,1,29
붉은오름자연휴양림,2021-03-02,5,0,0,11,13,65,0,0,19
붉은오름자연휴양림,2021-03-03,0,0,0,13,16,70,20,0,35
붉은오름자연휴양림,2021-03-04,5,0,0,13,18,90,80,1,14
붉은오름자연휴양림,2021-03-05,3,1,0,10,18,75,20,0,39
붉은오름자연휴양림,2021-03-06,3,2,0,9,14,80,30,0,58
붉은오름자연휴양림,2021-03-07,3,2,0,10,16,75,30,0,47
붉은오름자연휴양림,2021-03-08,1,0,0,8,16,65,20,0,62
붉은오름자연휴양림,2021-03-09,1,0,0,12,18,65,30,0,11
붉은오름자연휴양림,2021-03-10,4,0,0,13,18,75,0,0,54
붉은오름자연휴양림,2021-03-11,2,0,0,10,18,80,30,0,42
붉은오름자연휴양림,2021-03-12,2,1,0,9,17,80,30,0,56
붉은오름자연휴양림,2021-03-13,2,2,0,10,18,75,20,0,18
붉은오름자연휴양림,2021-03-14,2,2,0,15,18,60,0,0,43
붉은오름자연휴양림,2021-03-15,4,0,0,10,20,80,30,0,45
붉은오름자연휴양림,2021-03-16,2,0,0,11,18,65,10,0,49
붉은오름자연휴양림,2021-03-17,1,0,0,13,19,65,10,0,18
붉은오름자연휴양림,2021-03-18,2,0,0,14,18,80,20,0,54
붉은오름자연휴양림,2021-03-19,2,1,0,10,19,85,30,0,38
붉은오름자연휴양림,2021-03-20,1,2,0,6,16,85,30,0,43
붉은오름자연휴양림,2021-03-21,1,2,0,7,15,60,10,0,63
붉은오름자연휴양림,2021-03-22,1,0,0,10,17,50,0,0,87
붉은오름자연휴양림,2021-03-23,5,0,0,12,18,65,0,0,44
붉은오름자연휴양림,2021-03-24,0,0,0,12,20,75,20,0,46
붉은오름자연휴양림,2021-03-25,3,0,0,15,20,75,0,0,28
붉은오름자연휴양림,2021-03-26,2,1,0,15,19,65,0,0,46
붉은오름자연휴양림,2021-03-27,2,2,0,14,20,100,90,1,52
붉은오름자연휴양림,2021-03-28,1,2,0,13,22,85,0,0,20
붉은오름자연휴양림,2021-03-29,2,0,0,13,20,65,0,0,68
붉은오름자연휴양림,2021-03-30,1,0,0,15,20,55,0,0,48
붉은오름자연휴양림,2021-03-31,1,0,0,16,19,65,20,0,55
붉은오름자연휴양림,2021-04-01,5,0,0,17,20,90,60,1,48
붉은오름자연휴양림,2021-04-02,1,1,0,15,20,90,30,0,38
붉은오름자연휴양림,2021-04-03,1,2,0,11,18,100,60,1,29
붉은오름자연휴양림,2021-04-04,1,2,0,11,18,80,30,0,36
붉은오름자연휴양림,2021-04-05,3,0,0,13,19,50,0,0,16
붉은오름자연휴양림,2021-04-06,3,0,0,12,21,45,0,0,23
붉은오름자연휴양림,2021-04-07,3,0,0,11,21,55,20,0,21
붉은오름자연휴양림,2021-04-08,4,0,0,12,19,40,0,0,28
붉은오름자연휴양림,2021-04-09,5,1,0,12,18,70,20,0,54
붉은오름자연휴양림,2021-04-10,6,2,0,16,20,65,0,0,66
붉은오름자연휴양림,2021-04-11,0,2,0,15,19,80,20,0,68
붉은오름자연휴양림,2021-04-12,1,0,0,9,21,100,84,1,47
붉은오름자연휴양림,2021-04-13,3,0,0,10,17,65,30,0,57
붉은오름자연휴양림,2021-04-14,6,0,0,14,18,45,0,0,49
붉은오름자연휴양림,2021-04-15,2,0,0,14,19,65,20,0,62
붉은오름자연휴양림,2021-04-16,1,1,0,10,20,75,30,0,37
붉은오름자연휴양림,2021-04-17,4,2,0,11,19,45,0,0,53
붉은오름자연휴양림,2021-04-18,2,2,0,12,21,45,0,0,39
붉은오름자연휴양림,2021-04-19,4,0,0,14,21,45,0,0,68
붉은오름자연휴양림,2021-04-20,1,0,0,16,22,60,0,0,19
붉은오름자연휴양림,2021-04-21,8,0,0,18,22,60,20,0,55
붉은오름자연휴양림,2021-04-22,3,0,0,16,22,70,30,0,62
붉은오름자연휴양림,2021-04-23,4,1,0,15,22,70,30,0,25
붉은오름자연휴양림,2021-04-24,1,2,0,13,23,80,10,0,36
붉은오름자연휴양림,2021-04-25,0,2,0,14,21,70,20,0,37
붉은오름자연휴양림,2021-04-26,3,0,0,16,21,55,0,0,38
붉은오름자연휴양림,2021-04-27,1,0,0,15,22,85,30,0,18
붉은오름자연휴양림,2021-04-28,2,0,0,16,23,90,20,0,73
붉은오름자연휴양림,2021-04-29,4,0,0,12,23,70,0,0,36
붉은오름자연휴양림,2021-04-30,4,1,0,11,20,40,10,0,48
붉은오름자연휴양림,2021-05-01,4,2,0,11,19,65,0,0,38
붉은오름자연휴양림,2021-05-02,9,2,0,17,20,50,0,0,33
붉은오름자연휴양림,2021-05-03,4,0,0,16,21,75,20,0,88
붉은오름자연휴양림,2021-05-04,2,0,0,14,24,100,80,1,23
붉은오름자연휴양림,2021-05-05,3,0,1,16,22,50,0,0,33
붉은오름자연휴양림,2021-05-06,2,0,0,15,23,50,20,0,8
붉은오름자연휴양림,2021-05-07,2,1,0,17,23,65,10,0,45
붉은오름자연휴양림,2021-05-08,1,2,0,17,23,90,30,0,29
붉은오름자연휴양림,2021-05-09,1,2,0,19,24,65,0,0,47
붉은오름자연휴양림,2021-05-10,0,0,0,20,23,100,30,0,46
붉은오름자연휴양림,2021-05-11,1,0,0,19,23,95,71,1,39
붉은오름자연휴양림,2021-05-12,3,0,0,19,24,90,30,0,55
붉은오름자연휴양림,2021-05-13,6,0,0,21,24,85,20,0,34
붉은오름자연휴양림,2021-05-14,3,1,0,20,23,95,30,0,38
붉은오름자연휴양림,2021-05-15,4,2,0,18,24,100,30,0,10
붉은오름자연휴양림,2021-05-16,2,2,0,17,24,100,70,1,78
붉은오름자연휴양림,2021-05-17,3,0,0,17,24,80,20,0,46
붉은오름자연휴양림,2021-05-18,3,0,0,17,24,70,0,0,50
붉은오름자연휴양림,2021-05-19,2,0,1,16,23,80,20,0,62
붉은오름자연휴양림,2021-05-20,3,0,0,16,24,100,30,0,47
붉은오름자연휴양림,2021-05-21,3,1,0,18,24,60,0,0,66
붉은오름자연휴양림,2021-05-22,2,2,0,18,25,70,0,0,46
붉은오름자연휴양림,2021-05-23,3,2,0,18,26,65,30,0,53
붉은오름자연휴양림,2021-05-24,9,0,0,17,26,60,0,0,38
붉은오름자연휴양림,2021-05-25,2,0,0,18,23,50,0,0,37
붉은오름자연휴양림,2021-05-26,3,0,0,18,25,85,60,1,63
붉은오름자연휴양림,2021-05-27,2,0,0,16,24,75,0,0,62
붉은오름자연휴양림,2021-05-28,10,1,0,17,25,65,10,0,12
붉은오름자연휴양림,2021-05-29,3,2,0,18,25,65,0,0,33
붉은오름자연휴양림,2021-05-30,2,2,0,19,25,55,0,0,29
붉은오름자연휴양림,2021-05-31,4,0,0,20,26,60,0,0,78
붉은오름자연휴양림,2021-06-01,6,0,0,21,25,70,0,0,55
붉은오름자연휴양림,2021-06-02,6,0,0,18,25,90,30,0,24
붉은오름자연휴양림,2021-06-03,6,0,0,17,26,100,30,0,50
붉은오름자연휴양림,2021-06-04,5,1,0,19,25,55,0,0,39
붉은오름자연휴양림,2021-06-05,3,2,0,19,26,85,0,0,35
붉은오름자연휴양림,2021-06-06,6,2,1,21,27,70,0,0,23
붉은오름자연휴양림,2021-06-07,1,0,0,22,27,80,0,0,15
붉은오름자연휴양림,2021-06-08,2,0,0,22,26,95,20,0,44
붉은오름자연휴양림,2021-06-09,6,0,0,22,26,95,30,0,65
붉은오름자연휴양림,2021-06-10,2,0,0,22,25,100,70,1,36
붉은오름자연휴양림,2021-06-11,3,1,0,21,27,95,20,0,71
붉은오름자연휴양림,2021-06-12,2,2,0,21,26,90,30,0,37
붉은오름자연휴양림,2021-06-13,4,2,0,21,27,85,20,0,57
붉은오름자연휴양림,2021-06-14,5,0,0,22,25,85,0,0,43
