poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
새별오름,2021-01-01,44,1,1,-1,5,75,30,0,180
새별오름,2021-01-02,37,2,0,0,4,75,30,0,95
새별오름,2021-01-03,38,2,0,3,7,75,30,0,190
새별오름,2021-01-04,52,0,0,-1,5,75,0,0,102
새별오름,2021-01-05,36,0,0,-4,2,75,30,0,160
새별오름,2021-01-06,36,0,0,-5,-3,65,30,0,203
새별오름,2021-01-07,32,0,0,-4,-3,85,90,3,192
새별오름,2021-01-08,29,1,0,-1,-1,85,90,3,90
새별오름,2021-01-09,36,2,0,0,2,80,80,3,86
새별오름,2021-01-10,36,2,0,0,2,75,30,0,204
새별오름,2021-01-11,47,0,0,2,4,90,80,3,241
새별오름,2021-01-12,28,0,0,3,9,70,30,0,569
새별오름,2021-01-13,27,0,0,6,10,75,0,0,282
새별오름,2021-01-14,36,0,0,1,12,80,0,0,72
새별오름,2021-01-15,38,1,0,-1,2,80,20,0,170
새별오름,2021-01-16,23,2,0,0,1,75,30,0,85
새별오름,2021-01-17,29,2,0,-2,6,65,30,0,702
새별오름,2021-01-18,30,0,0,0,3,55,0,0,114
새별오름,2021-01-19,26,0,0,6,10,65,0,0,266
새별오름,2021-01-20,44,0,0,9,15,80,20,0,112
새별오름,2021-01-21,19,0,0,9,12,85,30,0,75
새별오름,2021-01-22,31,1,0,7,12,95,20,0,37
새별오름,2021-01-23,26,2,0,6,10,90,80,1,228
새별오름,2021-01-24,29,2,0,9,13,70,20,0,661
새별오름,2021-01-25,34,0,0,2,11,75,20,0,79
새별오름,2021-01-26,37,0,0,2,7,85,60,1,198
새별오름,2021-01-27,45,0,0,-2,8,55,10,0,604
새별오름,2021-01-28,35,0,0,-1,2,60,60,1,211
새별오름,2021-01-29,34,1,0,3,9,70,30,0,123
새별오름,2021-01-30,27,2,0,10,12,75,0,0,484
새별오름,2021-01-31,41,2,0,1,12,70,30,0,330
새별오름,2021-02-01,54,0,0,-1,1,85,80,1,13
새별오름,2021-02-02,40,0,0,4,7,70,20,0,177
새별오름,2021-02-03,39,0,0,0,5,70,0,0,270
새별오름,2021-02-04,24,0,0,5,10,70,20,0,314
새별오름,2021-02-05,36,1,0,5,14,75,30,0,115
새별오름,2021-02-06,40,2,0,0,11,75,0,0,304
새별오름,2021-02-07,35,2,0,0,3,75,0,0,171
새별오름,2021-02-08,41,0,0,0,5,65,10,0,260
새별오름,2021-02-09,39,0,0,3,10,70,0,0,125
새별오름,2021-02-10,36,0,0,5,11,70,20,0,236
새별오름,2021-02-11,32,0,1,6,13,75,20,0,185
새별오름,2021-02-12,32,1,1,7,15,75,30,0,325
새별오름,2021-02-13,39,2,1,7,16,75,0,0,211
새별오름,2021-02-14,39,2,0,0,8,90,70,1,150
새별오름,2021-02-15,38,0,0,-2,7,65,20,0,191
새별오름,2021-02-16,35,0,0,-2,0,80,60,1,106
새별오름,2021-02-17,28,0,0,-1,1,75,60,3,362
새별오름,2021-02-18,41,0,0,7,10,75,30,0,175
새별오름,2021-02-19,42,1,0,10,16,65,0,0,207
새별오름,2021-02-20,43,2,0,11,19,65,0,0,351
새별오름,2021-02-21,34,2,0,1,19,70,0,0,235
새별오름,2021-02-22,44,0,0,1,8,70,0,0,111
새별오름,2021-02-23,29,0,0,6,12,55,20,0,606
