poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
삼양해수욕장,2021-01-01,2,1,1,-1,5,75,30,0,80
삼양해수욕장,2021-01-02,4,2,0,0,4,75,30,0,61
삼양해수욕장,2021-01-03,9,2,0,3,7,75,30,0,72
삼양해수욕장,2021-01-04,9,0,0,-1,5,75,0,0,110
삼양해수욕장,2021-01-05,3,0,0,-4,2,75,30,0,41
삼양해수욕장,2021-01-06,13,0,0,-5,-3,65,30,0,68
삼양해수욕장,2021-01-07,7,0,0,-4,-3,85,90,3,28
삼양해수욕장,2021-01-08,4,1,0,-1,-1,85,90,3,22
삼양해수욕장,2021-01-09,11,2,0,0,2,80,80,3,146
삼양해수욕장,2021-01-10,8,2,0,0,2,75,30,0,36
삼양해수욕장,2021-01-11,6,0,0,2,4,90,80,3,111
삼양해수욕장,2021-01-12,14,0,0,3,9,70,30,0,83
삼양해수욕장,2021-01-13,6,0,0,6,10,75,0,0,83
삼양해수욕장,2021-01-14,6,0,0,1,12,80,0,0,31
삼양해수욕장,2021-01-15,7,1,0,-1,2,80,20,0,43
삼양해수욕장,2021-01-16,1,2,0,0,1,75,30,0,93
삼양해수욕장,2021-01-17,5,2,0,-2,6,65,30,0,57
삼양해수욕장,2021-01-18,8,0,0,0,3,55,0,0,75
삼양해수욕장,2021-01-19,8,0,0,6,10,65,0,0,60
삼양해수욕장,2021-01-20,4,0,0,9,15,80,20,0,37
삼양해수욕장,2021-01-21,17,0,0,9,12,85,30,0,64
삼양해수욕장,2021-01-22,6,1,0,7,12,95,20,0,31
삼양해수욕장,2021-01-23,5,2,0,6,10,90,80,1,52
삼양해수욕장,2021-01-24,5,2,0,9,13,70,20,0,56
삼양해수욕장,2021-01-25,5,0,0,2,11,75,20,0,89
삼양해수욕장,2021-01-26,8,0,0,2,7,85,60,1,70
삼양해수욕장,2021-01-27,5,0,0,-2,8,55,10,0,77
삼양해수욕장,2021-01-28,10,0,0,-1,2,60,60,1,73
삼양해수욕장,2021-01-29,5,1,0,3,9,70,30,0,124
삼양해수욕장,2021-01-30,4,2,0,10,12,75,0,0,64
삼양해수욕장,2021-01-31,5,2,0,1,12,70,30,0,68
