poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
산방산,2021-01-01,78,1,1,3,11,60,30,0,113
산방산,2021-01-02,83,2,0,5,10,70,20,0,123
산방산,2021-01-03,79,2,0,7,12,70,20,0,208
산방산,2021-01-04,118,0,0,3,12,60,0,0,96
산방산,2021-01-05,98,0,0,1,8,65,20,0,126
산방산,2021-01-06,112,0,0,-1,3,55,30,0,89
산방산,2021-01-07,93,0,0,0,3,75,90,3,101
산방산,2021-01-08,96,1,0,2,5,75,90,3,203
산방산,2021-01-09,70,2,0,4,8,75,80,3,81
산방산,2021-01-10,88,2,0,3,8,65,30,0,101
산방산,2021-01-11,106,0,0,8,9,75,30,0,150
산방산,2021-01-12,74,0,0,9,14,60,30,0,145
산방산,2021-01-13,90,0,0,12,16,65,0,0,119
산방산,2021-01-14,100,0,0,5,17,75,0,0,222
산방산,2021-01-15,91,1,0,3,10,70,20,0,43
산방산,2021-01-16,65,2,0,4,7,70,20,0,84
산방산,2021-01-17,89,2,0,2,11,55,30,0,58
산방산,2021-01-18,85,0,0,6,11,45,0,0,163
산방산,2021-01-19,84,0,0,12,14,60,0,0,93
산방산,2021-01-20,78,0,0,14,17,75,30,0,73
산방산,2021-01-21,79,0,0,13,18,80,30,0,39
산방산,2021-01-22,87,1,0,11,16,85,60,1,112
산방산,2021-01-23,70,2,0,10,15,85,80,1,20
산방산,2021-01-24,76,2,0,13,16,70,20,0,50
산방산,2021-01-25,102,0,0,6,16,75,10,0,105
산방산,2021-01-26,92,0,0,7,14,75,30,0,97
산방산,2021-01-27,81,0,0,2,13,50,10,0,121
산방산,2021-01-28,75,0,0,3,8,55,20,0,113
산방산,2021-01-29,78,1,0,8,12,65,20,0,74
산방산,2021-01-30,70,2,0,14,15,65,0,0,57
산방산,2021-01-31,56,2,0,4,15,60,30,0,97
산방산,2021-02-01,80,0,0,2,9,80,80,1,194
산방산,2021-02-02,121,0,0,8,10,65,0,0,117
산방산,2021-02-03,126,0,0,6,12,65,0,0,114
산방산,2021-02-04,104,0,0,9,13,60,10,0,159
산방산,2021-02-05,102,1,0,9,17,65,30,0,142
산방산,2021-02-06,83,2,0,4,17,80,0,0,111
산방산,2021-02-07,94,2,0,2,10,60,0,0,107
산방산,2021-02-08,141,0,0,5,11,65,0,0,71
산방산,2021-02-09,116,0,0,7,14,70,0,0,243
산방산,2021-02-10,97,0,0,11,16,70,20,0,139
산방산,2021-02-11,103,0,1,11,17,80,20,0,144
산방산,2021-02-12,95,1,1,12,19,70,30,0,97
산방산,2021-02-13,71,2,1,11,18,70,0,0,104
산방산,2021-02-14,101,2,0,3,14,90,70,1,96
산방산,2021-02-15,137,0,0,2,11,65,0,0,253
산방산,2021-02-16,110,0,0,1,6,70,30,0,125
산방산,2021-02-17,108,0,0,2,7,70,60,3,279
산방산,2021-02-18,100,0,0,11,13,65,30,0,69
산방산,2021-02-19,109,1,0,14,18,65,0,0,149
산방산,2021-02-20,116,2,0,14,19,80,0,0,85
산방산,2021-02-21,97,2,0,7,20,90,0,0,140
산방산,2021-02-22,133,0,0,7,16,55,0,0,153
산방산,2021-02-23,134,0,0,11,16,45,20,0,92
산방산,2021-02-24,137,0,0,12,17,55,0,0,172
산방산,2021-02-25,156,0,0,11,14,80,70,1,107
산방산,2021-02-26,145,1,0,12,15,65,60,1,151
산방산,2021-02-27,127,2,0,15,17,70,20,0,234
산방산,2021-02-28,105,2,0,9,19,90,60,1,179
산방산,2021-03-01,134,0,1,7,13,90,70,1,102
산방산,2021-03-02,137,0,0,11,13,65,0,0,75
산방산,2021-03-03,144,0,0,13,16,70,20,0,57
산방산,2021-03-04,139,0,0,13,18,90,80,1,68
산방산,2021-03-05,116,1,0,10,18,75,20,0,99
산방산,2021-03-06,116,2,0,9,14,80,30,0,114
산방산,2021-03-07,110,2,0,10,16,75,30,0,120
산방산,2021-03-08,147,0,0,8,16,65,20,0,107
산방산,2021-03-09,134,0,0,12,18,65,30,0,41
산방산,2021-03-10,156,0,0,13,18,75,0,0,159
산방산,2021-03-11,133,0,0,10,18,80,30,0,73
산방산,2021-03-12,143,1,0,9,17,80,30,0,171
산방산,2021-03-13,100,2,0,10,18,75,20,0,53
산방산,2021-03-14,133,2,0,15,18,60,0,0,112
산방산,2021-03-15,132,0,0,10,20,80,30,0,144
산방산,2021-03-16,139,0,0,11,18,65,10,0,67
산방산,2021-03-17,135,0,0,13,19,65,10,0,34
산방산,2021-03-18,167,0,0,14,18,80,20,0,119
산방산,2021-03-19,227,1,0,10,19,85,30,0,113
산방산,2021-03-20,134,2,0,6,16,85,30,0,192
산방산,2021-03-21,155,2,0,7,15,60,10,0,142
산방산,2021-03-22,189,0,0,10,17,50,0,0,145
산방산,2021-03-23,181,0,0,12,18,65,0,0,232
산방산,2021-03-24,191,0,0,12,20,75,20,0,115
산방산,2021-03-25,182,0,0,15,20,75,0,0,172
산방산,2021-03-26,159,1,0,15,19,65,0,0,133
산방산,2021-03-27,142,2,0,14,20,100,90,1,105
산방산,2021-03-28,159,2,0,13,22,85,0,0,104
산방산,2021-03-29,162,0,0,13,20,65,0,0,137
산방산,2021-03-30,139,0,0,15,20,55,0,0,69
산방산,2021-03-31,146,0,0,16,19,65,20,0,92
산방산,2021-04-01,148,0,0,17,20,90,60,1,119
산방산,2021-04-02,138,1,0,15,20,90,30,0,152
산방산,2021-04-03,129,2,0,11,18,100,60,1,73
산방산,2021-04-04,118,2,0,11,18,80,30,0,103
산방산,2021-04-05,131,0,0,13,19,50,0,0,79
산방산,2021-04-06,152,0,0,12,21,45,0,0,58
산방산,2021-04-07,183,0,0,11,21,55,20,0,58
산방산,2021-04-08,140,0,0,12,19,40,0,0,164
산방산,2021-04-09,181,1,0,12,18,70,20,0,149
산방산,2021-04-10,131,2,0,16,20,65,0,0,99
산방산,2021-04-11,126,2,0,15,19,80,20,0,146
산방산,2021-04-12,160,0,0,9,21,100,84,1,119
산방산,2021-04-13,193,0,0,10,17,65,30,0,108
산방산,2021-04-14,167,0,0,14,18,45,0,0,84
산방산,2021-04-15,189,0,0,14,19,65,20,0,75
산방산,2021-04-16,169,1,0,10,20,75,30,0,209
산방산,2021-04-17,146,2,0,11,19,45,0,0,155
산방산,2021-04-18,163,2,0,12,21,45,0,0,79
산방산,2021-04-19,195,0,0,14,21,45,0,0,207
산방산,2021-04-20,169,0,0,16,22,60,0,0,98
산방산,2021-04-21,187,0,0,18,22,60,20,0,98
산방산,2021-04-22,182,0,0,16,22,70,30,0,150
산방산,2021-04-23,162,1,0,15,22,70,30,0,232
산방산,2021-04-24,163,2,0,13,23,80,10,0,99
산방산,2021-04-25,173,2,0,14,21,70,20,0,142
산방산,2021-04-26,150,0,0,16,21,55,0,0,199
산방산,2021-04-27,139,0,0,15,22,85,30,0,90
산방산,2021-04-28,158,0,0,16,23,90,20,0,87
산방산,2021-04-29,130,0,0,12,23,70,0,0,91
산방산,2021-04-30,128,1,0,11,20,40,10,0,380
산방산,2021-05-01,156,2,0,11,19,65,0,0,115
산방산,2021-05-02,156,2,0,17,20,50,0,0,62
산방산,2021-05-03,181,0,0,16,21,75,20,0,105
산방산,2021-05-04,162,0,0,14,24,100,80,1,79
산방산,2021-05-05,141,0,1,16,22,50,0,0,97
산방산,2021-05-06,150,0,0,15,23,50,20,0,77
산방산,2021-05-07,155,1,0,17,23,65,10,0,163
산방산,2021-05-08,113,2,0,17,23,90,30,0,76
산방산,2021-05-09,128,2,0,19,24,65,0,0,108
산방산,2021-05-10,161,0,0,20,23,100,30,0,110
산방산,2021-05-11,148,0,0,19,23,95,71,1,72
산방산,2021-05-12,134,0,0,19,24,90,30,0,136
산방산,2021-05-13,114,0,0,21,24,85,20,0,46
산방산,2021-05-14,110,1,0,20,23,95,30,0,404
산방산,2021-05-15,97,2,0,18,24,100,30,0,108
산방산,2021-05-16,105,2,0,17,24,100,70,1,139
산방산,2021-05-17,147,0,0,17,24,80,20,0,117
산방산,2021-05-18,130,0,0,17,24,70,0,0,157
산방산,2021-05-19,122,0,1,16,23,80,20,0,117
산방산,2021-05-20,153,0,0,16,24,100,30,0,104
산방산,2021-05-21,135,1,0,18,24,60,0,0,187
산방산,2021-05-22,129,2,0,18,25,70,0,0,116
산방산,2021-05-23,119,2,0,18,26,65,30,0,93
산방산,2021-05-24,157,0,0,17,26,60,0,0,136
산방산,2021-05-25,166,0,0,18,23,50,0,0,57
산방산,2021-05-26,171,0,0,18,25,85,60,1,117
산방산,2021-05-27,154,0,0,16,24,75,0,0,125
산방산,2021-05-28,137,1,0,17,25,65,10,0,93
산방산,2021-05-29,136,2,0,18,25,65,0,0,149
산방산,2021-05-30,141,2,0,19,25,55,0,0,99
산방산,2021-05-31,166,0,0,20,26,60,0,0,85
산방산,2021-06-01,172,0,0,21,25,70,0,0,72
산방산,2021-06-02,172,0,0,18,25,90,30,0,140
산방산,2021-06-03,163,0,0,17,26,100,30,0,417
산방산,2021-06-04,165,1,0,19,25,55,0,0,104
산방산,2021-06-05,93,2,0,19,26,85,0,0,83
산방산,2021-06-06,119,2,1,21,27,70,0,0,86
산방산,2021-06-07,168,0,0,22,27,80,0,0,88
산방산,2021-06-08,141,0,0,22,26,95,20,0,80
산방산,2021-06-09,141,0,0,22,26,95,30,0,117
산방산,2021-06-10,153,0,0,22,25,100,70,1,101
산방산,2021-06-11,122,1,0,21,27,95,20,0,143
산방산,2021-06-12,109,2,0,21,26,90,30,0,188
산방산,2021-06-13,136,2,0,21,27,85,20,0,84
산방산,2021-06-14,144,0,0,22,25,85,0,0,123
산방산,2021-06-15,153,0,0,21,26,100,79,1,184
산방산,2021-06-16,178,0,0,22,26,90,30,0,152
산방산,2021-06-17,148,0,0,21,26,90,30,0,90
산방산,2021-06-18,117,1,0,21,28,95,30,0,76
산방산,2021-06-19,93,2,0,21,28,65,0,0,235
산방산,2021-06-20,105,2,0,22,29,80,30,0,113
산방산,2021-06-21,127,0,0,21,28,65,10,0,98
산방산,2021-06-22,166,0,0,20,27,85,0,0,95
산방산,2021-06-23,123,0,0,21,26,90,20,0,108
산방산,2021-06-24,148,0,0,22,26,90,30,0,136
산방산,2021-06-25,126,1,0,22,26,85,20,0,85
산방산,2021-06-26,105,2,0,22,27,85,30,0,112
산방산,2021-06-27,111,2,0,22,28,80,0,0,152
산방산,2021-06-28,133,0,0,22,28,80,10,0,146
산방산,2021-06-29,141,0,0,23,29,85,0,0,60
산방산,2021-06-30,165,0,0,24,29,85,20,0,51
산방산,2021-07-01,157,0,0,24,29,85,20,0,51
산방산,2021-07-02,139,1,0,25,28,90,30,0,117
산방산,2021-07-03,116,2,0,24,28,100,60,1,155
산방산,2021-07-04,112,2,0,26,28,95,60,1,83
산방산,2021-07-05,148,0,0,26,28,100,60,1,131
산방산,2021-07-06,140,0,0,26,28,100,60,1,72
산방산,2021-07-07,126,0,0,25,28,100,60,1,123
산방산,2021-07-08,116,0,0,25,28,95,60,1,115
산방산,2021-07-09,128,1,0,25,28,100,30,0,200
산방산,2021-07-10,116,2,0,26,29,95,20,0,68
산방산,2021-07-11,121,2,0,26,30,95,30,0,92
산방산,2021-07-12,156,0,0,26,29,95,20,0,87
산방산,2021-07-13,124,0,0,26,30,100,20,0,96
산방산,2021-07-14,135,0,0,26,30,95,30,0,108
산방산,2021-07-15,171,0,0,25,30,85,20,0,80
산방산,2021-07-16,146,1,0,25,30,85,0,0,83
산방산,2021-07-17,111,2,0,26,29,90,20,1,159
산방산,2021-07-18,137,2,0,27,30,90,60,0,74
산방산,2021-07-19,134,0,0,26,31,85,30,0,92
산방산,2021-07-20,135,0,0,26,32,75,0,0,78
