poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
세화해수욕장,2021-01-01,13,1,1,-1,5,75,30,0,102
세화해수욕장,2021-01-02,15,2,0,0,4,75,30,0,78
세화해수욕장,2021-01-03,24,2,0,3,7,75,30,0,131
세화해수욕장,2021-01-04,17,0,0,-1,5,75,0,0,194
세화해수욕장,2021-01-05,25,0,0,-4,2,75,30,0,54
세화해수욕장,2021-01-06,11,0,0,-5,-3,65,30,0,114
세화해수욕장,2021-01-07,13,0,0,-4,-3,85,90,3,65
세화해수욕장,2021-01-08,14,1,0,-1,-1,85,90,3,26
세화해수욕장,2021-01-09,16,2,0,0,2,80,80,3,274
세화해수욕장,2021-01-10,17,2,0,0,2,75,30,0,66
세화해수욕장,2021-01-11,10,0,0,2,4,90,80,3,133
세화해수욕장,2021-01-12,11,0,0,3,9,70,30,0,110
세화해수욕장,2021-01-13,16,0,0,6,10,75,0,0,125
세화해수욕장,2021-01-14,18,0,0,1,12,80,0,0,35
세화해수욕장,2021-01-15,48,1,0,-1,2,80,20,0,50
세화해수욕장,2021-01-16,8,2,0,0,1,75,30,0,165
세화해수욕장,2021-01-17,12,2,0,-2,6,65,30,0,105
세화해수욕장,2021-01-18,20,0,0,0,3,55,0,0,148
세화해수욕장,2021-01-19,15,0,0,6,10,65,0,0,91
세화해수욕장,2021-01-20,14,0,0,9,15,80,20,0,42
세화해수욕장,2021-01-21,14,0,0,9,12,85,30,0,84
세화해수욕장,2021-01-22,9,1,0,7,12,95,20,0,34
세화해수욕장,2021-01-23,16,2,0,6,10,90,80,1,88
세화해수욕장,2021-01-24,12,2,0,9,13,70,20,0,96
세화해수욕장,2021-01-25,11,0,0,2,11,75,20,0,120
세화해수욕장,2021-01-26,9,0,0,2,7,85,60,1,109
세화해수욕장,2021-01-27,9,0,0,-2,8,55,10,0,114
세화해수욕장,2021-01-28,16,0,0,-1,2,60,60,1,145
세화해수욕장,2021-01-29,12,1,0,3,9,70,30,0,161
세화해수욕장,2021-01-30,14,2,0,10,12,75,0,0,73
세화해수욕장,2021-01-31,16,2,0,1,12,70,30,0,129
세화해수욕장,2021-02-01,14,0,0,-1,1,85,80,1,15
세화해수욕장,2021-02-02,17,0,0,4,7,70,20,0,176
세화해수욕장,2021-02-03,8,0,0,0,5,70,0,0,122
세화해수욕장,2021-02-04,13,0,0,5,10,70,20,0,55
세화해수욕장,2021-02-05,12,1,0,5,14,75,30,0,166
세화해수욕장,2021-02-06,9,2,0,0,11,75,0,0,46
세화해수욕장,2021-02-07,16,2,0,0,3,75,0,0,95
세화해수욕장,2021-02-08,18,0,0,0,5,65,10,0,45
세화해수욕장,2021-02-09,8,0,0,3,10,70,0,0,150
세화해수욕장,2021-02-10,12,0,0,5,11,70,20,0,190
세화해수욕장,2021-02-11,10,0,1,6,13,75,20,0,78
세화해수욕장,2021-02-12,9,1,1,7,15,75,30,0,132
세화해수욕장,2021-02-13,12,2,1,7,16,75,0,0,106
세화해수욕장,2021-02-14,15,2,0,0,8,90,70,1,129
세화해수욕장,2021-02-15,9,0,0,-2,7,65,20,0,84
세화해수욕장,2021-02-16,12,0,0,-2,0,80,60,1,120
세화해수욕장,2021-02-17,11,0,0,-1,1,75,60,3,123
세화해수욕장,2021-02-18,14,0,0,7,10,75,30,0,76
세화해수욕장,2021-02-19,11,1,0,10,16,65,0,0,143
세화해수욕장,2021-02-20,10,2,0,11,19,65,0,0,63
세화해수욕장,2021-02-21,11,2,0,1,19,70,0,0,78
세화해수욕장,2021-02-22,15,0,0,1,8,70,0,0,130
세화해수욕장,2021-02-23,17,0,0,6,12,55,20,0,76
세화해수욕장,2021-02-24,15,0,0,8,13,60,20,0,181
세화해수욕장,2021-02-25,20,0,0,8,10,80,70,1,168
세화해수욕장,2021-02-26,15,1,0,8,11,65,60,1,176
세화해수욕장,2021-02-27,11,2,0,12,15,70,20,0,15
세화해수욕장,2021-02-28,15,2,0,5,18,85,60,1,91
세화해수욕장,2021-03-01,12,0,1,3,6,90,63,1,111
세화해수욕장,2021-03-02,15,0,0,6,11,70,0,0,187
세화해수욕장,2021-03-03,11,0,0,10,13,65,20,0,168
세화해수욕장,2021-03-04,13,0,0,8,14,90,80,1,121
세화해수욕장,2021-03-05,10,1,0,6,13,75,20,0,105
세화해수욕장,2021-03-06,9,2,0,5,10,80,30,0,130
세화해수욕장,2021-03-07,12,2,0,6,12,75,30,0,32
