poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
서귀포매일올레시장,2021-01-01,8,1,1,3,11,60,30,0,800
서귀포매일올레시장,2021-01-02,11,2,0,5,10,70,20,0,899
서귀포매일올레시장,2021-01-03,8,2,0,7,12,70,20,0,672
서귀포매일올레시장,2021-01-04,9,0,0,3,12,60,0,0,555
서귀포매일올레시장,2021-01-05,13,0,0,1,8,65,20,0,971
서귀포매일올레시장,2021-01-06,8,0,0,-1,3,55,30,0,759
서귀포매일올레시장,2021-01-07,17,0,0,0,3,75,90,3,729
서귀포매일올레시장,2021-01-08,14,1,0,2,5,75,90,3,672
서귀포매일올레시장,2021-01-09,6,2,0,4,8,75,80,3,649
서귀포매일올레시장,2021-01-10,11,2,0,3,8,65,30,0,1014
서귀포매일올레시장,2021-01-11,17,0,0,8,9,75,30,0,816
서귀포매일올레시장,2021-01-12,10,0,0,9,14,60,30,0,920
서귀포매일올레시장,2021-01-13,16,0,0,12,16,65,0,0,919
서귀포매일올레시장,2021-01-14,15,0,0,5,17,75,0,0,699
서귀포매일올레시장,2021-01-15,11,1,0,3,10,70,20,0,272
서귀포매일올레시장,2021-01-16,10,2,0,4,7,70,20,0,866
서귀포매일올레시장,2021-01-17,8,2,0,2,11,55,30,0,703
서귀포매일올레시장,2021-01-18,13,0,0,6,11,45,0,0,902
서귀포매일올레시장,2021-01-19,8,0,0,12,14,60,0,0,1027
서귀포매일올레시장,2021-01-20,15,0,0,14,17,75,30,0,753
서귀포매일올레시장,2021-01-21,4,0,0,13,18,80,30,0,407
서귀포매일올레시장,2021-01-22,10,1,0,11,16,85,60,1,884
서귀포매일올레시장,2021-01-23,12,2,0,10,15,85,80,1,159
서귀포매일올레시장,2021-01-24,9,2,0,13,16,70,20,0,821
서귀포매일올레시장,2021-01-25,12,0,0,6,16,75,10,0,787
서귀포매일올레시장,2021-01-26,11,0,0,7,14,75,30,0,1196
서귀포매일올레시장,2021-01-27,13,0,0,2,13,50,10,0,778
서귀포매일올레시장,2021-01-28,14,0,0,3,8,55,20,0,892
서귀포매일올레시장,2021-01-29,10,1,0,8,12,65,20,0,535
서귀포매일올레시장,2021-01-30,13,2,0,14,15,65,0,0,649
서귀포매일올레시장,2021-01-31,11,2,0,4,15,60,30,0,471
서귀포매일올레시장,2021-02-01,17,0,0,2,9,80,80,1,1032
서귀포매일올레시장,2021-02-02,9,0,0,8,10,65,0,0,569
서귀포매일올레시장,2021-02-03,9,0,0,6,12,65,0,0,662
서귀포매일올레시장,2021-02-04,7,0,0,9,13,60,10,0,1183
서귀포매일올레시장,2021-02-05,13,1,0,9,17,65,30,0,794
서귀포매일올레시장,2021-02-06,6,2,0,4,17,80,0,0,734
서귀포매일올레시장,2021-02-07,11,2,0,2,10,60,0,0,814
서귀포매일올레시장,2021-02-08,13,0,0,5,11,65,0,0,810
서귀포매일올레시장,2021-02-09,12,0,0,7,14,70,0,0,853
서귀포매일올레시장,2021-02-10,9,0,0,11,16,70,20,0,856
서귀포매일올레시장,2021-02-11,10,0,1,11,17,80,20,0,766
서귀포매일올레시장,2021-02-12,10,1,1,12,19,70,30,0,857
서귀포매일올레시장,2021-02-13,11,2,1,11,18,70,0,0,816
서귀포매일올레시장,2021-02-14,5,2,0,3,14,90,70,1,784
서귀포매일올레시장,2021-02-15,10,0,0,2,11,65,0,0,792
서귀포매일올레시장,2021-02-16,8,0,0,1,6,70,30,0,892
서귀포매일올레시장,2021-02-17,5,0,0,2,7,70,60,3,843
서귀포매일올레시장,2021-02-18,17,0,0,11,13,65,30,0,762
서귀포매일올레시장,2021-02-19,20,1,0,14,18,65,0,0,649
서귀포매일올레시장,2021-02-20,12,2,0,14,19,80,0,0,774
서귀포매일올레시장,2021-02-21,7,2,0,7,20,90,0,0,1060
서귀포매일올레시장,2021-02-22,13,0,0,7,16,55,0,0,995
서귀포매일올레시장,2021-02-23,6,0,0,11,16,45,20,0,793
서귀포매일올레시장,2021-02-24,11,0,0,12,17,55,0,0,1048
서귀포매일올레시장,2021-02-25,11,0,0,11,14,80,70,1,864
서귀포매일올레시장,2021-02-26,12,1,0,12,15,65,60,1,840
서귀포매일올레시장,2021-02-27,8,2,0,15,17,70,20,0,646
서귀포매일올레시장,2021-02-28,10,2,0,9,19,90,60,1,934
서귀포매일올레시장,2021-03-01,10,0,1,7,13,90,70,1,616
서귀포매일올레시장,2021-03-02,15,0,0,11,13,65,0,0,583
서귀포매일올레시장,2021-03-03,10,0,0,13,16,70,20,0,632
서귀포매일올레시장,2021-03-04,10,0,0,13,18,90,80,1,551
서귀포매일올레시장,2021-03-05,8,1,0,10,18,75,20,0,860
