poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
성읍민속마을,2021-01-01,5,1,1,3,11,60,30,0,52
성읍민속마을,2021-01-02,4,2,0,5,10,70,20,0,57
성읍민속마을,2021-01-03,5,2,0,7,12,70,20,0,56
성읍민속마을,2021-01-04,8,0,0,3,12,60,0,0,31
성읍민속마을,2021-01-05,9,0,0,1,8,65,20,0,59
성읍민속마을,2021-01-06,13,0,0,-1,3,55,30,0,32
성읍민속마을,2021-01-07,11,0,0,0,3,75,90,3,28
성읍민속마을,2021-01-08,9,1,0,2,5,75,90,3,38
성읍민속마을,2021-01-09,13,2,0,4,8,75,80,3,32
성읍민속마을,2021-01-10,10,2,0,3,8,65,30,0,51
성읍민속마을,2021-01-11,12,0,0,8,9,75,30,0,69
성읍민속마을,2021-01-12,8,0,0,9,14,60,30,0,51
성읍민속마을,2021-01-13,9,0,0,12,16,65,0,0,32
성읍민속마을,2021-01-14,10,0,0,5,17,75,0,0,52
성읍민속마을,2021-01-15,9,1,0,3,10,70,20,0,9
성읍민속마을,2021-01-16,9,2,0,4,7,70,20,0,21
성읍민속마을,2021-01-17,10,2,0,2,11,55,30,0,38
성읍민속마을,2021-01-18,11,0,0,6,11,45,0,0,76
성읍민속마을,2021-01-19,11,0,0,12,14,60,0,0,33
성읍민속마을,2021-01-20,8,0,0,14,17,75,30,0,44
성읍민속마을,2021-01-21,14,0,0,13,18,80,30,0,10
성읍민속마을,2021-01-22,14,1,0,11,16,85,60,1,35
성읍민속마을,2021-01-23,10,2,0,10,15,85,80,1,14
성읍민속마을,2021-01-24,11,2,0,13,16,70,20,0,28
성읍민속마을,2021-01-25,3,0,0,6,16,75,10,0,56
성읍민속마을,2021-01-26,11,0,0,7,14,75,30,0,50
성읍민속마을,2021-01-27,1,0,0,2,13,50,10,0,42
성읍민속마을,2021-01-28,4,0,0,3,8,55,20,0,37
성읍민속마을,2021-01-29,18,1,0,8,12,65,20,0,26
성읍민속마을,2021-01-30,8,2,0,14,15,65,0,0,22
성읍민속마을,2021-01-31,9,2,0,4,15,60,30,0,39
성읍민속마을,2021-02-01,9,0,0,2,9,80,80,1,74
성읍민속마을,2021-02-02,4,0,0,8,10,65,0,0,38
성읍민속마을,2021-02-03,4,0,0,6,12,65,0,0,28
성읍민속마을,2021-02-04,8,0,0,9,13,60,10,0,64
성읍민속마을,2021-02-05,3,1,0,9,17,65,30,0,69
성읍민속마을,2021-02-06,9,2,0,4,17,80,0,0,40
성읍민속마을,2021-02-07,3,2,0,2,10,60,0,0,28
성읍민속마을,2021-02-08,4,0,0,5,11,65,0,0,36
성읍민속마을,2021-02-09,9,0,0,7,14,70,0,0,96
성읍민속마을,2021-02-10,3,0,0,11,16,70,20,0,48
성읍민속마을,2021-02-11,5,0,1,11,17,80,20,0,78
성읍민속마을,2021-02-12,1,1,1,12,19,70,30,0,44
성읍민속마을,2021-02-13,8,2,1,11,18,70,0,0,27
성읍민속마을,2021-02-14,4,2,0,3,14,90,70,1,44
성읍민속마을,2021-02-15,9,0,0,2,11,65,0,0,44
성읍민속마을,2021-02-16,4,0,0,1,6,70,30,0,63
성읍민속마을,2021-02-17,9,0,0,2,7,70,60,3,44
성읍민속마을,2021-02-18,10,0,0,11,13,65,30,0,37
성읍민속마을,2021-02-19,12,1,0,14,18,65,0,0,70
성읍민속마을,2021-02-20,12,2,0,14,19,80,0,0,41
성읍민속마을,2021-02-21,4,2,0,7,20,90,0,0,61
성읍민속마을,2021-02-22,10,0,0,7,16,55,0,0,57
성읍민속마을,2021-02-23,12,0,0,11,16,45,20,0,41
성읍민속마을,2021-02-24,6,0,0,12,17,55,0,0,99
성읍민속마을,2021-02-25,10,0,0,11,14,80,70,1,41
성읍민속마을,2021-02-26,13,1,0,12,15,65,60,1,60
