poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
신창풍차해안도로,2021-01-01,8,1,1,-1,5,75,30,0,203
신창풍차해안도로,2021-01-02,22,2,0,0,4,75,30,0,153
신창풍차해안도로,2021-01-03,19,2,0,3,7,75,30,0,269
신창풍차해안도로,2021-01-04,19,0,0,-1,5,75,0,0,204
신창풍차해안도로,2021-01-05,17,0,0,-4,2,75,30,0,107
신창풍차해안도로,2021-01-06,19,0,0,-5,-3,65,30,0,277
신창풍차해안도로,2021-01-07,22,0,0,-4,-3,85,90,3,157
신창풍차해안도로,2021-01-08,14,1,0,-1,-1,85,90,3,74
신창풍차해안도로,2021-01-09,23,2,0,0,2,80,80,3,264
신창풍차해안도로,2021-01-10,17,2,0,0,2,75,30,0,175
신창풍차해안도로,2021-01-11,18,0,0,2,4,90,80,3,378
신창풍차해안도로,2021-01-12,17,0,0,3,9,70,30,0,250
신창풍차해안도로,2021-01-13,19,0,0,6,10,75,0,0,292
신창풍차해안도로,2021-01-14,29,0,0,1,12,80,0,0,89
신창풍차해안도로,2021-01-15,24,1,0,-1,2,80,20,0,166
신창풍차해안도로,2021-01-16,11,2,0,0,1,75,30,0,223
신창풍차해안도로,2021-01-17,18,2,0,-2,6,65,30,0,266
신창풍차해안도로,2021-01-18,9,0,0,0,3,55,0,0,271
신창풍차해안도로,2021-01-19,22,0,0,6,10,65,0,0,222
신창풍차해안도로,2021-01-20,14,0,0,9,15,80,20,0,181
신창풍차해안도로,2021-01-21,19,0,0,9,12,85,30,0,185
신창풍차해안도로,2021-01-22,8,1,0,7,12,95,20,0,99
신창풍차해안도로,2021-01-23,6,2,0,6,10,90,80,1,179
신창풍차해안도로,2021-01-24,11,2,0,9,13,70,20,0,236
신창풍차해안도로,2021-01-25,11,0,0,2,11,75,20,0,169
신창풍차해안도로,2021-01-26,10,0,0,2,7,85,60,1,245
신창풍차해안도로,2021-01-27,17,0,0,-2,8,55,10,0,247
신창풍차해안도로,2021-01-28,14,0,0,-1,2,60,60,1,297
신창풍차해안도로,2021-01-29,16,1,0,3,9,70,30,0,224
신창풍차해안도로,2021-01-30,15,2,0,10,12,75,0,0,225
신창풍차해안도로,2021-01-31,15,2,0,1,12,70,30,0,292
