poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
쇠소깍,2021-01-01,31,1,1,3,11,60,30,0,285
쇠소깍,2021-01-02,44,2,0,5,10,70,20,0,369
쇠소깍,2021-01-03,35,2,0,7,12,70,20,0,274
쇠소깍,2021-01-04,47,0,0,3,12,60,0,0,136
쇠소깍,2021-01-05,36,0,0,1,8,65,20,0,256
쇠소깍,2021-01-06,42,0,0,-1,3,55,30,0,283
쇠소깍,2021-01-07,49,0,0,0,3,75,90,3,262
쇠소깍,2021-01-08,37,1,0,2,5,75,90,3,245
쇠소깍,2021-01-09,29,2,0,4,8,75,80,3,250
쇠소깍,2021-01-10,50,2,0,3,8,65,30,0,200
쇠소깍,2021-01-11,44,0,0,8,9,75,30,0,341
쇠소깍,2021-01-12,47,0,0,9,14,60,30,0,356
쇠소깍,2021-01-13,57,0,0,12,16,65,0,0,337
쇠소깍,2021-01-14,35,0,0,5,17,75,0,0,241
쇠소깍,2021-01-15,25,1,0,3,10,70,20,0,46
쇠소깍,2021-01-16,22,2,0,4,7,70,20,0,204
쇠소깍,2021-01-17,22,2,0,2,11,55,30,0,135
쇠소깍,2021-01-18,31,0,0,6,11,45,0,0,284
쇠소깍,2021-01-19,25,0,0,12,14,60,0,0,210
쇠소깍,2021-01-20,23,0,0,14,17,75,30,0,334
쇠소깍,2021-01-21,25,0,0,13,18,80,30,0,26
쇠소깍,2021-01-22,26,1,0,11,16,85,60,1,351
쇠소깍,2021-01-23,16,2,0,10,15,85,80,1,35
쇠소깍,2021-01-24,22,2,0,13,16,70,20,0,78
쇠소깍,2021-01-25,35,0,0,6,16,75,10,0,153
쇠소깍,2021-01-26,24,0,0,7,14,75,30,0,170
쇠소깍,2021-01-27,14,0,0,2,13,50,10,0,298
쇠소깍,2021-01-28,22,0,0,3,8,55,20,0,281
쇠소깍,2021-01-29,22,1,0,8,12,65,20,0,118
쇠소깍,2021-01-30,18,2,0,14,15,65,0,0,134
쇠소깍,2021-01-31,24,2,0,4,15,60,30,0,189
쇠소깍,2021-02-01,29,0,0,2,9,80,80,1,516
쇠소깍,2021-02-02,25,0,0,8,10,65,0,0,208
쇠소깍,2021-02-03,27,0,0,6,12,65,0,0,143
쇠소깍,2021-02-04,31,0,0,9,13,60,10,0,466
쇠소깍,2021-02-05,30,1,0,9,17,65,30,0,300
쇠소깍,2021-02-06,13,2,0,4,17,80,0,0,137
쇠소깍,2021-02-07,23,2,0,2,10,60,0,0,316
쇠소깍,2021-02-08,28,0,0,5,11,65,0,0,83
쇠소깍,2021-02-09,31,0,0,7,14,70,0,0,321
쇠소깍,2021-02-10,29,0,0,11,16,70,20,0,290
쇠소깍,2021-02-11,24,0,1,11,17,80,20,0,273
쇠소깍,2021-02-12,19,1,1,12,19,70,30,0,309
쇠소깍,2021-02-13,26,2,1,11,18,70,0,0,305
쇠소깍,2021-02-14,24,2,0,3,14,90,70,1,186
쇠소깍,2021-02-15,31,0,0,2,11,65,0,0,301
쇠소깍,2021-02-16,31,0,0,1,6,70,30,0,254
쇠소깍,2021-02-17,33,0,0,2,7,70,60,3,319
쇠소깍,2021-02-18,34,0,0,11,13,65,30,0,266
쇠소깍,2021-02-19,31,1,0,14,18,65,0,0,254
쇠소깍,2021-02-20,23,2,0,14,19,80,0,0,296
쇠소깍,2021-02-21,26,2,0,7,20,90,0,0,152
쇠소깍,2021-02-22,42,0,0,7,16,55,0,0,317
쇠소깍,2021-02-23,39,0,0,11,16,45,20,0,321
쇠소깍,2021-02-24,28,0,0,12,17,55,0,0,351
쇠소깍,2021-02-25,33,0,0,11,14,80,70,1,162
쇠소깍,2021-02-26,31,1,0,12,15,65,60,1,333
쇠소깍,2021-02-27,24,2,0,15,17,70,20,0,282
쇠소깍,2021-02-28,27,2,0,9,19,90,60,1,455
쇠소깍,2021-03-01,24,0,1,7,13,90,70,1,156
쇠소깍,2021-03-02,37,0,0,11,13,65,0,0,140
쇠소깍,2021-03-03,30,0,0,13,16,70,20,0,145
쇠소깍,2021-03-04,28,0,0,13,18,90,80,1,102
쇠소깍,2021-03-05,28,1,0,10,18,75,20,0,259
쇠소깍,2021-03-06,36,2,0,9,14,80,30,0,294
쇠소깍,2021-03-07,22,2,0,10,16,75,30,0,434
쇠소깍,2021-03-08,32,0,0,8,16,65,20,0,372
쇠소깍,2021-03-09,31,0,0,12,18,65,30,0,68
쇠소깍,2021-03-10,38,0,0,13,18,75,0,0,298
쇠소깍,2021-03-11,30,0,0,10,18,80,30,0,152
쇠소깍,2021-03-12,36,1,0,9,17,80,30,0,342
쇠소깍,2021-03-13,27,2,0,10,18,75,20,0,93
쇠소깍,2021-03-14,33,2,0,15,18,60,0,0,332
쇠소깍,2021-03-15,26,0,0,10,20,80,30,0,398
쇠소깍,2021-03-16,34,0,0,11,18,65,10,0,203
쇠소깍,2021-03-17,33,0,0,13,19,65,10,0,60
쇠소깍,2021-03-18,33,0,0,14,18,80,20,0,204
쇠소깍,2021-03-19,38,1,0,10,19,85,30,0,140
쇠소깍,2021-03-20,25,2,0,6,16,85,30,0,292
쇠소깍,2021-03-21,32,2,0,7,15,60,10,0,354
쇠소깍,2021-03-22,44,0,0,10,17,50,0,0,396
쇠소깍,2021-03-23,43,0,0,12,18,65,0,0,213
쇠소깍,2021-03-24,37,0,0,12,20,75,20,0,326
쇠소깍,2021-03-25,42,0,0,15,20,75,0,0,198
쇠소깍,2021-03-26,38,1,0,15,19,65,0,0,186
쇠소깍,2021-03-27,32,2,0,14,20,100,90,1,271
쇠소깍,2021-03-28,27,2,0,13,22,85,0,0,195
쇠소깍,2021-03-29,35,0,0,13,20,65,0,0,256
쇠소깍,2021-03-30,40,0,0,15,20,55,0,0,239
쇠소깍,2021-03-31,31,0,0,16,19,65,20,0,309
쇠소깍,2021-04-01,36,0,0,17,20,90,60,1,293
쇠소깍,2021-04-02,28,1,0,15,20,90,30,0,210
쇠소깍,2021-04-03,32,2,0,11,18,100,60,1,186
쇠소깍,2021-04-04,26,2,0,11,18,80,30,0,263
쇠소깍,2021-04-05,37,0,0,13,19,50,0,0,97
쇠소깍,2021-04-06,30,0,0,12,21,45,0,0,122
쇠소깍,2021-04-07,52,0,0,11,21,55,20,0,131
쇠소깍,2021-04-08,32,0,0,12,19,40,0,0,185
쇠소깍,2021-04-09,38,1,0,12,18,70,20,0,361
쇠소깍,2021-04-10,38,2,0,16,20,65,0,0,254
쇠소깍,2021-04-11,23,2,0,15,19,80,20,0,318
쇠소깍,2021-04-12,34,0,0,9,21,100,84,1,348
쇠소깍,2021-04-13,33,0,0,10,17,65,30,0,314
쇠소깍,2021-04-14,37,0,0,14,18,45,0,0,263
쇠소깍,2021-04-15,39,0,0,14,19,65,20,0,329
쇠소깍,2021-04-16,38,1,0,10,20,75,30,0,247
쇠소깍,2021-04-17,42,2,0,11,19,45,0,0,288
쇠소깍,2021-04-18,42,2,0,12,21,45,0,0,302
쇠소깍,2021-04-19,37,0,0,14,21,45,0,0,406
쇠소깍,2021-04-20,44,0,0,16,22,60,0,0,149
쇠소깍,2021-04-21,43,0,0,18,22,60,20,0,284
쇠소깍,2021-04-22,36,0,0,16,22,70,30,0,299
쇠소깍,2021-04-23,54,1,0,15,22,70,30,0,265
쇠소깍,2021-04-24,29,2,0,13,23,80,10,0,175
쇠소깍,2021-04-25,37,2,0,14,21,70,20,0,270
쇠소깍,2021-04-26,37,0,0,16,21,55,0,0,270
쇠소깍,2021-04-27,50,0,0,15,22,85,30,0,170
쇠소깍,2021-04-28,50,0,0,16,23,90,20,0,255
쇠소깍,2021-04-29,30,0,0,12,23,70,0,0,152
쇠소깍,2021-04-30,50,1,0,11,20,40,10,0,300
쇠소깍,2021-05-01,46,2,0,11,19,65,0,0,244
쇠소깍,2021-05-02,49,2,0,17,20,50,0,0,172
쇠소깍,2021-05-03,82,0,0,16,21,75,20,0,313
쇠소깍,2021-05-04,51,0,0,14,24,100,80,1,96
쇠소깍,2021-05-05,50,0,1,16,22,50,0,0,131
쇠소깍,2021-05-06,48,0,0,15,23,50,20,0,118
쇠소깍,2021-05-07,37,1,0,17,23,65,10,0,261
