poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
섭지코지,2021-01-01,102,1,1,3,11,60,30,0,474
섭지코지,2021-01-02,71,2,0,5,10,70,20,0,487
섭지코지,2021-01-03,54,2,0,7,12,70,20,0,473
섭지코지,2021-01-04,58,0,0,3,12,60,0,0,262
섭지코지,2021-01-05,53,0,0,1,8,65,20,0,497
섭지코지,2021-01-06,51,0,0,-1,3,55,30,0,326
섭지코지,2021-01-07,58,0,0,0,3,75,90,3,345
섭지코지,2021-01-08,56,1,0,2,5,75,90,3,410
섭지코지,2021-01-09,65,2,0,4,8,75,80,3,354
섭지코지,2021-01-10,44,2,0,3,8,65,30,0,370
섭지코지,2021-01-11,70,0,0,8,9,75,30,0,453
섭지코지,2021-01-12,51,0,0,9,14,60,30,0,438
섭지코지,2021-01-13,62,0,0,12,16,65,0,0,465
섭지코지,2021-01-14,77,0,0,5,17,75,0,0,415
섭지코지,2021-01-15,55,1,0,3,10,70,20,0,99
섭지코지,2021-01-16,46,2,0,4,7,70,20,0,298
섭지코지,2021-01-17,60,2,0,2,11,55,30,0,272
섭지코지,2021-01-18,62,0,0,6,11,45,0,0,455
섭지코지,2021-01-19,54,0,0,12,14,60,0,0,413
섭지코지,2021-01-20,59,0,0,14,17,75,30,0,326
섭지코지,2021-01-21,53,0,0,13,18,80,30,0,55
섭지코지,2021-01-22,54,1,0,11,16,85,60,1,357
섭지코지,2021-01-23,44,2,0,10,15,85,80,1,57
섭지코지,2021-01-24,37,2,0,13,16,70,20,0,156
섭지코지,2021-01-25,54,0,0,6,16,75,10,0,320
섭지코지,2021-01-26,43,0,0,7,14,75,30,0,388
섭지코지,2021-01-27,51,0,0,2,13,50,10,0,415
섭지코지,2021-01-28,65,0,0,3,8,55,20,0,435
섭지코지,2021-01-29,42,1,0,8,12,65,20,0,236
섭지코지,2021-01-30,27,2,0,14,15,65,0,0,305
섭지코지,2021-01-31,49,2,0,4,15,60,30,0,286
섭지코지,2021-02-01,50,0,0,2,9,80,80,1,637
섭지코지,2021-02-02,54,0,0,8,10,65,0,0,298
