poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
성산일출봉,2021-01-01,209,1,1,3,11,60,30,0,647
성산일출봉,2021-01-02,170,2,0,5,10,70,20,0,694
성산일출봉,2021-01-03,156,2,0,7,12,70,20,0,592
성산일출봉,2021-01-04,150,0,0,3,12,60,0,0,389
성산일출봉,2021-01-05,137,0,0,1,8,65,20,0,668
성산일출봉,2021-01-06,145,0,0,-1,3,55,30,0,493
성산일출봉,2021-01-07,115,0,0,0,3,75,90,3,473
성산일출봉,2021-01-08,141,1,0,2,5,75,90,3,541
성산일출봉,2021-01-09,132,2,0,4,8,75,80,3,434
성산일출봉,2021-01-10,119,2,0,3,8,65,30,0,589
성산일출봉,2021-01-11,145,0,0,8,9,75,30,0,595
성산일출봉,2021-01-12,166,0,0,9,14,60,30,0,583
성산일출봉,2021-01-13,131,0,0,12,16,65,0,0,604
성산일출봉,2021-01-14,135,0,0,5,17,75,0,0,542
성산일출봉,2021-01-15,115,1,0,3,10,70,20,0,139
성산일출봉,2021-01-16,102,2,0,4,7,70,20,0,424
성산일출봉,2021-01-17,107,2,0,2,11,55,30,0,488
성산일출봉,2021-01-18,142,0,0,6,11,45,0,0,599
성산일출봉,2021-01-19,111,0,0,12,14,60,0,0,482
성산일출봉,2021-01-20,141,0,0,14,17,75,30,0,482
성산일출봉,2021-01-21,124,0,0,13,18,80,30,0,111
성산일출봉,2021-01-22,125,1,0,11,16,85,60,1,559
성산일출봉,2021-01-23,101,2,0,10,15,85,80,1,72
성산일출봉,2021-01-24,104,2,0,13,16,70,20,0,228
성산일출봉,2021-01-25,144,0,0,6,16,75,10,0,519
성산일출봉,2021-01-26,110,0,0,7,14,75,30,0,407
성산일출봉,2021-01-27,119,0,0,2,13,50,10,0,540
성산일출봉,2021-01-28,159,0,0,3,8,55,20,0,648
성산일출봉,2021-01-29,115,1,0,8,12,65,20,0,343
성산일출봉,2021-01-30,107,2,0,14,15,65,0,0,390
성산일출봉,2021-01-31,115,2,0,4,15,60,30,0,442
성산일출봉,2021-02-01,129,0,0,2,9,80,80,1,732
성산일출봉,2021-02-02,154,0,0,8,10,65,0,0,499
성산일출봉,2021-02-03,162,0,0,6,12,65,0,0,326
성산일출봉,2021-02-04,149,0,0,9,13,60,10,0,961
성산일출봉,2021-02-05,142,1,0,9,17,65,30,0,607
성산일출봉,2021-02-06,139,2,0,4,17,80,0,0,491
성산일출봉,2021-02-07,125,2,0,2,10,60,0,0,476
성산일출봉,2021-02-08,131,0,0,5,11,65,0,0,295
성산일출봉,2021-02-09,139,0,0,7,14,70,0,0,613
성산일출봉,2021-02-10,135,0,0,11,16,70,20,0,645
성산일출봉,2021-02-11,141,0,1,11,17,80,20,0,517
성산일출봉,2021-02-12,86,1,1,12,19,70,30,0,495
성산일출봉,2021-02-13,113,2,1,11,18,70,0,0,507
성산일출봉,2021-02-14,115,2,0,3,14,90,70,1,611
성산일출봉,2021-02-15,165,0,0,2,11,65,0,0,664
성산일출봉,2021-02-16,141,0,0,1,6,70,30,0,654
성산일출봉,2021-02-17,141,0,0,2,7,70,60,3,613
성산일출봉,2021-02-18,141,0,0,11,13,65,30,0,525
성산일출봉,2021-02-19,129,1,0,14,18,65,0,0,491
성산일출봉,2021-02-20,113,2,0,14,19,80,0,0,507
성산일출봉,2021-02-21,120,2,0,7,20,90,0,0,479
성산일출봉,2021-02-22,170,0,0,7,16,55,0,0,834
성산일출봉,2021-02-23,144,0,0,11,16,45,20,0,484
성산일출봉,2021-02-24,143,0,0,12,17,55,0,0,721
성산일출봉,2021-02-25,157,0,0,11,14,80,70,1,538
성산일출봉,2021-02-26,147,1,0,12,15,65,60,1,771
성산일출봉,2021-02-27,131,2,0,15,17,70,20,0,567
성산일출봉,2021-02-28,158,2,0,9,19,90,60,1,682
성산일출봉,2021-03-01,149,0,1,7,13,90,70,1,444
성산일출봉,2021-03-02,175,0,0,11,13,65,0,0,414
성산일출봉,2021-03-03,202,0,0,13,16,70,20,0,294
성산일출봉,2021-03-04,199,0,0,13,18,90,80,1,202
성산일출봉,2021-03-05,160,1,0,10,18,75,20,0,532
성산일출봉,2021-03-06,148,2,0,9,14,80,30,0,634
성산일출봉,2021-03-07,131,2,0,10,16,75,30,0,740
성산일출봉,2021-03-08,161,0,0,8,16,65,20,0,610
성산일출봉,2021-03-09,148,0,0,12,18,65,30,0,196
성산일출봉,2021-03-10,168,0,0,13,18,75,0,0,581
성산일출봉,2021-03-11,185,0,0,10,18,80,30,0,486
성산일출봉,2021-03-12,146,1,0,9,17,80,30,0,642
성산일출봉,2021-03-13,121,2,0,10,18,75,20,0,225
성산일출봉,2021-03-14,117,2,0,15,18,60,0,0,498
성산일출봉,2021-03-15,157,0,0,10,20,80,30,0,620
성산일출봉,2021-03-16,186,0,0,11,18,65,10,0,410
성산일출봉,2021-03-17,186,0,0,13,19,65,10,0,139
성산일출봉,2021-03-18,219,0,0,14,18,80,20,0,488
성산일출봉,2021-03-19,250,1,0,10,19,85,30,0,540
성산일출봉,2021-03-20,149,2,0,6,16,85,30,0,683
성산일출봉,2021-03-21,196,2,0,7,15,60,10,0,621
성산일출봉,2021-03-22,214,0,0,10,17,50,0,0,755
성산일출봉,2021-03-23,190,0,0,12,18,65,0,0,487
성산일출봉,2021-03-24,218,0,0,12,20,75,20,0,555
성산일출봉,2021-03-25,221,0,0,15,20,75,0,0,481
성산일출봉,2021-03-26,176,1,0,15,19,65,0,0,640
성산일출봉,2021-03-27,162,2,0,14,20,100,90,1,510
성산일출봉,2021-03-28,128,2,0,13,22,85,0,0,444
성산일출봉,2021-03-29,174,0,0,13,20,65,0,0,662
성산일출봉,2021-03-30,152,0,0,15,20,55,0,0,424
