poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
월정리해변,2021-01-01,17,1,1,-1,5,75,30,0,206
월정리해변,2021-01-02,31,2,0,0,4,75,30,0,132
월정리해변,2021-01-03,34,2,0,3,7,75,30,0,225
월정리해변,2021-01-04,35,0,0,-1,5,75,0,0,270
월정리해변,2021-01-05,23,0,0,-4,2,75,30,0,70
월정리해변,2021-01-06,18,0,0,-5,-3,65,30,0,236
월정리해변,2021-01-07,30,0,0,-4,-3,85,90,3,87
월정리해변,2021-01-08,16,1,0,-1,-1,85,90,3,55
월정리해변,2021-01-09,23,2,0,0,2,80,80,3,262
월정리해변,2021-01-10,17,2,0,0,2,75,30,0,116
월정리해변,2021-01-11,32,0,0,2,4,90,80,3,279
월정리해변,2021-01-12,27,0,0,3,9,70,30,0,193
월정리해변,2021-01-13,21,0,0,6,10,75,0,0,271
월정리해변,2021-01-14,22,0,0,1,12,80,0,0,70
월정리해변,2021-01-15,59,1,0,-1,2,80,20,0,121
월정리해변,2021-01-16,13,2,0,0,1,75,30,0,251
월정리해변,2021-01-17,21,2,0,-2,6,65,30,0,150
월정리해변,2021-01-18,35,0,0,0,3,55,0,0,242
월정리해변,2021-01-19,21,0,0,6,10,65,0,0,208
월정리해변,2021-01-20,25,0,0,9,15,80,20,0,120
월정리해변,2021-01-21,21,0,0,9,12,85,30,0,142
월정리해변,2021-01-22,17,1,0,7,12,95,20,0,78
월정리해변,2021-01-23,24,2,0,6,10,90,80,1,145
월정리해변,2021-01-24,26,2,0,9,13,70,20,0,144
월정리해변,2021-01-25,28,0,0,2,11,75,20,0,185
월정리해변,2021-01-26,26,0,0,2,7,85,60,1,219
월정리해변,2021-01-27,25,0,0,-2,8,55,10,0,176
월정리해변,2021-01-28,27,0,0,-1,2,60,60,1,202
월정리해변,2021-01-29,21,1,0,3,9,70,30,0,258
월정리해변,2021-01-30,17,2,0,10,12,75,0,0,152
월정리해변,2021-01-31,20,2,0,1,12,70,30,0,219
월정리해변,2021-02-01,35,0,0,-1,1,85,80,1,30
월정리해변,2021-02-02,30,0,0,4,7,70,20,0,287
월정리해변,2021-02-03,34,0,0,0,5,70,0,0,243
월정리해변,2021-02-04,28,0,0,5,10,70,20,0,126
월정리해변,2021-02-05,24,1,0,5,14,75,30,0,253
월정리해변,2021-02-06,20,2,0,0,11,75,0,0,102
월정리해변,2021-02-07,18,2,0,0,3,75,0,0,220
월정리해변,2021-02-08,27,0,0,0,5,65,10,0,93
월정리해변,2021-02-09,31,0,0,3,10,70,0,0,168
월정리해변,2021-02-10,28,0,0,5,11,70,20,0,348
월정리해변,2021-02-11,28,0,1,6,13,75,20,0,147
월정리해변,2021-02-12,25,1,1,7,15,75,30,0,310
월정리해변,2021-02-13,21,2,1,7,16,75,0,0,215
월정리해변,2021-02-14,18,2,0,0,8,90,70,1,214
월정리해변,2021-02-15,39,0,0,-2,7,65,20,0,211
월정리해변,2021-02-16,38,0,0,-2,0,80,60,1,204
월정리해변,2021-02-17,33,0,0,-1,1,75,60,3,197
월정리해변,2021-02-18,24,0,0,7,10,75,30,0,160
월정리해변,2021-02-19,30,1,0,10,16,65,0,0,277
월정리해변,2021-02-20,18,2,0,11,19,65,0,0,98
월정리해변,2021-02-21,19,2,0,1,19,70,0,0,155
월정리해변,2021-02-22,35,0,0,1,8,70,0,0,234
월정리해변,2021-02-23,29,0,0,6,12,55,20,0,150
월정리해변,2021-02-24,28,0,0,8,13,60,20,0,265
월정리해변,2021-02-25,26,0,0,8,10,80,70,1,300
월정리해변,2021-02-26,27,1,0,8,11,65,60,1,282
월정리해변,2021-02-27,18,2,0,12,15,70,20,0,8
월정리해변,2021-02-28,24,2,0,5,18,85,60,1,151
월정리해변,2021-03-01,16,0,1,3,6,90,63,1,271
월정리해변,2021-03-02,24,0,0,6,11,70,0,0,274
월정리해변,2021-03-03,23,0,0,10,13,65,20,0,246
월정리해변,2021-03-04,24,0,0,8,14,90,80,1,212
월정리해변,2021-03-05,26,1,0,6,13,75,20,0,188
월정리해변,2021-03-06,22,2,0,5,10,80,30,0,220
월정리해변,2021-03-07,23,2,0,6,12,75,30,0,82
월정리해변,2021-03-08,37,0,0,3,12,70,20,0,206
월정리해변,2021-03-09,31,0,0,7,14,60,30,0,225
월정리해변,2021-03-10,36,0,0,10,16,75,0,0,207
월정리해변,2021-03-11,33,0,0,7,12,80,30,0,163
