poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
세계자동차&피아노박물관,2021-01-01,508,1,1,3,11,60,30,0,43
세계자동차&피아노박물관,2021-01-02,531,2,0,5,10,70,20,0,46
세계자동차&피아노박물관,2021-01-03,551,2,0,7,12,70,20,0,15
세계자동차&피아노박물관,2021-01-04,888,0,0,3,12,60,0,0,24
세계자동차&피아노박물관,2021-01-05,932,0,0,1,8,65,20,0,49
세계자동차&피아노박물관,2021-01-06,962,0,0,-1,3,55,30,0,51
세계자동차&피아노박물관,2021-01-07,868,0,0,0,3,75,90,3,61
세계자동차&피아노박물관,2021-01-08,1022,1,0,2,5,75,90,3,34
세계자동차&피아노박물관,2021-01-09,781,2,0,4,8,75,80,3,44
세계자동차&피아노박물관,2021-01-10,764,2,0,3,8,65,30,0,53
세계자동차&피아노박물관,2021-01-11,1163,0,0,8,9,75,30,0,42
세계자동차&피아노박물관,2021-01-12,1039,0,0,9,14,60,30,0,54
세계자동차&피아노박물관,2021-01-13,1062,0,0,12,16,65,0,0,56
세계자동차&피아노박물관,2021-01-14,954,0,0,5,17,75,0,0,34
세계자동차&피아노박물관,2021-01-15,957,1,0,3,10,70,20,0,11
세계자동차&피아노박물관,2021-01-16,523,2,0,4,7,70,20,0,85
세계자동차&피아노박물관,2021-01-17,626,2,0,2,11,55,30,0,18
세계자동차&피아노박물관,2021-01-18,900,0,0,6,11,45,0,0,59
세계자동차&피아노박물관,2021-01-19,883,0,0,12,14,60,0,0,91
세계자동차&피아노박물관,2021-01-20,926,0,0,14,17,75,30,0,44
세계자동차&피아노박물관,2021-01-21,857,0,0,13,18,80,30,0,33
세계자동차&피아노박물관,2021-01-22,774,1,0,11,16,85,60,1,95
세계자동차&피아노박물관,2021-01-23,508,2,0,10,15,85,80,1,7
세계자동차&피아노박물관,2021-01-24,586,2,0,13,16,70,20,0,67
세계자동차&피아노박물관,2021-01-25,896,0,0,6,16,75,10,0,30
세계자동차&피아노박물관,2021-01-26,929,0,0,7,14,75,30,0,120
세계자동차&피아노박물관,2021-01-27,844,0,0,2,13,50,10,0,37
세계자동차&피아노박물관,2021-01-28,817,0,0,3,8,55,20,0,38
세계자동차&피아노박물관,2021-01-29,727,1,0,8,12,65,20,0,21
세계자동차&피아노박물관,2021-01-30,504,2,0,14,15,65,0,0,48
세계자동차&피아노박물관,2021-01-31,500,2,0,4,15,60,30,0,14
세계자동차&피아노박물관,2021-02-01,812,0,0,2,9,80,80,1,54
세계자동차&피아노박물관,2021-02-02,774,0,0,8,10,65,0,0,22
세계자동차&피아노박물관,2021-02-03,663,0,0,6,12,65,0,0,48
세계자동차&피아노박물관,2021-02-04,742,0,0,9,13,60,10,0,72
세계자동차&피아노박물관,2021-02-05,732,1,0,9,17,65,30,0,32
세계자동차&피아노박물관,2021-02-06,483,2,0,4,17,80,0,0,25
세계자동차&피아노박물관,2021-02-07,472,2,0,2,10,60,0,0,39
세계자동차&피아노박물관,2021-02-08,667,0,0,5,11,65,0,0,50
세계자동차&피아노박물관,2021-02-09,775,0,0,7,14,70,0,0,33
세계자동차&피아노박물관,2021-02-10,718,0,0,11,16,70,20,0,36
세계자동차&피아노박물관,2021-02-11,422,0,1,11,17,80,20,0,43
세계자동차&피아노박물관,2021-02-12,392,1,1,12,19,70,30,0,39
세계자동차&피아노박물관,2021-02-13,472,2,1,11,18,70,0,0,82
세계자동차&피아노박물관,2021-02-14,486,2,0,3,14,90,70,1,43
세계자동차&피아노박물관,2021-02-15,786,0,0,2,11,65,0,0,46
세계자동차&피아노박물관,2021-02-16,750,0,0,1,6,70,30,0,39
세계자동차&피아노박물관,2021-02-17,725,0,0,2,7,70,60,3,34
세계자동차&피아노박물관,2021-02-18,672,0,0,11,13,65,30,0,61
세계자동차&피아노박물관,2021-02-19,690,1,0,14,18,65,0,0,31
세계자동차&피아노박물관,2021-02-20,483,2,0,14,19,80,0,0,50
세계자동차&피아노박물관,2021-02-21,471,2,0,7,20,90,0,0,55
세계자동차&피아노박물관,2021-02-22,925,0,0,7,16,55,0,0,41
세계자동차&피아노박물관,2021-02-23,963,0,0,11,16,45,20,0,48
세계자동차&피아노박물관,2021-02-24,970,0,0,12,17,55,0,0,41
세계자동차&피아노박물관,2021-02-25,917,0,0,11,14,80,70,1,47
세계자동차&피아노박물관,2021-02-26,788,1,0,12,15,65,60,1,74
세계자동차&피아노박물관,2021-02-27,538,2,0,15,17,70,20,0,38
세계자동차&피아노박물관,2021-02-28,539,2,0,9,19,90,60,1,63
세계자동차&피아노박물관,2021-03-01,769,0,1,7,13,90,70,1,23
세계자동차&피아노박물관,2021-03-02,1055,0,0,11,13,65,0,0,17
세계자동차&피아노박물관,2021-03-03,897,0,0,13,16,70,20,0,45
세계자동차&피아노박물관,2021-03-04,857,0,0,13,18,90,80,1,16
세계자동차&피아노박물관,2021-03-05,761,1,0,10,18,75,20,0,36
세계자동차&피아노박물관,2021-03-06,530,2,0,9,14,80,30,0,59
세계자동차&피아노박물관,2021-03-07,593,2,0,10,16,75,30,0,59
세계자동차&피아노박물관,2021-03-08,837,0,0,8,16,65,20,0,95
세계자동차&피아노박물관,2021-03-09,864,0,0,12,18,65,30,0,20
세계자동차&피아노박물관,2021-03-10,819,0,0,13,18,75,0,0,48
세계자동차&피아노박물관,2021-03-11,759,0,0,10,18,80,30,0,24
세계자동차&피아노박물관,2021-03-12,677,1,0,9,17,80,30,0,73
세계자동차&피아노박물관,2021-03-13,356,2,0,10,18,75,20,0,35
세계자동차&피아노박물관,2021-03-14,402,2,0,15,18,60,0,0,40
세계자동차&피아노박물관,2021-03-15,682,0,0,10,20,80,30,0,80
세계자동차&피아노박물관,2021-03-16,770,0,0,11,18,65,10,0,32
세계자동차&피아노박물관,2021-03-17,748,0,0,13,19,65,10,0,14
세계자동차&피아노박물관,2021-03-18,668,0,0,14,18,80,20,0,88
