poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
용두암,2021-01-01,22,1,1,-1,5,75,30,0,259
용두암,2021-01-02,24,2,0,0,4,75,30,0,125
용두암,2021-01-03,23,2,0,3,7,75,30,0,328
용두암,2021-01-04,24,0,0,-1,5,75,0,0,173
용두암,2021-01-05,29,0,0,-4,2,75,30,0,112
용두암,2021-01-06,35,0,0,-5,-3,65,30,0,273
용두암,2021-01-07,43,0,0,-4,-3,85,90,3,129
용두암,2021-01-08,34,1,0,-1,-1,85,90,3,82
용두암,2021-01-09,36,2,0,0,2,80,80,3,223
용두암,2021-01-10,24,2,0,0,2,75,30,0,114
용두암,2021-01-11,45,0,0,2,4,90,80,3,301
용두암,2021-01-12,30,0,0,3,9,70,30,0,219
용두암,2021-01-13,55,0,0,6,10,75,0,0,309
용두암,2021-01-14,36,0,0,1,12,80,0,0,79
용두암,2021-01-15,38,1,0,-1,2,80,20,0,183
용두암,2021-01-16,15,2,0,0,1,75,30,0,177
용두암,2021-01-17,24,2,0,-2,6,65,30,0,232
용두암,2021-01-18,32,0,0,0,3,55,0,0,263
용두암,2021-01-19,30,0,0,6,10,65,0,0,166
용두암,2021-01-20,36,0,0,9,15,80,20,0,224
용두암,2021-01-21,41,0,0,9,12,85,30,0,179
용두암,2021-01-22,29,1,0,7,12,95,20,0,126
용두암,2021-01-23,22,2,0,6,10,90,80,1,163
용두암,2021-01-24,20,2,0,9,13,70,20,0,224
용두암,2021-01-25,30,0,0,2,11,75,20,0,216
용두암,2021-01-26,33,0,0,2,7,85,60,1,215
용두암,2021-01-27,30,0,0,-2,8,55,10,0,238
용두암,2021-01-28,39,0,0,-1,2,60,60,1,257
용두암,2021-01-29,39,1,0,3,9,70,30,0,214
용두암,2021-01-30,22,2,0,10,12,75,0,0,200
용두암,2021-01-31,22,2,0,1,12,70,30,0,255
용두암,2021-02-01,32,0,0,-1,1,85,80,1,56
용두암,2021-02-02,55,0,0,4,7,70,20,0,302
용두암,2021-02-03,41,0,0,0,5,70,0,0,199
용두암,2021-02-04,37,0,0,5,10,70,20,0,187
용두암,2021-02-05,42,1,0,5,14,75,30,0,203
용두암,2021-02-06,24,2,0,0,11,75,0,0,146
용두암,2021-02-07,24,2,0,0,3,75,0,0,287
용두암,2021-02-08,42,0,0,0,5,65,10,0,159
용두암,2021-02-09,52,0,0,3,10,70,0,0,139
용두암,2021-02-10,30,0,0,5,11,70,20,0,290
용두암,2021-02-11,31,0,1,6,13,75,20,0,188
용두암,2021-02-12,28,1,1,7,15,75,30,0,242
용두암,2021-02-13,18,2,1,7,16,75,0,0,303
용두암,2021-02-14,32,2,0,0,8,90,70,1,173
용두암,2021-02-15,29,0,0,-2,7,65,20,0,221
용두암,2021-02-16,32,0,0,-2,0,80,60,1,137
용두암,2021-02-17,33,0,0,-1,1,75,60,3,206
용두암,2021-02-18,20,0,0,7,10,75,30,0,165
용두암,2021-02-19,21,1,0,10,16,65,0,0,326
용두암,2021-02-20,25,2,0,11,19,65,0,0,145
용두암,2021-02-21,26,2,0,1,19,70,0,0,197
