poi,date,social_buzz,day,holiday,minimum temperature(°C),maximum temperature(°C),humidity(%),precip_prob(%),precip_type,num_of_search
용머리해안,2021-01-01,41,1,1,3,11,60,30,0,217
용머리해안,2021-01-02,22,2,0,5,10,70,20,0,412
용머리해안,2021-01-03,32,2,0,7,12,70,20,0,261
용머리해안,2021-01-04,40,0,0,3,12,60,0,0,177
용머리해안,2021-01-05,28,0,0,1,8,65,20,0,219
용머리해안,2021-01-06,38,0,0,-1,3,55,30,0,196
용머리해안,2021-01-07,34,0,0,0,3,75,90,3,205
용머리해안,2021-01-08,33,1,0,2,5,75,90,3,170
용머리해안,2021-01-09,31,2,0,4,8,75,80,3,160
용머리해안,2021-01-10,28,2,0,3,8,65,30,0,138
용머리해안,2021-01-11,38,0,0,8,9,75,30,0,263
용머리해안,2021-01-12,29,0,0,9,14,60,30,0,340
용머리해안,2021-01-13,30,0,0,12,16,65,0,0,394
용머리해안,2021-01-14,37,0,0,5,17,75,0,0,199
용머리해안,2021-01-15,17,1,0,3,10,70,20,0,56
용머리해안,2021-01-16,27,2,0,4,7,70,20,0,110
용머리해안,2021-01-17,36,2,0,2,11,55,30,0,187
용머리해안,2021-01-18,21,0,0,6,11,45,0,0,154
용머리해안,2021-01-19,38,0,0,12,14,60,0,0,122
용머리해안,2021-01-20,27,0,0,14,17,75,30,0,185
용머리해안,2021-01-21,30,0,0,13,18,80,30,0,25
용머리해안,2021-01-22,24,1,0,11,16,85,60,1,201
용머리해안,2021-01-23,27,2,0,10,15,85,80,1,16
용머리해안,2021-01-24,33,2,0,13,16,70,20,0,40
용머리해안,2021-01-25,41,0,0,6,16,75,10,0,218
용머리해안,2021-01-26,41,0,0,7,14,75,30,0,149
용머리해안,2021-01-27,32,0,0,2,13,50,10,0,235
용머리해안,2021-01-28,33,0,0,3,8,55,20,0,234
용머리해안,2021-01-29,25,1,0,8,12,65,20,0,122
용머리해안,2021-01-30,27,2,0,14,15,65,0,0,108
용머리해안,2021-01-31,22,2,0,4,15,60,30,0,142
용머리해안,2021-02-01,38,0,0,2,9,80,80,1,248
용머리해안,2021-02-02,55,0,0,8,10,65,0,0,151
용머리해안,2021-02-03,66,0,0,6,12,65,0,0,108
용머리해안,2021-02-04,45,0,0,9,13,60,10,0,340
용머리해안,2021-02-05,47,1,0,9,17,65,30,0,286
용머리해안,2021-02-06,29,2,0,4,17,80,0,0,173
용머리해안,2021-02-07,31,2,0,2,10,60,0,0,169
용머리해안,2021-02-08,49,0,0,5,11,65,0,0,89
용머리해안,2021-02-09,41,0,0,7,14,70,0,0,280
