,관광지,날짜,버즈량,위치
1460,곽지해수욕장,2021-01-01,13,제주시
1461,곽지해수욕장,2021-01-02,17,제주시
1462,곽지해수욕장,2021-01-03,21,제주시
1463,곽지해수욕장,2021-01-04,32,제주시
1464,곽지해수욕장,2021-01-05,31,제주시
1465,곽지해수욕장,2021-01-06,19,제주시
1466,곽지해수욕장,2021-01-07,18,제주시
1467,곽지해수욕장,2021-01-08,29,제주시
1468,곽지해수욕장,2021-01-09,17,제주시
1469,곽지해수욕장,2021-01-10,19,제주시
1470,곽지해수욕장,2021-01-11,23,제주시
1471,곽지해수욕장,2021-01-12,12,제주시
1472,곽지해수욕장,2021-01-13,22,제주시
1473,곽지해수욕장,2021-01-14,16,제주시
1474,곽지해수욕장,2021-01-15,18,제주시
1475,곽지해수욕장,2021-01-16,14,제주시
1476,곽지해수욕장,2021-01-17,8,제주시
1477,곽지해수욕장,2021-01-18,16,제주시
1478,곽지해수욕장,2021-01-19,16,제주시
1479,곽지해수욕장,2021-01-20,16,제주시
1480,곽지해수욕장,2021-01-21,18,제주시
1481,곽지해수욕장,2021-01-22,13,제주시
1482,곽지해수욕장,2021-01-23,11,제주시
1483,곽지해수욕장,2021-01-24,12,제주시
1484,곽지해수욕장,2021-01-25,14,제주시
1485,곽지해수욕장,2021-01-26,13,제주시
1486,곽지해수욕장,2021-01-27,16,제주시
1487,곽지해수욕장,2021-01-28,21,제주시
1488,곽지해수욕장,2021-01-29,20,제주시
1489,곽지해수욕장,2021-01-30,12,제주시
1490,곽지해수욕장,2021-01-31,12,제주시
1491,곽지해수욕장,2021-02-01,11,제주시
1492,곽지해수욕장,2021-02-02,18,제주시
1493,곽지해수욕장,2021-02-03,13,제주시
1494,곽지해수욕장,2021-02-04,12,제주시
1495,곽지해수욕장,2021-02-05,19,제주시
1496,곽지해수욕장,2021-02-06,9,제주시
1497,곽지해수욕장,2021-02-07,10,제주시
1498,곽지해수욕장,2021-02-08,14,제주시
1499,곽지해수욕장,2021-02-09,19,제주시
1500,곽지해수욕장,2021-02-10,14,제주시
1501,곽지해수욕장,2021-02-11,23,제주시
1502,곽지해수욕장,2021-02-12,15,제주시
1503,곽지해수욕장,2021-02-13,13,제주시
1504,곽지해수욕장,2021-02-14,20,제주시
1505,곽지해수욕장,2021-02-15,21,제주시
1506,곽지해수욕장,2021-02-16,19,제주시
1507,곽지해수욕장,2021-02-17,21,제주시
1508,곽지해수욕장,2021-02-18,20,제주시
1509,곽지해수욕장,2021-02-19,22,제주시
1510,곽지해수욕장,2021-02-20,16,제주시
1511,곽지해수욕장,2021-02-21,14,제주시
1512,곽지해수욕장,2021-02-22,28,제주시
1513,곽지해수욕장,2021-02-23,28,제주시
1514,곽지해수욕장,2021-02-24,23,제주시
1515,곽지해수욕장,2021-02-25,10,제주시
1516,곽지해수욕장,2021-02-26,21,제주시
1517,곽지해수욕장,2021-02-27,21,제주시
1518,곽지해수욕장,2021-02-28,29,제주시
1519,곽지해수욕장,2021-03-01,23,제주시
1520,곽지해수욕장,2021-03-02,27,제주시
1521,곽지해수욕장,2021-03-03,14,제주시
1522,곽지해수욕장,2021-03-04,26,제주시
1523,곽지해수욕장,2021-03-05,20,제주시
1524,곽지해수욕장,2021-03-06,17,제주시
1525,곽지해수욕장,2021-03-07,13,제주시
1526,곽지해수욕장,2021-03-08,35,제주시
1527,곽지해수욕장,2021-03-09,20,제주시
1528,곽지해수욕장,2021-03-10,17,제주시
1529,곽지해수욕장,2021-03-11,21,제주시
1530,곽지해수욕장,2021-03-12,26,제주시
1531,곽지해수욕장,2021-03-13,11,제주시
1532,곽지해수욕장,2021-03-14,26,제주시
1533,곽지해수욕장,2021-03-15,26,제주시
