,관광지,날짜,버즈량,위치
0,1100고지습지,2021-01-01,1,서귀포시
1,1100고지습지,2021-01-02,16,서귀포시
2,1100고지습지,2021-01-03,24,서귀포시
3,1100고지습지,2021-01-04,7,서귀포시
4,1100고지습지,2021-01-05,0,서귀포시
5,1100고지습지,2021-01-06,8,서귀포시
6,1100고지습지,2021-01-07,7,서귀포시
7,1100고지습지,2021-01-08,2,서귀포시
8,1100고지습지,2021-01-09,4,서귀포시
9,1100고지습지,2021-01-10,0,서귀포시
10,1100고지습지,2021-01-11,2,서귀포시
11,1100고지습지,2021-01-12,0,서귀포시
12,1100고지습지,2021-01-13,0,서귀포시
13,1100고지습지,2021-01-14,2,서귀포시
14,1100고지습지,2021-01-15,6,서귀포시
15,1100고지습지,2021-01-16,6,서귀포시
16,1100고지습지,2021-01-17,2,서귀포시
17,1100고지습지,2021-01-18,6,서귀포시
18,1100고지습지,2021-01-19,3,서귀포시
19,1100고지습지,2021-01-20,6,서귀포시
20,1100고지습지,2021-01-21,2,서귀포시
21,1100고지습지,2021-01-22,4,서귀포시
22,1100고지습지,2021-01-23,3,서귀포시
23,1100고지습지,2021-01-24,2,서귀포시
24,1100고지습지,2021-01-25,9,서귀포시
25,1100고지습지,2021-01-26,1,서귀포시
26,1100고지습지,2021-01-27,2,서귀포시
27,1100고지습지,2021-01-28,18,서귀포시
28,1100고지습지,2021-01-29,1,서귀포시
29,1100고지습지,2021-01-30,3,서귀포시
30,1100고지습지,2021-01-31,8,서귀포시
31,1100고지습지,2021-02-01,6,서귀포시
32,1100고지습지,2021-02-02,4,서귀포시
33,1100고지습지,2021-02-03,7,서귀포시
34,1100고지습지,2021-02-04,3,서귀포시
35,1100고지습지,2021-02-05,2,서귀포시
36,1100고지습지,2021-02-06,4,서귀포시
37,1100고지습지,2021-02-07,0,서귀포시
38,1100고지습지,2021-02-08,6,서귀포시
39,1100고지습지,2021-02-09,3,서귀포시
40,1100고지습지,2021-02-10,3,서귀포시
41,1100고지습지,2021-02-11,1,서귀포시
42,1100고지습지,2021-02-12,1,서귀포시
43,1100고지습지,2021-02-13,2,서귀포시
44,1100고지습지,2021-02-14,3,서귀포시
45,1100고지습지,2021-02-15,2,서귀포시
46,1100고지습지,2021-02-16,2,서귀포시
