관광지,날짜,버즈량,위치
가파도,2021-01-01,17,서귀포시
가파도,2021-01-02,18,서귀포시
가파도,2021-01-03,20,서귀포시
가파도,2021-01-04,32,서귀포시
가파도,2021-01-05,18,서귀포시
가파도,2021-01-06,29,서귀포시
가파도,2021-01-07,23,서귀포시
가파도,2021-01-08,18,서귀포시
가파도,2021-01-09,15,서귀포시
가파도,2021-01-10,26,서귀포시
가파도,2021-01-11,17,서귀포시
가파도,2021-01-12,15,서귀포시
가파도,2021-01-13,24,서귀포시
가파도,2021-01-14,28,서귀포시
가파도,2021-01-15,22,서귀포시
가파도,2021-01-16,20,서귀포시
가파도,2021-01-17,10,서귀포시
가파도,2021-01-18,15,서귀포시
가파도,2021-01-19,25,서귀포시
가파도,2021-01-20,17,서귀포시
가파도,2021-01-21,18,서귀포시
가파도,2021-01-22,24,서귀포시
가파도,2021-01-23,19,서귀포시
가파도,2021-01-24,19,서귀포시
가파도,2021-01-25,13,서귀포시
가파도,2021-01-26,19,서귀포시
가파도,2021-01-27,27,서귀포시
가파도,2021-01-28,22,서귀포시
가파도,2021-01-29,24,서귀포시
가파도,2021-01-30,19,서귀포시
가파도,2021-01-31,20,서귀포시
가파도,2021-02-01,11,서귀포시
가파도,2021-02-02,39,서귀포시
가파도,2021-02-03,30,서귀포시
가파도,2021-02-04,28,서귀포시
가파도,2021-02-05,20,서귀포시
가파도,2021-02-06,17,서귀포시
가파도,2021-02-07,24,서귀포시
가파도,2021-02-08,25,서귀포시
가파도,2021-02-09,26,서귀포시
가파도,2021-02-10,14,서귀포시
가파도,2021-02-11,19,서귀포시
가파도,2021-02-12,12,서귀포시
가파도,2021-02-13,25,서귀포시
가파도,2021-02-14,9,서귀포시
가파도,2021-02-15,30,서귀포시
가파도,2021-02-16,23,서귀포시
가파도,2021-02-17,21,서귀포시
가파도,2021-02-18,15,서귀포시
가파도,2021-02-19,25,서귀포시
가파도,2021-02-20,11,서귀포시
가파도,2021-02-21,11,서귀포시
가파도,2021-02-22,16,서귀포시
가파도,2021-02-23,14,서귀포시
가파도,2021-02-24,27,서귀포시
가파도,2021-02-25,32,서귀포시
가파도,2021-02-26,28,서귀포시
가파도,2021-02-27,33,서귀포시
가파도,2021-02-28,14,서귀포시
가파도,2021-03-01,17,서귀포시
가파도,2021-03-02,32,서귀포시
가파도,2021-03-03,28,서귀포시
가파도,2021-03-04,24,서귀포시
가파도,2021-03-05,20,서귀포시
가파도,2021-03-06,18,서귀포시
가파도,2021-03-07,14,서귀포시
가파도,2021-03-08,29,서귀포시
가파도,2021-03-09,24,서귀포시
가파도,2021-03-10,34,서귀포시
가파도,2021-03-11,47,서귀포시
가파도,2021-03-12,28,서귀포시
가파도,2021-03-13,14,서귀포시
가파도,2021-03-14,23,서귀포시
가파도,2021-03-15,33,서귀포시
가파도,2021-03-16,27,서귀포시
가파도,2021-03-17,40,서귀포시
가파도,2021-03-18,29,서귀포시
가파도,2021-03-19,43,서귀포시
가파도,2021-03-20,28,서귀포시
