관광지,날짜,버즈량,위치
김녕해수욕장,2021-01-01,11,제주시
김녕해수욕장,2021-01-02,19,제주시
김녕해수욕장,2021-01-03,13,제주시
김녕해수욕장,2021-01-04,22,제주시
김녕해수욕장,2021-01-05,24,제주시
김녕해수욕장,2021-01-06,15,제주시
김녕해수욕장,2021-01-07,13,제주시
김녕해수욕장,2021-01-08,15,제주시
김녕해수욕장,2021-01-09,15,제주시
김녕해수욕장,2021-01-10,25,제주시
김녕해수욕장,2021-01-11,16,제주시
김녕해수욕장,2021-01-12,15,제주시
김녕해수욕장,2021-01-13,15,제주시
김녕해수욕장,2021-01-14,17,제주시
김녕해수욕장,2021-01-15,11,제주시
김녕해수욕장,2021-01-16,12,제주시
김녕해수욕장,2021-01-17,19,제주시
김녕해수욕장,2021-01-18,20,제주시
김녕해수욕장,2021-01-19,16,제주시
김녕해수욕장,2021-01-20,12,제주시
김녕해수욕장,2021-01-21,16,제주시
김녕해수욕장,2021-01-22,17,제주시
김녕해수욕장,2021-01-23,11,제주시
김녕해수욕장,2021-01-24,16,제주시
김녕해수욕장,2021-01-25,18,제주시
김녕해수욕장,2021-01-26,17,제주시
김녕해수욕장,2021-01-27,9,제주시
김녕해수욕장,2021-01-28,21,제주시
김녕해수욕장,2021-01-29,10,제주시
김녕해수욕장,2021-01-30,10,제주시
김녕해수욕장,2021-01-31,21,제주시
김녕해수욕장,2021-02-01,24,제주시
김녕해수욕장,2021-02-02,15,제주시
김녕해수욕장,2021-02-03,17,제주시
김녕해수욕장,2021-02-04,28,제주시
김녕해수욕장,2021-02-05,25,제주시
김녕해수욕장,2021-02-06,12,제주시
김녕해수욕장,2021-02-07,13,제주시
김녕해수욕장,2021-02-08,14,제주시
김녕해수욕장,2021-02-09,14,제주시
김녕해수욕장,2021-02-10,17,제주시
김녕해수욕장,2021-02-11,20,제주시
김녕해수욕장,2021-02-12,13,제주시
김녕해수욕장,2021-02-13,7,제주시
김녕해수욕장,2021-02-14,12,제주시
