관광지,날짜,버즈량,위치
브릭캠퍼스제주,2021-01-01,9,제주시
브릭캠퍼스제주,2021-01-02,10,제주시
브릭캠퍼스제주,2021-01-03,18,제주시
브릭캠퍼스제주,2021-01-04,16,제주시
브릭캠퍼스제주,2021-01-05,15,제주시
브릭캠퍼스제주,2021-01-06,16,제주시
브릭캠퍼스제주,2021-01-07,13,제주시
브릭캠퍼스제주,2021-01-08,14,제주시
브릭캠퍼스제주,2021-01-09,3,제주시
브릭캠퍼스제주,2021-01-10,16,제주시
브릭캠퍼스제주,2021-01-11,15,제주시
브릭캠퍼스제주,2021-01-12,16,제주시
브릭캠퍼스제주,2021-01-13,13,제주시
브릭캠퍼스제주,2021-01-14,17,제주시
브릭캠퍼스제주,2021-01-15,12,제주시
브릭캠퍼스제주,2021-01-16,2,제주시
브릭캠퍼스제주,2021-01-17,15,제주시
브릭캠퍼스제주,2021-01-18,16,제주시
브릭캠퍼스제주,2021-01-19,12,제주시
브릭캠퍼스제주,2021-01-20,11,제주시
브릭캠퍼스제주,2021-01-21,1,제주시
브릭캠퍼스제주,2021-01-22,2,제주시
브릭캠퍼스제주,2021-01-23,0,제주시
브릭캠퍼스제주,2021-01-24,5,제주시
브릭캠퍼스제주,2021-01-25,1,제주시
브릭캠퍼스제주,2021-01-26,4,제주시
브릭캠퍼스제주,2021-01-27,1,제주시
브릭캠퍼스제주,2021-01-28,0,제주시
브릭캠퍼스제주,2021-01-29,1,제주시
브릭캠퍼스제주,2021-01-30,1,제주시
브릭캠퍼스제주,2021-01-31,0,제주시
브릭캠퍼스제주,2021-02-01,1,제주시
브릭캠퍼스제주,2021-02-02,9,제주시
브릭캠퍼스제주,2021-02-03,11,제주시
브릭캠퍼스제주,2021-02-04,3,제주시
브릭캠퍼스제주,2021-02-05,2,제주시
브릭캠퍼스제주,2021-02-06,0,제주시
브릭캠퍼스제주,2021-02-07,1,제주시
브릭캠퍼스제주,2021-02-08,1,제주시
브릭캠퍼스제주,2021-02-09,1,제주시
브릭캠퍼스제주,2021-02-10,2,제주시
브릭캠퍼스제주,2021-02-11,4,제주시
브릭캠퍼스제주,2021-02-12,0,제주시
브릭캠퍼스제주,2021-02-13,2,제주시
브릭캠퍼스제주,2021-02-14,0,제주시
브릭캠퍼스제주,2021-02-15,2,제주시
브릭캠퍼스제주,2021-02-16,1,제주시
