관광지,날짜,버즈량,위치
산굼부리,2021-01-01,25,제주시
산굼부리,2021-01-02,29,제주시
산굼부리,2021-01-03,18,제주시
산굼부리,2021-01-04,26,제주시
산굼부리,2021-01-05,26,제주시
산굼부리,2021-01-06,17,제주시
산굼부리,2021-01-07,21,제주시
산굼부리,2021-01-08,8,제주시
산굼부리,2021-01-09,13,제주시
산굼부리,2021-01-10,11,제주시
산굼부리,2021-01-11,17,제주시
산굼부리,2021-01-12,11,제주시
산굼부리,2021-01-13,17,제주시
산굼부리,2021-01-14,14,제주시
산굼부리,2021-01-15,5,제주시
산굼부리,2021-01-16,8,제주시
산굼부리,2021-01-17,6,제주시
산굼부리,2021-01-18,10,제주시
산굼부리,2021-01-19,8,제주시
산굼부리,2021-01-20,7,제주시
산굼부리,2021-01-21,8,제주시
산굼부리,2021-01-22,13,제주시
산굼부리,2021-01-23,4,제주시
산굼부리,2021-01-24,10,제주시
산굼부리,2021-01-25,6,제주시
산굼부리,2021-01-26,11,제주시
산굼부리,2021-01-27,9,제주시
산굼부리,2021-01-28,11,제주시
산굼부리,2021-01-29,5,제주시
산굼부리,2021-01-30,12,제주시
산굼부리,2021-01-31,12,제주시
산굼부리,2021-02-01,8,제주시
산굼부리,2021-02-02,11,제주시
산굼부리,2021-02-03,9,제주시
산굼부리,2021-02-04,8,제주시
산굼부리,2021-02-05,16,제주시
산굼부리,2021-02-06,11,제주시
산굼부리,2021-02-07,7,제주시
산굼부리,2021-02-08,11,제주시
산굼부리,2021-02-09,12,제주시
산굼부리,2021-02-10,5,제주시
산굼부리,2021-02-11,11,제주시
산굼부리,2021-02-12,7,제주시
산굼부리,2021-02-13,8,제주시
산굼부리,2021-02-14,5,제주시
산굼부리,2021-02-15,15,제주시
산굼부리,2021-02-16,14,제주시
산굼부리,2021-02-17,10,제주시
산굼부리,2021-02-18,16,제주시
산굼부리,2021-02-19,10,제주시
산굼부리,2021-02-20,4,제주시
산굼부리,2021-02-21,6,제주시
산굼부리,2021-02-22,10,제주시
산굼부리,2021-02-23,12,제주시
산굼부리,2021-02-24,7,제주시
산굼부리,2021-02-25,8,제주시
산굼부리,2021-02-26,15,제주시
산굼부리,2021-02-27,6,제주시
산굼부리,2021-02-28,3,제주시
산굼부리,2021-03-01,18,제주시
산굼부리,2021-03-02,19,제주시
산굼부리,2021-03-03,11,제주시
산굼부리,2021-03-04,10,제주시
산굼부리,2021-03-05,6,제주시
산굼부리,2021-03-06,8,제주시
산굼부리,2021-03-07,9,제주시
산굼부리,2021-03-08,8,제주시
산굼부리,2021-03-09,7,제주시
산굼부리,2021-03-10,11,제주시
산굼부리,2021-03-11,6,제주시
산굼부리,2021-03-12,15,제주시
산굼부리,2021-03-13,9,제주시
산굼부리,2021-03-14,10,제주시
산굼부리,2021-03-15,9,제주시
산굼부리,2021-03-16,6,제주시
산굼부리,2021-03-17,12,제주시
산굼부리,2021-03-18,18,제주시
산굼부리,2021-03-19,42,제주시
산굼부리,2021-03-20,13,제주시
산굼부리,2021-03-21,26,제주시
산굼부리,2021-03-22,26,제주시
산굼부리,2021-03-23,20,제주시
