관광지,날짜,버즈량,위치
성산일출봉,2021-01-01,209,서귀포시
성산일출봉,2021-01-02,170,서귀포시
성산일출봉,2021-01-03,156,서귀포시
성산일출봉,2021-01-04,150,서귀포시
성산일출봉,2021-01-05,137,서귀포시
성산일출봉,2021-01-06,145,서귀포시
성산일출봉,2021-01-07,115,서귀포시
성산일출봉,2021-01-08,141,서귀포시
성산일출봉,2021-01-09,132,서귀포시
성산일출봉,2021-01-10,119,서귀포시
성산일출봉,2021-01-11,145,서귀포시
성산일출봉,2021-01-12,166,서귀포시
성산일출봉,2021-01-13,131,서귀포시
성산일출봉,2021-01-14,135,서귀포시
성산일출봉,2021-01-15,115,서귀포시
성산일출봉,2021-01-16,102,서귀포시
성산일출봉,2021-01-17,107,서귀포시
성산일출봉,2021-01-18,142,서귀포시
성산일출봉,2021-01-19,111,서귀포시
성산일출봉,2021-01-20,141,서귀포시
성산일출봉,2021-01-21,124,서귀포시
성산일출봉,2021-01-22,125,서귀포시
성산일출봉,2021-01-23,101,서귀포시
성산일출봉,2021-01-24,104,서귀포시
성산일출봉,2021-01-25,144,서귀포시
성산일출봉,2021-01-26,110,서귀포시
성산일출봉,2021-01-27,119,서귀포시
성산일출봉,2021-01-28,159,서귀포시
성산일출봉,2021-01-29,115,서귀포시
성산일출봉,2021-01-30,107,서귀포시
성산일출봉,2021-01-31,115,서귀포시
성산일출봉,2021-02-01,129,서귀포시
성산일출봉,2021-02-02,154,서귀포시
성산일출봉,2021-02-03,162,서귀포시
성산일출봉,2021-02-04,149,서귀포시
성산일출봉,2021-02-05,142,서귀포시
성산일출봉,2021-02-06,139,서귀포시
성산일출봉,2021-02-07,125,서귀포시
성산일출봉,2021-02-08,131,서귀포시
성산일출봉,2021-02-09,139,서귀포시
성산일출봉,2021-02-10,135,서귀포시
성산일출봉,2021-02-11,141,서귀포시
성산일출봉,2021-02-12,86,서귀포시
성산일출봉,2021-02-13,113,서귀포시
성산일출봉,2021-02-14,115,서귀포시
성산일출봉,2021-02-15,165,서귀포시
성산일출봉,2021-02-16,141,서귀포시
성산일출봉,2021-02-17,141,서귀포시
성산일출봉,2021-02-18,141,서귀포시
성산일출봉,2021-02-19,129,서귀포시
성산일출봉,2021-02-20,113,서귀포시
성산일출봉,2021-02-21,120,서귀포시
성산일출봉,2021-02-22,170,서귀포시
성산일출봉,2021-02-23,144,서귀포시
성산일출봉,2021-02-24,143,서귀포시
성산일출봉,2021-02-25,157,서귀포시
성산일출봉,2021-02-26,147,서귀포시
성산일출봉,2021-02-27,131,서귀포시
성산일출봉,2021-02-28,158,서귀포시
성산일출봉,2021-03-01,149,서귀포시
성산일출봉,2021-03-02,175,서귀포시
성산일출봉,2021-03-03,202,서귀포시
성산일출봉,2021-03-04,199,서귀포시
성산일출봉,2021-03-05,160,서귀포시
성산일출봉,2021-03-06,148,서귀포시
성산일출봉,2021-03-07,131,서귀포시
성산일출봉,2021-03-08,161,서귀포시
성산일출봉,2021-03-09,148,서귀포시
성산일출봉,2021-03-10,168,서귀포시
성산일출봉,2021-03-11,185,서귀포시
성산일출봉,2021-03-12,146,서귀포시
성산일출봉,2021-03-13,121,서귀포시
성산일출봉,2021-03-14,117,서귀포시
성산일출봉,2021-03-15,157,서귀포시
성산일출봉,2021-03-16,186,서귀포시
성산일출봉,2021-03-17,186,서귀포시
성산일출봉,2021-03-18,219,서귀포시
성산일출봉,2021-03-19,250,서귀포시
성산일출봉,2021-03-20,149,서귀포시
성산일출봉,2021-03-21,196,서귀포시
성산일출봉,2021-03-22,214,서귀포시
성산일출봉,2021-03-23,190,서귀포시
성산일출봉,2021-03-24,218,서귀포시
성산일출봉,2021-03-25,221,서귀포시
성산일출봉,2021-03-26,176,서귀포시
성산일출봉,2021-03-27,162,서귀포시
성산일출봉,2021-03-28,128,서귀포시
성산일출봉,2021-03-29,174,서귀포시
성산일출봉,2021-03-30,152,서귀포시
성산일출봉,2021-03-31,150,서귀포시
성산일출봉,2021-04-01,162,서귀포시
성산일출봉,2021-04-02,143,서귀포시
성산일출봉,2021-04-03,129,서귀포시
성산일출봉,2021-04-04,120,서귀포시
성산일출봉,2021-04-05,156,서귀포시
성산일출봉,2021-04-06,173,서귀포시
성산일출봉,2021-04-07,262,서귀포시
성산일출봉,2021-04-08,204,서귀포시
성산일출봉,2021-04-09,190,서귀포시
