관광지,날짜,버즈량,위치
아쿠아플라넷제주,2021-01-01,6,서귀포시
아쿠아플라넷제주,2021-01-02,6,서귀포시
아쿠아플라넷제주,2021-01-03,7,서귀포시
아쿠아플라넷제주,2021-01-04,8,서귀포시
아쿠아플라넷제주,2021-01-05,9,서귀포시
아쿠아플라넷제주,2021-01-06,8,서귀포시
아쿠아플라넷제주,2021-01-07,6,서귀포시
아쿠아플라넷제주,2021-01-08,4,서귀포시
아쿠아플라넷제주,2021-01-09,6,서귀포시
아쿠아플라넷제주,2021-01-10,12,서귀포시
아쿠아플라넷제주,2021-01-11,6,서귀포시
아쿠아플라넷제주,2021-01-12,3,서귀포시
아쿠아플라넷제주,2021-01-13,7,서귀포시
아쿠아플라넷제주,2021-01-14,2,서귀포시
아쿠아플라넷제주,2021-01-15,3,서귀포시
아쿠아플라넷제주,2021-01-16,1,서귀포시
아쿠아플라넷제주,2021-01-17,9,서귀포시
아쿠아플라넷제주,2021-01-18,4,서귀포시
아쿠아플라넷제주,2021-01-19,9,서귀포시
아쿠아플라넷제주,2021-01-20,4,서귀포시
아쿠아플라넷제주,2021-01-21,4,서귀포시
아쿠아플라넷제주,2021-01-22,2,서귀포시
아쿠아플라넷제주,2021-01-23,4,서귀포시
아쿠아플라넷제주,2021-01-24,4,서귀포시
아쿠아플라넷제주,2021-01-25,7,서귀포시
아쿠아플라넷제주,2021-01-26,8,서귀포시
아쿠아플라넷제주,2021-01-27,3,서귀포시
아쿠아플라넷제주,2021-01-28,3,서귀포시
아쿠아플라넷제주,2021-01-29,6,서귀포시
아쿠아플라넷제주,2021-01-30,2,서귀포시
아쿠아플라넷제주,2021-01-31,3,서귀포시
아쿠아플라넷제주,2021-02-01,3,서귀포시
아쿠아플라넷제주,2021-02-02,4,서귀포시
아쿠아플라넷제주,2021-02-03,6,서귀포시
아쿠아플라넷제주,2021-02-04,3,서귀포시
아쿠아플라넷제주,2021-02-05,6,서귀포시
아쿠아플라넷제주,2021-02-06,10,서귀포시
아쿠아플라넷제주,2021-02-07,3,서귀포시
아쿠아플라넷제주,2021-02-08,3,서귀포시
아쿠아플라넷제주,2021-02-09,5,서귀포시
아쿠아플라넷제주,2021-02-10,1,서귀포시
