관광지,날짜,버즈량,위치
월정리해변,2021-01-01,17,제주시
월정리해변,2021-01-02,31,제주시
월정리해변,2021-01-03,34,제주시
월정리해변,2021-01-04,35,제주시
월정리해변,2021-01-05,23,제주시
월정리해변,2021-01-06,18,제주시
월정리해변,2021-01-07,30,제주시
월정리해변,2021-01-08,16,제주시
월정리해변,2021-01-09,23,제주시
월정리해변,2021-01-10,17,제주시
월정리해변,2021-01-11,32,제주시
월정리해변,2021-01-12,27,제주시
월정리해변,2021-01-13,21,제주시
월정리해변,2021-01-14,22,제주시
월정리해변,2021-01-15,59,제주시
월정리해변,2021-01-16,13,제주시
월정리해변,2021-01-17,21,제주시
월정리해변,2021-01-18,35,제주시
월정리해변,2021-01-19,21,제주시
월정리해변,2021-01-20,25,제주시
월정리해변,2021-01-21,21,제주시
월정리해변,2021-01-22,17,제주시
월정리해변,2021-01-23,24,제주시
월정리해변,2021-01-24,26,제주시
월정리해변,2021-01-25,28,제주시
월정리해변,2021-01-26,26,제주시
월정리해변,2021-01-27,25,제주시
월정리해변,2021-01-28,27,제주시
월정리해변,2021-01-29,21,제주시
월정리해변,2021-01-30,17,제주시
월정리해변,2021-01-31,20,제주시
월정리해변,2021-02-01,35,제주시
월정리해변,2021-02-02,30,제주시
월정리해변,2021-02-03,34,제주시
월정리해변,2021-02-04,28,제주시
월정리해변,2021-02-05,24,제주시
월정리해변,2021-02-06,20,제주시
월정리해변,2021-02-07,18,제주시
월정리해변,2021-02-08,27,제주시
월정리해변,2021-02-09,31,제주시
월정리해변,2021-02-10,28,제주시
월정리해변,2021-02-11,28,제주시
월정리해변,2021-02-12,25,제주시
월정리해변,2021-02-13,21,제주시
월정리해변,2021-02-14,18,제주시
월정리해변,2021-02-15,39,제주시
월정리해변,2021-02-16,38,제주시
월정리해변,2021-02-17,33,제주시
월정리해변,2021-02-18,24,제주시
월정리해변,2021-02-19,30,제주시
월정리해변,2021-02-20,18,제주시
월정리해변,2021-02-21,19,제주시
월정리해변,2021-02-22,35,제주시
월정리해변,2021-02-23,29,제주시
월정리해변,2021-02-24,28,제주시
월정리해변,2021-02-25,26,제주시
월정리해변,2021-02-26,27,제주시
월정리해변,2021-02-27,18,제주시
월정리해변,2021-02-28,24,제주시
월정리해변,2021-03-01,16,제주시
월정리해변,2021-03-02,24,제주시
월정리해변,2021-03-03,23,제주시
월정리해변,2021-03-04,24,제주시
월정리해변,2021-03-05,26,제주시
월정리해변,2021-03-06,22,제주시
월정리해변,2021-03-07,23,제주시
월정리해변,2021-03-08,37,제주시
월정리해변,2021-03-09,31,제주시
월정리해변,2021-03-10,36,제주시
