관광지,날짜,버즈량,위치
이호테우해변,2021-01-01,22,제주시
이호테우해변,2021-01-02,33,제주시
이호테우해변,2021-01-03,30,제주시
이호테우해변,2021-01-04,37,제주시
이호테우해변,2021-01-05,41,제주시
이호테우해변,2021-01-06,39,제주시
이호테우해변,2021-01-07,39,제주시
이호테우해변,2021-01-08,34,제주시
이호테우해변,2021-01-09,24,제주시
이호테우해변,2021-01-10,38,제주시
이호테우해변,2021-01-11,37,제주시
이호테우해변,2021-01-12,35,제주시
이호테우해변,2021-01-13,32,제주시
이호테우해변,2021-01-14,31,제주시
이호테우해변,2021-01-15,35,제주시
이호테우해변,2021-01-16,18,제주시
이호테우해변,2021-01-17,27,제주시
이호테우해변,2021-01-18,31,제주시
이호테우해변,2021-01-19,29,제주시
이호테우해변,2021-01-20,23,제주시
이호테우해변,2021-01-21,28,제주시
이호테우해변,2021-01-22,23,제주시
이호테우해변,2021-01-23,26,제주시
이호테우해변,2021-01-24,22,제주시
이호테우해변,2021-01-25,19,제주시
이호테우해변,2021-01-26,28,제주시
이호테우해변,2021-01-27,26,제주시
이호테우해변,2021-01-28,30,제주시
이호테우해변,2021-01-29,14,제주시
이호테우해변,2021-01-30,14,제주시
이호테우해변,2021-01-31,29,제주시
이호테우해변,2021-02-01,14,제주시
이호테우해변,2021-02-02,29,제주시
이호테우해변,2021-02-03,24,제주시
이호테우해변,2021-02-04,30,제주시
이호테우해변,2021-02-05,25,제주시
이호테우해변,2021-02-06,15,제주시
이호테우해변,2021-02-07,29,제주시
이호테우해변,2021-02-08,30,제주시
이호테우해변,2021-02-09,29,제주시
이호테우해변,2021-02-10,29,제주시
이호테우해변,2021-02-11,18,제주시
이호테우해변,2021-02-12,18,제주시
이호테우해변,2021-02-13,19,제주시
이호테우해변,2021-02-14,22,제주시
이호테우해변,2021-02-15,32,제주시
이호테우해변,2021-02-16,26,제주시
이호테우해변,2021-02-17,38,제주시
이호테우해변,2021-02-18,32,제주시
이호테우해변,2021-02-19,31,제주시
이호테우해변,2021-02-20,36,제주시
이호테우해변,2021-02-21,27,제주시
이호테우해변,2021-02-22,31,제주시
이호테우해변,2021-02-23,32,제주시
