관광지,날짜,버즈량,위치
정방폭포,2021-01-01,22,서귀포시
정방폭포,2021-01-02,34,서귀포시
정방폭포,2021-01-03,19,서귀포시
정방폭포,2021-01-04,32,서귀포시
정방폭포,2021-01-05,32,서귀포시
정방폭포,2021-01-06,24,서귀포시
정방폭포,2021-01-07,31,서귀포시
정방폭포,2021-01-08,17,서귀포시
정방폭포,2021-01-09,18,서귀포시
정방폭포,2021-01-10,24,서귀포시
정방폭포,2021-01-11,26,서귀포시
정방폭포,2021-01-12,15,서귀포시
정방폭포,2021-01-13,26,서귀포시
정방폭포,2021-01-14,15,서귀포시
정방폭포,2021-01-15,17,서귀포시
정방폭포,2021-01-16,11,서귀포시
정방폭포,2021-01-17,18,서귀포시
정방폭포,2021-01-18,17,서귀포시
정방폭포,2021-01-19,16,서귀포시
정방폭포,2021-01-20,17,서귀포시
정방폭포,2021-01-21,16,서귀포시
정방폭포,2021-01-22,17,서귀포시
정방폭포,2021-01-23,10,서귀포시
정방폭포,2021-01-24,16,서귀포시
정방폭포,2021-01-25,25,서귀포시
정방폭포,2021-01-26,13,서귀포시
정방폭포,2021-01-27,21,서귀포시
정방폭포,2021-01-28,14,서귀포시
정방폭포,2021-01-29,10,서귀포시
정방폭포,2021-01-30,11,서귀포시
정방폭포,2021-01-31,10,서귀포시
정방폭포,2021-02-01,18,서귀포시
정방폭포,2021-02-02,25,서귀포시
정방폭포,2021-02-03,25,서귀포시
정방폭포,2021-02-04,15,서귀포시
정방폭포,2021-02-05,23,서귀포시
정방폭포,2021-02-06,18,서귀포시
정방폭포,2021-02-07,22,서귀포시
정방폭포,2021-02-08,16,서귀포시
정방폭포,2021-02-09,17,서귀포시
정방폭포,2021-02-10,14,서귀포시
정방폭포,2021-02-11,21,서귀포시
정방폭포,2021-02-12,14,서귀포시
정방폭포,2021-02-13,23,서귀포시
정방폭포,2021-02-14,25,서귀포시
정방폭포,2021-02-15,23,서귀포시
정방폭포,2021-02-16,17,서귀포시
정방폭포,2021-02-17,20,서귀포시
정방폭포,2021-02-18,28,서귀포시
정방폭포,2021-02-19,21,서귀포시
정방폭포,2021-02-20,13,서귀포시
정방폭포,2021-02-21,14,서귀포시
정방폭포,2021-02-22,20,서귀포시
