관광지,날짜,버즈량,위치
제주민속자연사박물관,2021-01-01,3,제주시
제주민속자연사박물관,2021-01-02,2,제주시
제주민속자연사박물관,2021-01-03,4,제주시
제주민속자연사박물관,2021-01-04,1,제주시
제주민속자연사박물관,2021-01-05,0,제주시
제주민속자연사박물관,2021-01-06,3,제주시
제주민속자연사박물관,2021-01-07,3,제주시
제주민속자연사박물관,2021-01-08,4,제주시
제주민속자연사박물관,2021-01-09,3,제주시
제주민속자연사박물관,2021-01-10,3,제주시
제주민속자연사박물관,2021-01-11,3,제주시
제주민속자연사박물관,2021-01-12,4,제주시
제주민속자연사박물관,2021-01-13,2,제주시
제주민속자연사박물관,2021-01-14,1,제주시
제주민속자연사박물관,2021-01-15,4,제주시
제주민속자연사박물관,2021-01-16,1,제주시
제주민속자연사박물관,2021-01-17,1,제주시
제주민속자연사박물관,2021-01-18,1,제주시
제주민속자연사박물관,2021-01-19,1,제주시
제주민속자연사박물관,2021-01-20,1,제주시
제주민속자연사박물관,2021-01-21,1,제주시
제주민속자연사박물관,2021-01-22,3,제주시
제주민속자연사박물관,2021-01-23,2,제주시
제주민속자연사박물관,2021-01-24,2,제주시
제주민속자연사박물관,2021-01-25,3,제주시
제주민속자연사박물관,2021-01-26,5,제주시
제주민속자연사박물관,2021-01-27,4,제주시
제주민속자연사박물관,2021-01-28,4,제주시
제주민속자연사박물관,2021-01-29,3,제주시
제주민속자연사박물관,2021-01-30,0,제주시
제주민속자연사박물관,2021-01-31,1,제주시
제주민속자연사박물관,2021-02-01,2,제주시
제주민속자연사박물관,2021-02-02,0,제주시
제주민속자연사박물관,2021-02-03,3,제주시
제주민속자연사박물관,2021-02-04,2,제주시
제주민속자연사박물관,2021-02-05,10,제주시
제주민속자연사박물관,2021-02-06,3,제주시
제주민속자연사박물관,2021-02-07,3,제주시
제주민속자연사박물관,2021-02-08,3,제주시
제주민속자연사박물관,2021-02-09,3,제주시
제주민속자연사박물관,2021-02-10,5,제주시
제주민속자연사박물관,2021-02-11,2,제주시
제주민속자연사박물관,2021-02-12,2,제주시
제주민속자연사박물관,2021-02-13,1,제주시
제주민속자연사박물관,2021-02-14,2,제주시
제주민속자연사박물관,2021-02-15,4,제주시
제주민속자연사박물관,2021-02-16,3,제주시
제주민속자연사박물관,2021-02-17,2,제주시
제주민속자연사박물관,2021-02-18,0,제주시
