관광지,날짜,버즈량,위치
황우지해안,2021-01-01,7,서귀포시
황우지해안,2021-01-02,5,서귀포시
황우지해안,2021-01-03,7,서귀포시
황우지해안,2021-01-04,4,서귀포시
황우지해안,2021-01-05,8,서귀포시
황우지해안,2021-01-06,9,서귀포시
황우지해안,2021-01-07,7,서귀포시
황우지해안,2021-01-08,5,서귀포시
황우지해안,2021-01-09,3,서귀포시
황우지해안,2021-01-10,5,서귀포시
황우지해안,2021-01-11,2,서귀포시
황우지해안,2021-01-12,5,서귀포시
황우지해안,2021-01-13,3,서귀포시
황우지해안,2021-01-14,9,서귀포시
황우지해안,2021-01-15,2,서귀포시
황우지해안,2021-01-16,6,서귀포시
황우지해안,2021-01-17,6,서귀포시
황우지해안,2021-01-18,2,서귀포시
황우지해안,2021-01-19,4,서귀포시
황우지해안,2021-01-20,7,서귀포시
황우지해안,2021-01-21,8,서귀포시
황우지해안,2021-01-22,5,서귀포시
황우지해안,2021-01-23,6,서귀포시
황우지해안,2021-01-24,4,서귀포시
황우지해안,2021-01-25,7,서귀포시
황우지해안,2021-01-26,1,서귀포시
황우지해안,2021-01-27,2,서귀포시
황우지해안,2021-01-28,8,서귀포시
황우지해안,2021-01-29,4,서귀포시
황우지해안,2021-01-30,4,서귀포시
황우지해안,2021-01-31,6,서귀포시
황우지해안,2021-02-01,5,서귀포시
황우지해안,2021-02-02,9,서귀포시
황우지해안,2021-02-03,8,서귀포시
황우지해안,2021-02-04,6,서귀포시
황우지해안,2021-02-05,8,서귀포시
황우지해안,2021-02-06,8,서귀포시
황우지해안,2021-02-07,3,서귀포시
황우지해안,2021-02-08,2,서귀포시
황우지해안,2021-02-09,5,서귀포시
황우지해안,2021-02-10,6,서귀포시
황우지해안,2021-02-11,6,서귀포시
황우지해안,2021-02-12,3,서귀포시
황우지해안,2021-02-13,4,서귀포시
황우지해안,2021-02-14,7,서귀포시
황우지해안,2021-02-15,7,서귀포시
황우지해안,2021-02-16,5,서귀포시
황우지해안,2021-02-17,3,서귀포시
황우지해안,2021-02-18,9,서귀포시
황우지해안,2021-02-19,5,서귀포시
황우지해안,2021-02-20,3,서귀포시
황우지해안,2021-02-21,2,서귀포시
황우지해안,2021-02-22,7,서귀포시
황우지해안,2021-02-23,9,서귀포시
황우지해안,2021-02-24,9,서귀포시
황우지해안,2021-02-25,8,서귀포시
황우지해안,2021-02-26,10,서귀포시
황우지해안,2021-02-27,6,서귀포시
황우지해안,2021-02-28,5,서귀포시
황우지해안,2021-03-01,3,서귀포시
황우지해안,2021-03-02,6,서귀포시
황우지해안,2021-03-03,5,서귀포시
황우지해안,2021-03-04,6,서귀포시
황우지해안,2021-03-05,0,서귀포시
황우지해안,2021-03-06,4,서귀포시
황우지해안,2021-03-07,6,서귀포시
황우지해안,2021-03-08,5,서귀포시
황우지해안,2021-03-09,4,서귀포시
황우지해안,2021-03-10,4,서귀포시
황우지해안,2021-03-11,11,서귀포시
황우지해안,2021-03-12,6,서귀포시
황우지해안,2021-03-13,3,서귀포시
황우지해안,2021-03-14,5,서귀포시
황우지해안,2021-03-15,8,서귀포시
황우지해안,2021-03-16,9,서귀포시
황우지해안,2021-03-17,6,서귀포시
황우지해안,2021-03-18,13,서귀포시
황우지해안,2021-03-19,30,서귀포시
황우지해안,2021-03-20,14,서귀포시
황우지해안,2021-03-21,14,서귀포시
황우지해안,2021-03-22,15,서귀포시
황우지해안,2021-03-23,16,서귀포시
황우지해안,2021-03-24,23,서귀포시
황우지해안,2021-03-25,19,서귀포시
황우지해안,2021-03-26,16,서귀포시
황우지해안,2021-03-27,9,서귀포시
황우지해안,2021-03-28,7,서귀포시
황우지해안,2021-03-29,8,서귀포시
황우지해안,2021-03-30,8,서귀포시
황우지해안,2021-03-31,5,서귀포시
황우지해안,2021-04-01,5,서귀포시
