기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,강원도,현지인방문자(a),2.92021044E8,2.99117161E8
2019,강원도,외지인방문자(b),1.43757912E8,1.33465633E8
2019,강원도,외국인방문자(c),1854111.0,1754100.0
2019,강원도,외부방문자(b+c),1.45612023E8,1.35219733E8
2019,강원도,전체방문자(a+b+c),4.37633067E8,4.34336894E8
2020,강원도,현지인방문자(a),3.17416442E8,2.92021044E8
2020,강원도,외지인방문자(b),1.31065291E8,1.43757912E8
2020,강원도,외국인방문자(c),231218.0,1854111.0
2020,강원도,외부방문자(b+c),1.31296509E8,1.45612023E8
2020,강원도,전체방문자(a+b+c),4.48712951E8,4.37633067E8
2021,강원도,현지인방문자(a),3.52056005E8,3.17416442E8
2021,강원도,외지인방문자(b),1.30221676E8,1.31065291E8
2021,강원도,외국인방문자(c),99569.0,231218.0
2021,강원도,외부방문자(b+c),1.30321244E8,1.31296509E8
2021,강원도,전체방문자(a+b+c),4.82377249E8,4.48712951E8
