기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,경기도,현지인방문자(a),1.844056179E9,1.85925307E9
2019,경기도,외지인방문자(b),6.55389497E8,5.84520363E8
2019,경기도,외국인방문자(c),9359910.0,6739081.0
2019,경기도,외부방문자(b+c),6.64749407E8,5.91259444E8
2019,경기도,전체방문자(a+b+c),2.508805586E9,2.450512514E9
2020,경기도,현지인방문자(a),2.003733739E9,1.844056179E9
2020,경기도,외지인방문자(b),5.48938292E8,6.55389497E8
2020,경기도,외국인방문자(c),1825080.0,9359910.0
2020,경기도,외부방문자(b+c),5.50763372E8,6.64749407E8
2020,경기도,전체방문자(a+b+c),2.554497111E9,2.508805586E9
2021,경기도,현지인방문자(a),2.138567102E9,2.003733739E9
2021,경기도,외지인방문자(b),5.50778084E8,5.48938292E8
2021,경기도,외국인방문자(c),1753205.0,1825080.0
2021,경기도,외부방문자(b+c),5.5253129E8,5.50763372E8
2021,경기도,전체방문자(a+b+c),2.691098392E9,2.554497111E9
