기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,경상남도,현지인방문자(a),5.18211897E8,5.12063114E8
2019,경상남도,외지인방문자(b),1.51265289E8,1.46715002E8
2019,경상남도,외국인방문자(c),2199427.0,1606063.0
2019,경상남도,외부방문자(b+c),1.53464716E8,1.48321065E8
2019,경상남도,전체방문자(a+b+c),6.71676613E8,6.6038418E8
2020,경상남도,현지인방문자(a),5.34506987E8,5.18211897E8
2020,경상남도,외지인방문자(b),1.39194072E8,1.51265289E8
2020,경상남도,외국인방문자(c),439516.0,2199427.0
2020,경상남도,외부방문자(b+c),1.39633588E8,1.53464716E8
2020,경상남도,전체방문자(a+b+c),6.74140575E8,6.71676613E8
2021,경상남도,현지인방문자(a),5.50967442E8,5.34506987E8
2021,경상남도,외지인방문자(b),1.40211858E8,1.39194072E8
2021,경상남도,외국인방문자(c),573636.0,439516.0
2021,경상남도,외부방문자(b+c),1.40785495E8,1.39633588E8
2021,경상남도,전체방문자(a+b+c),6.91752936E8,6.74140575E8
