기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,경상북도,현지인방문자(a),4.68310745E8,4.57441698E8
2019,경상북도,외지인방문자(b),1.72036882E8,1.6569322E8
2019,경상북도,외국인방문자(c),1700946.0,1277589.0
2019,경상북도,외부방문자(b+c),1.73737828E8,1.66970809E8
2019,경상북도,전체방문자(a+b+c),6.42048573E8,6.24412507E8
2020,경상북도,현지인방문자(a),4.6194232E8,4.68310745E8
2020,경상북도,외지인방문자(b),1.52541333E8,1.72036882E8
2020,경상북도,외국인방문자(c),316878.0,1700946.0
2020,경상북도,외부방문자(b+c),1.52858211E8,1.73737828E8
2020,경상북도,전체방문자(a+b+c),6.14800531E8,6.42048573E8
2021,경상북도,현지인방문자(a),4.92087715E8,4.6194232E8
2021,경상북도,외지인방문자(b),1.61251041E8,1.52541333E8
2021,경상북도,외국인방문자(c),339297.0,316878.0
2021,경상북도,외부방문자(b+c),1.61590338E8,1.52858211E8
2021,경상북도,전체방문자(a+b+c),6.53678053E8,6.14800531E8
