기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,광주광역시,현지인방문자(a),2.55828195E8,2.59072118E8
2019,광주광역시,외지인방문자(b),6.5535267E7,6.3518182E7
2019,광주광역시,외국인방문자(c),503517.0,319125.0
2019,광주광역시,외부방문자(b+c),6.6038784E7,6.3837307E7
2019,광주광역시,전체방문자(a+b+c),3.21866979E8,3.22909424E8
2020,광주광역시,현지인방문자(a),2.35517016E8,2.55828195E8
2020,광주광역시,외지인방문자(b),5.6610108E7,6.5535267E7
2020,광주광역시,외국인방문자(c),79542.0,503517.0
2020,광주광역시,외부방문자(b+c),5.668965E7,6.6038784E7
2020,광주광역시,전체방문자(a+b+c),2.92206666E8,3.21866979E8
2021,광주광역시,현지인방문자(a),2.79719394E8,2.35517016E8
2021,광주광역시,외지인방문자(b),5.6231056E7,5.6610108E7
2021,광주광역시,외국인방문자(c),89417.0,79542.0
2021,광주광역시,외부방문자(b+c),5.6320473E7,5.668965E7
2021,광주광역시,전체방문자(a+b+c),3.36039868E8,2.92206666E8
