기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,대구광역시,현지인방문자(a),4.20170975E8,4.11533472E8
2019,대구광역시,외지인방문자(b),1.0650284E8,1.04424348E8
2019,대구광역시,외국인방문자(c),984702.0,692762.0
2019,대구광역시,외부방문자(b+c),1.07487542E8,1.0511711E8
2019,대구광역시,전체방문자(a+b+c),5.27658517E8,5.16650582E8
2020,대구광역시,현지인방문자(a),3.98842112E8,4.20170975E8
2020,대구광역시,외지인방문자(b),8.6201112E7,1.0650284E8
2020,대구광역시,외국인방문자(c),137784.0,984702.0
2020,대구광역시,외부방문자(b+c),8.6338895E7,1.07487542E8
2020,대구광역시,전체방문자(a+b+c),4.85181007E8,5.27658517E8
2021,대구광역시,현지인방문자(a),4.18796238E8,3.98842112E8
2021,대구광역시,외지인방문자(b),8.7651389E7,8.6201112E7
2021,대구광역시,외국인방문자(c),130204.0,137784.0
2021,대구광역시,외부방문자(b+c),8.7781593E7,8.6338895E7
2021,대구광역시,전체방문자(a+b+c),5.06577831E8,4.85181007E8
