기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,대전광역시,현지인방문자(a),2.54808953E8,2.52803453E8
2019,대전광역시,외지인방문자(b),8.3144173E7,8.2200738E7
2019,대전광역시,외국인방문자(c),483927.0,385112.0
2019,대전광역시,외부방문자(b+c),8.36281E7,8.258585E7
2019,대전광역시,전체방문자(a+b+c),3.38437053E8,3.35389303E8
2020,대전광역시,현지인방문자(a),2.45623948E8,2.54808953E8
2020,대전광역시,외지인방문자(b),6.9473159E7,8.3144173E7
2020,대전광역시,외국인방문자(c),84094.0,483927.0
2020,대전광역시,외부방문자(b+c),6.9557253E7,8.36281E7
2020,대전광역시,전체방문자(a+b+c),3.15181202E8,3.38437053E8
2021,대전광역시,현지인방문자(a),2.52083083E8,2.45623948E8
2021,대전광역시,외지인방문자(b),6.9111136E7,6.9473159E7
2021,대전광역시,외국인방문자(c),78065.0,84094.0
2021,대전광역시,외부방문자(b+c),6.9189201E7,6.9557253E7
2021,대전광역시,전체방문자(a+b+c),3.21272284E8,3.15181202E8
