기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,부산광역시,현지인방문자(a),4.72292712E8,4.6508756E8
2019,부산광역시,외지인방문자(b),1.49672134E8,1.457176E8
2019,부산광역시,외국인방문자(c),5284413.0,3910899.0
2019,부산광역시,외부방문자(b+c),1.54956548E8,1.49628499E8
2019,부산광역시,전체방문자(a+b+c),6.2724926E8,6.14716059E8
2020,부산광역시,현지인방문자(a),4.7852601E8,4.72292712E8
2020,부산광역시,외지인방문자(b),1.24725884E8,1.49672134E8
2020,부산광역시,외국인방문자(c),630073.0,5284413.0
2020,부산광역시,외부방문자(b+c),1.25355958E8,1.54956548E8
2020,부산광역시,전체방문자(a+b+c),6.03881967E8,6.2724926E8
2021,부산광역시,현지인방문자(a),4.88715703E8,4.7852601E8
2021,부산광역시,외지인방문자(b),1.23660862E8,1.24725884E8
2021,부산광역시,외국인방문자(c),733104.0,630073.0
2021,부산광역시,외부방문자(b+c),1.24393966E8,1.25355958E8
2021,부산광역시,전체방문자(a+b+c),6.13109669E8,6.03881967E8
