기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,서울특별시,현지인방문자(a),1.490496458E9,1.599258546E9
2019,서울특별시,외지인방문자(b),6.48561588E8,5.85384894E8
2019,서울특별시,외국인방문자(c),2.767786E7,2.0897826E7
2019,서울특별시,외부방문자(b+c),6.76239448E8,6.0628272E8
2019,서울특별시,전체방문자(a+b+c),2.166735907E9,2.205541266E9
2020,서울특별시,현지인방문자(a),1.547166964E9,1.490496458E9
2020,서울특별시,외지인방문자(b),4.83312564E8,6.48561588E8
2020,서울특별시,외국인방문자(c),2751116.0,2.767786E7
2020,서울특별시,외부방문자(b+c),4.8606368E8,6.76239448E8
2020,서울특별시,전체방문자(a+b+c),2.033230644E9,2.166735907E9
2021,서울특별시,현지인방문자(a),1.600987154E9,1.547166964E9
2021,서울특별시,외지인방문자(b),4.85882474E8,4.83312564E8
2021,서울특별시,외국인방문자(c),1580921.0,2751116.0
2021,서울특별시,외부방문자(b+c),4.87463395E8,4.8606368E8
2021,서울특별시,전체방문자(a+b+c),2.088450549E9,2.033230644E9
