기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,세종특별자치시,현지인방문자(a),4.3174579E7,3.6295861E7
2019,세종특별자치시,외지인방문자(b),2.5170582E7,2.3021856E7
2019,세종특별자치시,외국인방문자(c),114821.0,87731.0
2019,세종특별자치시,외부방문자(b+c),2.5285404E7,2.3109587E7
2019,세종특별자치시,전체방문자(a+b+c),6.8459983E7,5.9405448E7
2020,세종특별자치시,현지인방문자(a),4.820367E7,4.3174579E7
2020,세종특별자치시,외지인방문자(b),2.392104E7,2.5170582E7
2020,세종특별자치시,외국인방문자(c),27348.0,114821.0
2020,세종특별자치시,외부방문자(b+c),2.3948388E7,2.5285404E7
2020,세종특별자치시,전체방문자(a+b+c),7.2152058E7,6.8459983E7
2021,세종특별자치시,현지인방문자(a),5.3594555E7,4.820367E7
2021,세종특별자치시,외지인방문자(b),2.539047E7,2.392104E7
2021,세종특별자치시,외국인방문자(c),22730.0,27348.0
2021,세종특별자치시,외부방문자(b+c),2.54132E7,2.3948388E7
2021,세종특별자치시,전체방문자(a+b+c),7.9007755E7,7.2152058E7
