기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,울산광역시,현지인방문자(a),1.75156478E8,1.73814375E8
2019,울산광역시,외지인방문자(b),4.779376E7,4.5732718E7
2019,울산광역시,외국인방문자(c),1068907.0,700503.0
2019,울산광역시,외부방문자(b+c),4.8862667E7,4.6433222E7
2019,울산광역시,전체방문자(a+b+c),2.24019145E8,2.20247597E8
2020,울산광역시,현지인방문자(a),1.75627718E8,1.75156478E8
2020,울산광역시,외지인방문자(b),4.3244282E7,4.779376E7
2020,울산광역시,외국인방문자(c),238535.0,1068907.0
2020,울산광역시,외부방문자(b+c),4.3482816E7,4.8862667E7
2020,울산광역시,전체방문자(a+b+c),2.19110534E8,2.24019145E8
2021,울산광역시,현지인방문자(a),1.76379035E8,1.75627718E8
2021,울산광역시,외지인방문자(b),4.2680078E7,4.3244282E7
2021,울산광역시,외국인방문자(c),354335.0,238535.0
2021,울산광역시,외부방문자(b+c),4.3034413E7,4.3482816E7
2021,울산광역시,전체방문자(a+b+c),2.19413448E8,2.19110534E8
