기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,인천광역시,현지인방문자(a),3.84857484E8,3.79400536E8
2019,인천광역시,외지인방문자(b),1.77054619E8,1.53429882E8
2019,인천광역시,외국인방문자(c),9006523.0,6120279.0
2019,인천광역시,외부방문자(b+c),1.86061142E8,1.59550161E8
2019,인천광역시,전체방문자(a+b+c),5.70918625E8,5.38950696E8
2020,인천광역시,현지인방문자(a),4.13559342E8,3.84857484E8
2020,인천광역시,외지인방문자(b),1.3596653E8,1.77054619E8
2020,인천광역시,외국인방문자(c),1339977.0,9006523.0
2020,인천광역시,외부방문자(b+c),1.37306507E8,1.86061142E8
2020,인천광역시,전체방문자(a+b+c),5.50865849E8,5.70918625E8
2021,인천광역시,현지인방문자(a),4.35720422E8,4.13559342E8
2021,인천광역시,외지인방문자(b),1.35519552E8,1.3596653E8
2021,인천광역시,외국인방문자(c),970180.0,1339977.0
2021,인천광역시,외부방문자(b+c),1.36489732E8,1.37306507E8
2021,인천광역시,전체방문자(a+b+c),5.72210153E8,5.50865849E8
