기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,전라남도,현지인방문자(a),2.85471109E8,2.77977637E8
2019,전라남도,외지인방문자(b),1.17585839E8,1.11307102E8
2019,전라남도,외국인방문자(c),2108190.0,1480448.0
2019,전라남도,외부방문자(b+c),1.19694029E8,1.1278755E8
2019,전라남도,전체방문자(a+b+c),4.05165138E8,3.90765187E8
2020,전라남도,현지인방문자(a),2.88599482E8,2.85471109E8
2020,전라남도,외지인방문자(b),1.10317383E8,1.17585839E8
2020,전라남도,외국인방문자(c),413454.0,2108190.0
2020,전라남도,외부방문자(b+c),1.10730837E8,1.19694029E8
2020,전라남도,전체방문자(a+b+c),3.9933032E8,4.05165138E8
2021,전라남도,현지인방문자(a),3.31642448E8,2.88599482E8
2021,전라남도,외지인방문자(b),1.14436973E8,1.10317383E8
2021,전라남도,외국인방문자(c),473164.0,413454.0
2021,전라남도,외부방문자(b+c),1.14910137E8,1.10730837E8
2021,전라남도,전체방문자(a+b+c),4.46552585E8,3.9933032E8
