기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,제주특별자치도,현지인방문자(a),1.64683372E8,1.64685031E8
2019,제주특별자치도,외지인방문자(b),5.2895899E7,5.0818236E7
2019,제주특별자치도,외국인방문자(c),5920797.0,4163791.0
2019,제주특별자치도,외부방문자(b+c),5.8816696E7,5.4982027E7
2019,제주특별자치도,전체방문자(a+b+c),2.23500068E8,2.19667058E8
2020,제주특별자치도,현지인방문자(a),1.62529546E8,1.64683372E8
2020,제주특별자치도,외지인방문자(b),4.618316E7,5.2895899E7
2020,제주특별자치도,외국인방문자(c),418366.0,5920797.0
2020,제주특별자치도,외부방문자(b+c),4.6601527E7,5.8816696E7
2020,제주특별자치도,전체방문자(a+b+c),2.09131072E8,2.23500068E8
2021,제주특별자치도,현지인방문자(a),1.91019308E8,1.62529546E8
2021,제주특별자치도,외지인방문자(b),5.9284068E7,4.618316E7
2021,제주특별자치도,외국인방문자(c),279671.0,418366.0
2021,제주특별자치도,외부방문자(b+c),5.9563739E7,4.6601527E7
2021,제주특별자치도,전체방문자(a+b+c),2.50583046E8,2.09131072E8
