기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,충청남도,현지인방문자(a),3.38338329E8,3.25590636E8
2019,충청남도,외지인방문자(b),1.54606564E8,1.48008816E8
2019,충청남도,외국인방문자(c),1655436.0,1115090.0
2019,충청남도,외부방문자(b+c),1.56262E8,1.49123906E8
2019,충청남도,전체방문자(a+b+c),4.94600329E8,4.74714542E8
2020,충청남도,현지인방문자(a),3.48016504E8,3.38338329E8
2020,충청남도,외지인방문자(b),1.38428948E8,1.54606564E8
2020,충청남도,외국인방문자(c),269946.0,1655436.0
2020,충청남도,외부방문자(b+c),1.38698894E8,1.56262E8
2020,충청남도,전체방문자(a+b+c),4.86715399E8,4.94600329E8
2021,충청남도,현지인방문자(a),3.70717354E8,3.48016504E8
2021,충청남도,외지인방문자(b),1.42540388E8,1.38428948E8
2021,충청남도,외국인방문자(c),269650.0,269946.0
2021,충청남도,외부방문자(b+c),1.42810037E8,1.38698894E8
2021,충청남도,전체방문자(a+b+c),5.13527391E8,4.86715399E8
