기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,충청북도,현지인방문자(a),2.61236952E8,2.53186888E8
2019,충청북도,외지인방문자(b),1.05067452E8,1.01864945E8
2019,충청북도,외국인방문자(c),781505.0,590243.0
2019,충청북도,외부방문자(b+c),1.05848957E8,1.02455188E8
2019,충청북도,전체방문자(a+b+c),3.67085909E8,3.55642076E8
2020,충청북도,현지인방문자(a),2.60620402E8,2.61236952E8
2020,충청북도,외지인방문자(b),9.3383798E7,1.05067452E8
2020,충청북도,외국인방문자(c),102434.0,781505.0
2020,충청북도,외부방문자(b+c),9.3486231E7,1.05848957E8
2020,충청북도,전체방문자(a+b+c),3.54106633E8,3.67085909E8
2021,충청북도,현지인방문자(a),2.74392002E8,2.60620402E8
2021,충청북도,외지인방문자(b),9.615123E7,9.3383798E7
2021,충청북도,외국인방문자(c),115902.0,102434.0
2021,충청북도,외부방문자(b+c),9.6267132E7,9.3486231E7
2021,충청북도,전체방문자(a+b+c),3.70659135E8,3.54106633E8
